user_name,user_rank,num_response,user_star,time,rating,content
할말많은데참음,41,232,3.4,2024.03.27.,2.0,"원래 홍대 원탑이라고 생각했는데, 최근 오랜만에 방문 후 굉장히 실망함. 팔락파니르에서 파니르라는 이름 빼야함. 파니르 손톱만한거 4-5개 있었나 ㅋㅋ"
여행자,8,9,3.7,2024.03.13.,5.0,커리도 맛있고 분위기도 좋아서 지인분과 특별한 시간을 보내고 왔어요.
공기밥,12,10,3.2,2024.03.10.,4.0,"카레랑 난이 진짜 맛있어요!!근데, 세트메뉴 구성인 탄두리치킨이랑 튀긴만두 같은 건 조금 별로.....근데 주메뉴가 정말 너무 맛있어요."
.,3,6,2.2,2024.02.25.,5.0,"맛집이래서 찾아갔는데 내 예상보다 더 좋았음👍직원분들 친절하시고 두명이서 가서 2인 런치세트 먹었는데 3만 1천원에 치킨에 난,밥 (세트라 무료로 무제한 리필 가능) , 라씨 이렇게 구성됐는데 난 3개 먹고 밥은 리필받지 못할정도로 배부르게 먹었다카레는 물론 난,치킨,라씨 등등 정말 맛이 없었던게 없어서 가족이랑 다시 가고싶었다📍치킨은 그냥 먹어도 맛있지만 같이 나오는 칠리소스에 찍어먹으면 더 맛있다📍난과 라씨가 고민이라면 플레인을 먹길 바란다(버터 난도 맛있었다)👎 없음최근 밖에서 사먹은 음식 중에 제일 맛있었다재방문 의사 무조건 있음"
둥기둥기둥,21,67,3.9,2024.01.28.,5.0,
주라기,9,11,4.1,2023.12.24.,5.0,직원분들 다 인도분이신 것 같은데 세상 친절탄두리는 제 스타일이 아니지만 커리는 맛있었어요!이색적이고 이국적인 식당인테리어도 완전 인도 그 자체여서 신박했어요데이트할 때 적당히 배부르게 식사하기 좋아요
벼랑위의당뇨,16,32,3.9,2023.12.01.,5.0,탄두리 치킨이랑 시금치커리 진짜 맛있어요!!!특히 탄두리치킨 여기가 젤 맛있는듯(((개취)))그리고 가성비 갑
ㄲ,14,37,3.3,2023.11.27.,5.0,너무 맛있다 여기 음식만 맨날 먹어도 안 질린다
동민,31,86,4.8,2023.11.17.,5.0,음식 하나하나가 이국적이고 좋았던 집
다감,3,2,5.0,2023.11.03.,5.0,"먹느라 사진을 깜밖했네요.ㅠ치킨티카 마살라와 탄두리 치킨 갈릭난, 프레인난, 그리고 강황밥까지  맛있게 잘 먹고 갑니다.^^"
day_off,41,211,4.1,2023.10.14.,4.0,치킨까지 주는 카레집. 밥이 리필이 돼서 만족스러웠어요.
안녕하쇼,21,140,4.6,2023.07.07.,5.0,
헉헉,38,198,4.3,2023.07.06.,5.0,양 어어어어엄청 많고 맛있어요 사랑해요 아마 진짜로 진짜 사랑함
하하하,4,6,4.0,2023.06.16.,5.0,진짜 맛있고 양도 많아서 둘이서 배터질뻔했어요
.,8,16,3.0,2023.05.31.,5.0,
ㅎ,15,153,4.0,2023.05.24.,3.0,
baekdoseoul,22,214,3.9,2023.05.09.,5.0,
.,16,38,4.8,2023.05.04.,5.0,두번째 방문인데 맛있고 런치세트는 가성비 흘륭한 것 같음.
지구,24,59,4.7,2023.05.03.,4.0,꽤 괜찮게 먹었음. 진짜 커리 맛. 가성비 좋고 인테리어 이국적임. 이색 식당으로 추천
⠀,3,41,4.6,2023.04.16.,5.0,
화춘,31,80,3.9,2023.02.13.,4.0,홍대에 이런집이?19년 오픈했다는데 이제알아서 슬프네요맛있고 현지느낌고 좋고.. 강추!동대문 영등포 에베레스트랑 비슷한 집입니다.소주도 팔아요
칠복,4,5,4.2,2023.02.06.,5.0,맛있고 가성비 최고
.,21,177,4.8,2023.01.23.,5.0,
맛찾아,15,40,3.9,2022.10.29.,4.0,최애 인도커리집/음식 좀 늦게나옴/하지만 맛있음/직원친절
팽이버섯,33,136,4.3,2022.10.17.,5.0,진짜 인도 같음 ㅋㅋㅋㅋ 가성비 좋고 맛있어요!
늉냥냥,7,447,3.8,2022.09.30.,3.0,
도현,9,25,4.3,2022.09.20.,4.0,
Yunyun,3,4,4.3,2022.08.31.,4.0,
오하나,31,69,4.9,2022.08.09.,5.0,음식 자체가 맛 있기도 했지만 직원분들이 너무 친절하셔서 더 맛있게 느껴졌습니다 ( ˇ͈ᵕˇ͈ )♡ 치즈난 너무 쫄깃하고 고소해요 !!
팩트폭격기,12,18,2.3,2022.07.12.,4.0,직원분이 정말정말 친절하십니다. 이런 서비스만 받고싶을정도로요!!양도 정말 많아요 난이랑 밥이 무한리필이거든여근데 가격대비 맛이 조금 딸리네요ㅜㅜ전체적으로 확 끌리진않았어요
기록,21,111,3.6,2022.05.12.,2.0,그냥 그랬음
빈빈이,14,20,2.1,2022.04.10.,3.0,리뷰는 조작인것 같아요ㅠㅠ인디안좋아해서 여기저기 자주가지만 맛이 없어요......커리 탄두리 둘다요재방문 의사는 없습니다
곱사모,16,38,3.7,2022.02.26.,5.0,커리 전문가인데.. 여기는 5점 인정합니다.(5점 기준 : 근처면 다시 주 1회 이상 갈 생각있다)4점 - 먹을곳 없으면 간다 (특이하지않아더 먹을만한 느낌. 학교/직장앞이면 한달에 한번이상 갈 느낌)3점 - 프랜차이즈. 안전빵. (학교/직장앞 기준)서너달에 한번감.2점 - 남이사주면 감(사주는 놈이 좋아해야됨)1점 - 사주는거도 말리고 다른거 얻어먹음
R,15,18,4.8,2022.01.15.,5.0,맛있고 친절하고 최고예요!!!
KYW,36,245,4.1,2022.01.08.,5.0,"와 둘이서 세트시켜먹었는데 진짜 탄두리치킨, 새우, 커리 다 엄청 맛있네요 ㅎㅎ 난하고 강황밥은 리필도 돼서 배부르게 잘 먹고 왔어요"
ㅇㅇ,5,3,5.0,2021.12.14.,5.0,11월에 갔었는데 계속 생각나고 또 가고 싶어서 지금 후기 올리는 집.. 친절하시고 난이랑 탄두리치킨 둘 다 맛있었어요 특히 난 개존맛 배불러도 계속 들어감 ㅠ 다음에 가면 세트로 시킬 거에요
평,41,437,3.2,2021.10.12.,3.0,탄두리 치킨은 맛있지만 커리는 아쉬운편배달이나 포장보다 매장에서 먹는 세트메뉴가 가성비가 좋음
ㅎㅇ,5,7,3.6,2021.09.06.,5.0,
김ㅅㅇ,36,218,3.9,2021.07.22.,5.0,치킨마크니믹스짜우면 bb
reshmi,3,2,5.0,2021.06.09.,5.0,홍대에서 맛집 인도커리중에 제일 맛있는 아마 다녀왔어요. 음식 너무 맛있고 인터리어가 인도 여행인줄알았어요.
해볕,12,24,4.4,2021.05.23.,5.0,
예승,13,27,4.7,2021.04.27.,5.0,최고 맛있는 인도 카레집
Nikolas Sun Ju Kim,6,4,5.0,2021.03.20.,5.0,"여태 먹은 탄두리치킨 중에 최고. 전반적으로 간이 적절하고, 재료의 질도 좋다. 점심 런치는 가성비가 아주 우수하다. 커리를 먹을 때 다히를 곁들여 먹으면 좋다."
zzzzang,9,10,3.4,2021.01.17.,5.0,5번 이상 방문했습니다^^ 카블리난 꼭 드세요
정효재,3,1,5.0,2020.07.16.,5.0,간판에 속지 마세요. 분위기에 놀라지 마세요.조금만 마음을 열면 이런 맛집 또 없을거에요!
★,21,40,3.8,2020.04.11.,5.0,너무 맛있어요 난도 진짜 맛있네요 가격도착함!!
돼람쥐,6,5,5.0,2020.01.23.,5.0,"정말 맛있어요! 데이트팝 어플로 이용권 구매해서 갔는데 엄청 싸게 잘 먹었어요. 난도 양이 생각보다 엄청 많고 카레도 양이 되게되게 정말 많았어요! 처음엔 좀 적어보여서 추가해야겠다 싶었는데 먹어보니까 카레 양이 어마어마하더라구요ㅋㅋㅋ 난 푹푹 찍어먹었는데도 카레가 많이 남았길래 밥까지 추가해서 먹었어요. 그래도 좀 남아서 마지막에 수저로 카레만 퍼먹었네요... 맛도 되게 좋아요! 치즈? 카레랑 양고기 카레 먹었던 것 같은데 둘 다 정말 맛있었어요. 치즈카레는 고소하고 달콤한 맛이었고 양고기카레는 짭쪼롬하고 고소했어요! 전 짭짤한 걸 좋아해서 양고기가 더 취향이었습니다. 치즈카레도 진짜 맛있긴 해요. 두 개 번갈아서 먹으면 세상... 너무 맛있어요... 또 내부 인테리어가 독특해서 정말 인도여행간 느낌이었네요. 직원분들도 다 인도 분들이시고 음식 맛도, 양도 너무 좋아서 즐겁게 다녀왔어요~~ 리뷰 쓰니까 또 먹고 싶어지네요"
김민수,2,1,5.0,2020.01.08.,5.0,"best indian food, 아마홍대점,인도음식점,인도커리,합정인도요리"
내돈내먹,17,71,2.9,2019.11.04.,4.0,맛있어요!
.,30,90,3.9,2019.08.07.,5.0,직원분 너무 착하시구 내가 너무 잘 먹으니까 서비스로 난 하나 더 주시고... 맛은 뭐 너무 맛있음
떡볶이,19,30,3.9,2019.02.05.,5.0,여기 맛있음 허니난도 맛있고 갈릭난도 맛있고 커리도 맛있음
