user_name,user_rank,num_response,user_star,time,rating,content
후기미제공은믿고거름,31,99,4.2,2024.04.24.,5.0,메론빵 맛탱ㅎㅎㅎㅎㅎ사장님도 친절하심
가장,5,8,4.3,2024.04.22.,5.0,저는 여기 고로케샌드(감자고로케)가 없으면 살아갈수가 없습니다3800원으로 가격이 좀 사악하긴합니다만 저는 맛있어서 꾹 참고 구매해요 감자좋아하시는분들 꼭 추천
whhviuez,25,75,4.1,2024.04.14.,4.0,다른 메뉴들이 기대만큼 맛있진 않았지만 메론빵+찰깨빵 기본맛은 원탑입니다.  매장은 협소하고 빵은 12시기준 많았어요
코알라,29,98,4.1,2024.04.14.,5.0,단팥관련된 건 정말 다 맛있고 메론빵도 은은하게 메론향이 나서 맛있어요
🦐🦐🦐,11,17,3.5,2024.04.02.,5.0,완전 일본풍 동네빵집!!맛은 특별하지 않음 그러나 기복이 없고 완전완전 익숙한 동네빵집 맛인데 가격이 저렴함! 그리고 특별한 맛은 아니어도 전부 다 맛있음~~근데 토마토주스는 시키지마세요 가야농장 주스에 얼음타서 줌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
미나리부추,28,114,4.2,2024.03.31.,5.0,
mero,5,7,4.9,2024.03.28.,5.0,"야키소바빵, 메론빵, 소금빵 샀어요🍞 야키소바빵이 젤 맛있었구 메론,소금빵은 평범해유야키소바빵 먹으러 재방문할거예요 >_<"
sinsekai,3,1,4.0,2024.03.25.,4.0,괜찮아요! 절대적인 가격은 비싸지 않지만 사이즈가 작아 가성비는 쏘쏘인 느낌이에요. 전반적으로 빵이 담백하고 덜 자극적이라 호불호는 좀 나뉘겠네요. 야키소바빵 새우카츠버거 새우추천해요. 의외로 명란바게뜨나 메론빵같은 대표메뉴보다 치아바타같은 기본빵류가 더 성공할 거 같습니다 치아바타 맛있었어요
명이나물,28,30,4.7,2024.03.24.,5.0,야끼소바빵이 진짜 맛있어요 푸딩은 그냥 푸딩맛 녹차소라빵도 녹차 좋아하면 맛있어요
👤,44,507,3.2,2024.02.29.,5.0,홍대구석에 있는곳 말차메론빵 맛있었음 야끼소바빵도 좋았음 하지만 푸딩은 굳이 안먹어도될듯
*,4,14,4.1,2024.02.28.,3.0,
아무래도,22,59,3.9,2024.02.26.,3.0,맛있는데 쬠 가격이 비싸용
카르멘3d,17,24,3.7,2024.02.26.,4.0,일본음식 특유의 빠방한 간장짠맛이 느껴지는 빵들을 판다. 가격도 프랜차이즈보다 저렴한 편이고 직원들도 친절하다. 생활권 안에 있으면 너무 좋을만한 기본기 충실한 빵집이다.
밀크티덕후,1,1,3.0,2024.02.24.,3.0,"빵은 맛있지만 직원이 불친절한 편입니다.자주 간 편인데 이젠 좀 덜 갈 것 같아요.쿠폰 판을 갈 때마다 두고 가서 모아서 쓸 겸 가지고 갔는데, 주말이고 사람 붐빌때가서 모은 걸 정리하기 힘든 걸 알겠지만 그래도 사람 보는 앞에서 계산 직원이 얼굴 찌푸리면서 하기 싫은 티 팍팍 내시던데요.한숨 쉬시는 것도 봤어요.쿠폰 모아서 두장 넘게 나왔고 번거로운거 이해하겠지만 보는 앞에서 그러는 건 아니지 않나요? 알바분이고 가게 잘 나가고 잘 팔린다는 건 시급에 상관없이 알바분이 힘이 든다는 건 이해합니다. 하지만 모아서 쿠폰판이 두장이 넘게 나왔다는건 이 가게에 애정이 있었고 자주 사먹었다는 이야기인데요....솔직히 알바생 대처가 너무 아쉬웠어요. ...아오이토리 2호점이 있었을때도 갔고 코로나 이전부터 자주 갔는데....리뷰에 써도 개선 안될것 같지만..빵은 죄가 없으니까요...빵은 맛있습니다. 특이한 일본식 빵을 드시고 싶다면 추천입니다."
엥프피,10,19,3.8,2024.02.21.,4.0,다이후쿠 단팥빵은 전설이다… 쫀득하고 팥도 맛있고 달고… 이 4점은 단팥빵에게 바칩니다새우카츠는 눅진해서 모르겠어여 근데 엄마가 좋아하셨어요 제 입맛에는 그냥 평범한 샌드위치말차메론빵?은 완전 안달아서 제 입맛에는 개인적으로 별로였어여다음에는 야키소바랑 초코소라빵 꼭 먹고싶네요 (솔드아웃만 안빠르면 제발 하나만 남아있어줘•••)
5555,9,18,3.9,2024.02.20.,5.0,
goat,13,28,3.5,2024.02.16.,4.0,말차메론빵 덜 달아서(안 달다는 건 아님) 좋음
룡식이,4,18,4.2,2024.02.16.,5.0,
냠냠,17,50,4.5,2024.02.09.,5.0,
도담미,9,7,4.9,2024.02.04.,5.0,넘 맛있쪙❤️
.....,22,67,4.1,2024.01.26.,5.0,독보적인 장르의 노포 베이커리…앵간해서 모든 빵들이 맛은 중타 이상은 치는편. 직원분들 항시 친절 + 가격 합리적.오랜 세월 같은 자리에서 맛난 빵들 판매해주셔서 감사합니다
뀨,21,30,3.9,2023.12.27.,5.0,야키토리빵이랑 여러 다른 빵 먹고 싶을 때 찾아요 늘 사람이 많아서 북적북적이는 곳 !
seonmi,31,46,5.0,2023.12.22.,5.0,"그 친구는 당시 메론빵에 푹 빠져 있었다. 하루는 홍대에 정말 맛있는 메론빵집을 찾았다며 같이 가자 했다.우리는 메론빵과 야끼빵을 한 개씩 주문했다. 창가쪽 테이블에 자리를 잡고 빵 두 개를 나이프로 잘라 반씩 나눠 먹었다.메론빵이란 건 은은하게 달고 심심했다. 야끼빵은 빵 속에 면이 들어있던 비주얼이 신기했다. 양이 많지도 않았는데 번화가에서 떨어진 그 일본식 빵집의 한적하고 아늑한 분위기가 좋아 괜히 천천히 먹었다. 매장엔 버터 냄새가 가득했고, 먹어보고 싶은 빵들이 한두 개가 아니었는데 그 마음 꾹 참고 나올 때의 아쉬움이란.몇 년 뒤 홍대로 이사하며 그 빵집은 엎어지면 코닿는 거리의 가게가 됐다. 거의 매일 그 앞을 지나쳤다. 그곳엔 여전히 메론빵이 있지만 굳이 멀리서 빵집을 찾아간 스무 살 우리는 다시 없다."
효,4,279,3.7,2023.12.21.,4.0,
맛나용,11,9,4.8,2023.12.20.,5.0,담백하고 맛있어용햇살 맛집
쥬쥬,8,10,4.6,2023.12.11.,5.0,
