user_name,user_rank,num_response,user_star,time,rating,content
서창준,5,10,3.7,2024.01.16.,1.0,
미에로,15,23,1.6,2023.11.23.,1.0,"닭이.. 뼈를 시켰는데 순살같이 작은것들로만 나왔어요,,,비싼데 닭이 너무 작으니...이 지점은 안올거같아요"
theway,34,181,3.5,2023.10.25.,4.0,추억의 아웃닭이 홍대에도 있다는건 행운일까요.. 주말저녁에 갔는데도 친절하셨고 타이밍이 좋았던 건지 따로 웨이팅 없었어요. 테이블이 다닥다닥 붙어있고 시끄럽기도 하고 술 안마셔도 술 마신 기분이 들긴해요. 그래도 치킨은 여전히 jmt이니 다 용서~ 4명이서 한마리 시켰다가 부족해서 바로 한마리 더 시킴
띠띠,13,12,4.7,2023.10.22.,5.0,홍대 치킨 탑3 안에 들어가지 않을까싶은 곳기본으로 나오는 샐러드랑 먹으면 무한으로 들어감사람은 많은데 매장 구조가 꺾여있고 천장이 높아서 그런지 너무 시끄럽지 않아서 대화하는데 불편함이 없음생맥은 좀 닝닝한 맛이라 아쉽다
류드밀라,2,1,1.0,2023.09.24.,1.0,found a thick black hair in a piece of chicken and their manager didn't even want to make a discount. finally after the argument they made a discount of 2000 KRW which i personally think is unacceptable
핑슐랭가이드,62,876,4.5,2023.06.05.,5.0,
이원근,14,15,4.7,2023.05.09.,4.0,맛있게잘 먹고 갑니다
이서아,4,2,4.5,2023.05.05.,4.0,대학생때 먹던 추억때매 옴 ㅠ 존맛인데 양이 옛날보다 줄어든 느낌... 그래도 존맛 ㅠ
equs,22,81,3.5,2023.02.20.,3.0,장점 : 치맥하고싶다면 여기오는것도 나쁘지않다단점 : 그냥 저냥
참다참다 개별로인데만,10,11,1.0,2022.06.22.,1.0,"여기서,,치킨먹고,,캄필러박터균 장염생겨서 일주일 입원하고 나왔슴미다,, 다른분들도 조심,,,"
눈흘기는강쥐,47,779,3.7,2022.03.20.,4.0,잘먹고가요아웃닭존맛
.,2,28,3.9,2022.03.01.,4.0,
호불호,22,125,3.7,2021.09.17.,4.0,나쁘지않네요
루루,11,18,2.9,2021.05.16.,5.0,아웃닭은 사랑입니다
신유빈,14,46,3.7,2020.12.14.,3.0,평범
주웨롱 Regulus,3,2,5.0,2020.09.25.,5.0,여기 치킨 진짜 최고다최고ㅠㅠㅠ
맛집킬러,33,105,4.3,2020.09.22.,5.0,갈릭순살 진짜 맛ㅇ
psdjklz502,24,172,4.6,2020.08.31.,4.0,양도 푸짐하고 같이오는 감튀 넘 맛있어용 ㅎㅎ
제로프레이,4,46,3.2,2020.07.22.,5.0,
호호 할범,33,388,4.1,2020.07.05.,5.0,요기는 왜 시간이 지날 수록 맛있어지구 친절해지시나용
비달삼순,17,34,3.6,2020.06.18.,3.0,맛은 좀 줄었는데 양은 맛있어요
버킷리스트,16,24,1.8,2020.02.08.,5.0,직원분들 너무 친절하세요 일단 오케이! 치킨도 맛있게 잘 먹고 갑니다~^^**
보용,12,34,4.4,2020.01.23.,3.0,포장해서먹엇음양 혜자임
