user_name,user_rank,num_response,user_star,time,rating,content
시유,22,56,4.6,2023.11.28.,2.0,커피가 심각하게 맛이없어여...직원분들은 친절하세요
이요르,41,215,3.3,2023.09.23.,4.0,매장이 오래되서 그런지 눅눅함과 퀘퀘한 냄새 곰팡이팡이 냄새가 좀 남케이크가 해동이 덜 되서 아삭아삭 거림걍 가격대비 쏘쏘한 카페사장님이 샤이니 팬이신듯 샤이니 노래만 나옴
bluecomet,24,99,3.5,2023.08.18.,2.0,커피가 너무 맛없어요.. 마카롱도..그리고 통로에 쾌쾌한 냄새가 너무 심해요..
룰루랄라,6,4,4.5,2023.05.15.,4.0,맛에 대한 큰 기대는 없이 마카롱이 귀엽게 생겨서 시켰는데 예상보다 더 맛있었어요. 자몽에이드도 좋았습니다.
윤냠,22,68,3.6,2023.03.14.,3.0,음료랑 디저트 무난해요 사장님 친절하시고 의자 개편함
보라,26,626,4.2,2023.02.13.,3.0,손님도별로없는데 음료제조너무느림
핑까 ✅,57,451,3.0,2022.11.06.,3.0,그냥 딱 무난한 카페. 아이돌 관련 뭐가 많은지 사람이 많이 왔다가 나간다.
공태환,26,87,3.6,2022.08.30.,1.0,음료가 이렇게 맛없을줄이야..
Clarissa 엘레나,3,4,4.3,2022.08.19.,5.0,
.,42,277,4.8,2022.01.05.,3.0,무난해요 루프탑 분위기 괜찮았어요 근데 굳이 찾아가고 싶진 않아요!
프리지아,21,44,3.5,2021.10.20.,3.0,오우 커피맛은 좀..
지성,4,5,3.4,2021.10.11.,2.0,맛없음
롤리팝,15,30,3.7,2021.07.12.,2.0,커피 맛없었어요 ㅠㅠㅠ
무악girl,2,2,4.5,2021.04.19.,4.0,굿
🧸,23,139,2.8,2020.11.30.,1.0,
yxcvsdgp226,22,128,4.5,2020.08.20.,4.0,루프탑이 있어서 좋아용 ㅎㅎㅎ
신촌홍대리뷰러,34,135,3.9,2020.07.11.,4.0,"음료 괜춘헌디.. 갠적으로 맛있었음 근데 루프탑 청국장 냄새 오지는 거 인정,, 그 날만 그런 줄 알았는데 항상 나나보네"
제발 돈받고 리뷰쓰고 싶다,22,56,4.5,2020.05.25.,2.0,"5점준 사람들 평가내역보면 왜 앤더스커피밖에 평가가 없냐? ㅋㅋㅋ 리뷰쓰고 '상식적으로 이거먹고 5점을 줄 수가 없는데' 하며 궁금해서 보니까 개웃기네ㅋㅋ5점준 날도 1월 6일에 치우쳐있음.------------------------------------한줄 평은 아이돌로 홍보에만 신경쓰고 내실은 모든 방면에서 실패하였다.1층에 음료 사진은 이쁘게 걸어놓고 딸기쥬스가 6900원음료가 매우 비싸 기대했지만 다른 곳에서 3000원대에 먹을만한 수준이었다. 아니, 얼음도 제대로 갈려있지 않은 수준 이하였다.그렇다고 인테리어가 뛰어난 것도 아니다. 선곡센스 또한 의문이다. 5월이 다되가는 날씨에 캐롤 메들리는 무슨 사연으로 틀었을까...무엇보다 운영층이 3개인데 와이파이는 한 개의 층만 제공하는게 말도 안된다.가격, 맛, 인테리어, 기타서비스 등 모든 부분에서 부족한 카페.카페가서 후회해본적은 인생에서 손꼽는데 이곳이 그곳이다.사실 마음같아선 1점이지만 상식에 어긋나거나 주인이랑 싸우지 않는 이상 1점은 안주기 때문에 2점을..."
yspong,10,10,4.2,2020.05.18.,5.0,"생아보카도를 통으로 갈아넣은  아보카도 커피맛에 반해 항상 그거 마시러 가는곳입니다 날이 따뜻해져서 첨으로 루프탑올라가 딸기라떼마셨는데   너무 맛있네요너무 달고 인위적인 색소맛 싫어 단음료안먹고아메리카노, 라떼만 먹었는데 앤디스와선 달다구리만 찾게 되는군요 신선한 딸기 직접갈아넣어 마시니  자꾸 찾겠어요"
칸탈로프,58,607,3.2,2020.02.14.,1.0,흑당 버블티 펄 딱딱한데 비싸긴 엄청비쌈 (7300원). 얼음만 많고 양도 적어서 돈아까워요. 절대 가지마세요
수경,1,1,5.0,2020.01.08.,5.0,마롱라떼 맛있음
시은,2,1,5.0,2020.01.06.,5.0,진짜 ㅜㅜㅜ너무 사장님이 착하시고 음료가 마싯써요 ㅠㅜㅠ
유제권,1,1,5.0,2020.01.06.,5.0,컵홀더 너무 만족스러워요ㅎㅎ 태형이꺼 또 받고싶어요ㅜㅜ
수현,1,1,5.0,2020.01.06.,5.0,음료 맛있고 카페 분위기가 예뻤어요! 루프탑까지 있어서 커피 마시기 좋았습니다♡
윤근,2,1,5.0,2020.01.06.,5.0,분위기와 음료 다 좋아요~~
시우,3,1,5.0,2020.01.06.,5.0,직원분들이 너무 친절하게 해주셔서 기분 좋았습니다 ㅎㅎ 또올게요
권오훈,3,4,5.0,2020.01.06.,5.0,아보카도 커피 맛있어요   ~.~
웨인킴,23,55,2.8,2019.12.29.,1.0,와 정말...음료도 냉동케이크도 맛도 없고 안에서 먹는데 하나같이 일회용품만 쓰고... 정말 다시 가고싶지 않은 곳..
4.0kg,31,116,3.5,2019.12.28.,1.0,냉동케이크맛크림바나나라떼는 노맛(맛이 안 느껴짐)밤라떼는 그나마 낫뱃관광지에서 기대하고 시켰다가 눈탱이 맞은 맛임.아이돌 때문에 온다면 말리지 않겠는데어디 가서 디저트카페라고 하면 안 될 맛임ㅡㅡ
이재호,10,17,2.6,2019.03.01.,5.0,
