user_name,user_rank,num_response,user_star,time,rating,content
He Won!,55,304,3.9,2024.04.23.,5.0,요즘같은 때 테이크아웃 천원 할인 흔치 않다~
E.Han,51,139,3.7,2024.04.13.,5.0,"외국에서 온 친구가 서울에서 커피숍 3곳을 추천해 달라면 앤트로사이트를 꼭 포함 한다. 드립커피, 로스터리에 빠질수 없는곳. 케이크, 마들렌pairing도 잘되고, 분위기도 좋고 정말 빠지는게 없다. 커피를 좋아한다면 꼭 들러 보라고 강추하는 집."
banana lizard,25,79,3.2,2024.03.18.,3.0,분위기 맛집 입니다
꾸웅,32,210,3.5,2024.03.12.,4.0,화장싱이 밖에있는거 빼고는 좋음. 주차는 못한다고 생각하면됨.
맛집좋아,24,78,4.8,2024.02.25.,5.0,👍 좋다 맛집
쩝쩝박사,12,21,3.2,2024.01.29.,5.0,"주차도 가능하고, 티도 좋은거 쓰시는듯 맛잇었어요"
수정,11,9,4.7,2024.01.25.,5.0,커피 젤맛있는곳 주말엔 사람많아서 시끄러움커피맛집
구이구,46,158,4.9,2024.01.06.,5.0,"나쓰메소세키 원두 내 스탈,, 맛있어요,,"
이동윤,35,83,4.6,2024.01.04.,5.0,"분위기 좋고 매장이 엄청 넓어요~단체 모임하기 딱 좋네요.핸드드립으로 시켰는데, 에티오피아 벤사 내추럴은 옅은 산미와 깔끔한 후미로 편하게 마시기 좋았어요.에티오피아 트리트라 고요는 베리류의 새콤함이 매력있네요.레밍턴 마들렌도 맛나게 먹었어요😋"
이두실,20,66,4.8,2023.11.24.,5.0,커피가 맛있어서 원두도 자주 사먹습니다. 왠지 모르겠지만 저희 어머니가 여기 바리스타 분을 정말 좋아함……
맛잘알,21,43,3.8,2023.11.19.,4.0,
Angeleno✅,48,272,3.4,2023.11.18.,5.0,나른한 주말 오후에 커피 한 잔의 여유를 느낄 수 있는곳. 직원분들도 친절하시고 너티크림커피 달달하니 맛있어요 :)
먹탐험,5,5,4.8,2023.11.10.,5.0,산미가 있긴하지만 분위기가 좋아요. 디저트가 맛있어요
난*,27,92,4.3,2023.10.21.,5.0,최애 까페입니다전 원두 여기것 자주 사먹어요
희선,5,8,4.4,2023.10.15.,5.0,
David Ahn,1,1,1.0,2023.10.09.,1.0,
김현우,3,3,2.7,2023.10.09.,2.0,아쉽다
김환성(Ryan),11,22,4.3,2023.10.09.,5.0,
J,5,128,3.8,2023.10.08.,3.0,
최종섭,6,9,3.8,2023.09.26.,3.0,원두 맛 없어요.. 산미가 너무 과해요
김종빈 ,21,42,3.8,2023.09.20.,4.0,홍익대 앞의 주차장 골목으로 불리는 완만한 커프 의 오르막길은 당인리발전소에 석탄을 공급하던 기찻길 이였습니다. 발전소에 기차가 도착해 무연탄을 왕창 내려주곤 했기에 당연하게 그 앞에 난방과 조리용 일반용 연탄을 제조하는 공장이 들어섰고... 그 연탄공장이 지금의 까페 Antracite(무연탄) 입니다.
기준점 3점,32,339,2.8,2023.09.16.,3.0,무난
팔스보더,11,26,4.6,2023.09.12.,5.0,"커피, 디저트 다 맛있어요 정비소 하던 위치라 분위기도 어두운게 개인적으로 분위기 호"
라라,11,25,2.6,2023.09.09.,2.0,평일 저녁 남직원 불친절. 친절한 여직원이랑 비교되더라고요. 라떼도 스팀 잘못쳤는지 첫입에 쓴맛 올라와서 별로였어요.
안알랴줌,35,232,3.4,2023.09.03.,2.0,연희나 서교의 컨셉에 비하면 아쉬운 공간.
Alex,32,136,4.7,2023.08.13.,5.0,분위기 좋고 커피 맛있고 친절하고 다 좋아요😁(제가 느끼기엔 직원분들 하나같이 친절하신데 어떤 분이 불친절하단걸까요?🤔)
선우,7,12,3.8,2023.08.07.,5.0,"항상 맛있고, 분위기 좋아요. 음료도 디저트도 좋습니다 ^^"
푸다뱅,75,933,4.2,2023.08.06.,3.0,"분위기는 좋았던 대형카페, 디저트는 무난했고 크림라떼도 무난했습니다."
날나리날라,33,117,4.3,2023.07.29.,4.0,10여년 전에 와이프(전여친)하고 데이트할때 가끔 왔었는데 이젠 명소가 되었네요. 와이프랑 오고 싶은데 음… 그러기엔 좀 갈곳이 많네요.
송영근,4,4,4.8,2023.06.21.,5.0,저는 모카먹었는데 맛났어요 주차도 되고 분위기 좋아요
징ㅇ,65,751,3.4,2023.06.14.,3.0,가격이 좀 사악하긴하지만 커피도 나름 괜찮고 공간도 이색적이라 좋았음 일요일에 다녀왔는데 다행히 좌석이 몇개 남아있어서 한적하게 카피 마시다 올 수 있었음
.,3,1,1.0,2023.06.07.,1.0,지금까지 가본곳중에 가장 최악의 불친절 이었습니다. 한때 잘나갔던곳이라 오랜만에 생각나서 갔는데 사람이 없는데에는 이유가 있네요. 멀지않은곳에 좋은곳 많으니 번거롭게 여기 들리지 않으신는게 좋을 것 같네요.
도토,15,27,3.3,2023.06.05.,1.0,머신없이 드립커피만 파는데 산미없는 원두없고 아메리카노는 먹었던 커피중 워스트3위안에 꼽음...가격도 비싼걸로 3위안에 꼽음...주문 받으시는 여자직원분 싸늘 그 잡채진짜 그냥 조용한 분위기에서 책보고 싶으면 가끔가도 뭐ㅋ.....매장은 크고 넓음.좌석 불편한건 덤
Young,11,8,4.4,2023.05.19.,3.0,로스팅전문 but막드립...
이열칠석,11,104,3.7,2023.05.04.,4.0,
관형,3,5,4.6,2023.05.04.,4.0,조묭한 분위기에서 혼자만의 여유를 즐기려면 이층을 이용해보세요.
n.wavv,6,11,4.6,2023.04.12.,4.0,공간도 아늑하고 넓고 감각적인 공간이라고 생각해요! 라떼 맛있어요 :)
리링,55,598,3.7,2023.04.07.,4.0,
-,4,7,3.3,2023.04.01.,1.0,인사해도 안받아주는 직원그냥 그런 커피맛진짜 대충 부어만 주는 라떼아트
츄라이츄라이,18,55,4.1,2023.02.23.,2.0,필터커피는 맛있었지만.. 파운드를 뜨겁게 뎁혀서 내는 이유가 뭐죠. 갓 구운 빵도 아닌데 제대로 뎁혀진 것도 아니고 전자레인지에 돌린 건지 접시랑 닿는 면은 축축했어요.
별점으로만판단한다,11,26,4.3,2023.02.02.,3.0,커피 원두 고를 수 있어서 좋고 맛있었다. 매장이 넓고 자리가 많은데 1층이 좀 어두워서 책 읽으니까 시력이 나빠지는 것 같다...
도박후노숙중,25,95,4.0,2022.11.27.,4.0,매장이 넓고 커서 좋음 분위기 미쳤고...커피는 왤케 비싸 했는데 리필 한 번 해주심 합정에서 최애 중 하나임
베스트vs워스트,15,26,4.5,2022.11.20.,3.0,음.. 2층 조용해서 좋아요. 커피맛이 특별하진 않아요일하는 사람들이 불친절함…..전화로 문의할때 답변 주신 여자 알바분은 친절하셨음
쌉싸브리하이,2,2,1.5,2022.11.14.,2.0,"성격급한 사람은 못가요테이크아웃 하면 커피한잔 내리는데 10분,,일하는 사람들이 자주 바뀌는데 바뀌는 모두가 매우느림,,,"
정대훈,9,16,2.6,2022.11.10.,2.0,파는 커피랑 판매라는 원두랑 맛이 다름. 내가 아무리 똥손이어도 이해가 안가는 차이임
빵이,13,17,3.9,2022.10.13.,4.0,저녁에 2층 조명은 너무 어둡지만 너티 크림이 넘 맛있어서 자주 가는 곳
허영구,1,1,5.0,2022.10.06.,5.0,
선영(라냐,14,27,2.9,2022.09.12.,1.0,옛날커피맛 예전 그 힙한 분위기 다 사라진 곳..
커피과객,8,9,3.9,2022.09.10.,5.0,정말 오래 전부터 변함없는 커피 맛입니다로스팅이 주력이면서도 이런 카페 퀄리티 유지를 계속 해주셔서 너무 고마워요
이충한,6,10,3.0,2022.09.01.,5.0,브루털한 인테리어가 좋다
dkfdkf,10,15,3.9,2022.08.31.,5.0,몇년째 원두 사다 먹는 집. 갓 볶은 브랜딩 원두도 좋지만 분위기 이만한 카페 없을걸요. 갈 때마다 놀랍니다. 애정하는 카페.
⠀,24,174,3.6,2022.08.26.,2.0,
좋구나,4,3,1.0,2022.07.31.,1.0,문어한테 목소리를 잃었뎈ㅋㅋㅋㅋㅋㅋ딱이네
쩝쩝학사,57,223,4.8,2022.07.31.,5.0,
Kyung,6,5,4.2,2022.07.09.,1.0,주문직원 문어한테 목소리를 잃은듯
무우,31,106,4.2,2022.07.07.,5.0,작업하기좋아서 자주갑니다있다보면 참새를 자주보네요 ㅎㅎ 좋아요
52907,38,513,3.2,2022.06.27.,4.0,서교 보다는 인더스트리얼한 느낌
미식한 고독가,27,372,3.3,2022.06.25.,4.0,
아이스라떼,23,75,3.9,2022.05.26.,3.0,"믿고 마시는 앤트러사이트 커피지만, 합정점은 유난히 더 심하게 어두컴컴해서 자주 가게 되진 않아요ㅠㅠ"
everything,25,290,4.2,2022.05.02.,4.0,
호잇,3,3,4.0,2022.04.14.,2.0,직원분께서 왜이리 화가 나 계시는지.. 전 모르겠어유..
🙈,39,384,2.9,2022.03.27.,3.0,그냥저냥 괜찮아요
🧐,12,28,4.5,2022.02.26.,3.0,커피는 나쁘지 않은데 계산하시는 직원분...불친절해요
mnnm_,11,189,3.7,2022.02.26.,1.0,
BT62,19,512,4.2,2022.02.20.,4.0,
khyoom,7,16,2.6,2022.02.06.,1.0,직원의 지친 기색때문인지 불친절함..이것또한 컨셉일까..?
‘,21,79,4.7,2022.01.16.,5.0,레몬마들렌 맛있어요
.,34,171,3.7,2022.01.09.,3.0,디카페인 팔아요
ㅎㅎ,10,16,5.0,2021.12.16.,5.0,힙해 세상힙해서 기분좋았어요 엄청넓구 커피도 맛있어요 ㅎㅎ 한번 화장실에 갇혔었는데 친절하게 구해주셔서 감사했어요 ㅠㅠ 아무튼 공간 자체가 재밌는 곳
보배,17,70,3.7,2021.10.24.,3.0,매장 컨셉은 호불호가 갈리지만 커피는 맛있었습니다
ㅇㅁㅇ,17,83,4.1,2021.10.20.,3.0,
황익교,32,157,2.9,2021.10.19.,3.0,
hong,13,112,4.3,2021.09.27.,5.0,
yyy,28,143,4.4,2021.09.06.,4.0,넓은 공간에 맛있는 커피디저트는 쏘쏘
정승환,25,161,4.6,2021.09.06.,4.0,굿굿 좋아요
참새🐥,14,17,4.1,2021.08.31.,5.0,감성 즐기러 가는 곳! 평일에 가도 사람많고 주말에는 비추에요! 드립커피 양보고 좀 놀라긴 했지만 아메리카노 추가되니깐 (일정금액 냈었는지 기억이 잘안나요! ) 커피는 정말 맛있어요
.,56,"1,621",1.7,2021.08.23.,1.0,
S. Kim,45,"1,148",3.5,2021.08.22.,3.0,그냥저냥. 공간이 넓고 쾌적. 개인적으론 조명이 너무 어두움. 6대의 주차공간이 있는게 장점
ho,38,184,4.8,2021.08.21.,4.0,불친절하다 하시던데 친절 하던데용... 커피 맛 괜찮습니다. 조용하고 시크한 분위기를 기대했는데 매장은 다소 시끌벅적 ㅜㅜ
스티치,54,860,4.2,2021.07.15.,4.0,한남점에서 마셨던 윌리엄 블레이크 아메리카노는 별로였는데 여기서 마신 버터팻 라떼는 너무 맛있었어요. 고소한데 균형있고 특히 스모키 향이 정말 독특한데 너무 좋았어요. 건물 외관도 매력있고 루프탑에서 마실 수도 있어요. 강추!
Markjacob,74,622,4.3,2021.07.13.,5.0,"오래된 신발공장을 카페로 활용해서 오랜전부터 핫플이었던 장소. 과거의 모습과 현재가 공존하는 듯한, 차가운듯 따뜻한듯한 분위기에서 마시는 커피한잔의 맛은 그 자체로 베리굿!"
영화같은 삶,2,14,4.6,2021.07.05.,5.0,
GA,9,112,4.5,2021.06.24.,3.0,
로미,33,166,4.4,2021.06.18.,5.0,분위기 쩔....bb
김혜리,1,8,4.6,2021.06.09.,4.0,
nytocali,23,146,3.8,2021.05.16.,5.0,
Alex,27,133,3.7,2021.05.15.,2.0,
에구배불러,21,39,3.3,2021.05.13.,1.0,이 카페는 가는 매장마다 직원들이 어쩜 한결같이 싸가지가 없는지 놀라울 따름.그렇다고 커피가 맛있기를 하나 자리가 깨끗하길 하나... 뭐 하나 제대로 된게 없네.여러모로 이해 안되는 곳.
나나,3,14,4.7,2021.05.12.,5.0,
류리,12,20,4.4,2021.04.17.,4.0,"옛날 신발공장 건물을 재활용한 카페, 시원하게 넓고 힙하다. 의자는 학교의자같이 딱딱하고 화장실은 외부에 한칸씩 밖에 없어서 불편하지만, 분위기와 공간만으로도 한번 가볼만하다. 음료가격이 조금 비싼 편이지만, 커피 종류에 따라서는 원두도 선택가능하고 맛도 괜찮은 편.최근 거리두기2단계로인해 2인이상은 1시간 이내 이용만 가능하다고 함"
BBo,5,10,3.3,2021.04.11.,5.0,
조랭이떡,20,34,4.7,2021.03.21.,4.0,커피는 맛있고 특유의 분위기도 좋다다만 거의 모든 콘센트 전원이 안들어옴2개 자리 정도만 되는거같던데회전율 높이려고 일부러 전원 차단해놓은듯..
냉정한 카페 판독가,19,64,3.5,2021.03.16.,3.0,힙해지고 싶을 때.
만순,3,7,4.9,2021.03.10.,5.0,디저트 종류가 마음에 쏙 듭니다.
카페수집가,21,46,3.1,2021.02.15.,1.0,커피에서 탕약맛이 납니다. 향미도 맛도 별로. 그리고 2층에 있는 소파가 심하게 낡아있고 더러워요.
김이현,6,6,5.0,2021.02.14.,5.0,커피가 넘 맛있고 분위기가 좋아요!!
Alex,11,37,4.8,2021.02.08.,5.0,
이진욱,21,178,3.8,2021.02.08.,4.0,
눈의띠네,33,555,3.8,2020.10.29.,3.0,
난나랄라라,25,185,4.0,2020.10.27.,3.0,커피맛보단 컨셉이 멋져요가 볼 만합니다.
Hul,19,34,2.7,2020.10.10.,3.0,"폐업한 구두공장 인태리어 바꿔 커피장사. 수입차 즐비하기에 들어가 주문해봄. 6,500원부터 시작?에디오피아 원두커피 주문. 맛은 깨끗하나 산미가 상당히 떨어져 실망. 두번은 안 감"
ananas,29,152,3.6,2020.09.20.,4.0,2층 시끄러운 편
Soohyun,4,20,4.6,2020.09.06.,4.0,
소히 sohyeux,8,69,4.1,2020.08.25.,3.0,
캡틴 아메리카노,39,144,4.2,2020.07.17.,3.0,공간은 넓어서 좋은데 커피맛은 보통.
..,3,3,2.0,2020.07.04.,1.0,일하시는 분들 대다수가 친절하셨으나 유독 불친절하고 예민하신 한 분 때문에 기분이 상했습니다. 차 종류는 맛이 없었습니다. 맛에 비해 너무나 터무니 없는 가격을 제시하는 것이 아닌가 생각이 들었네요. 편안한 분위기 속에서 눈치 안보고 일상 수다를 나누고 싶으신 분들은 다른 카페를 찾아보시는 걸 추천합니다.
fynn,23,53,4.4,2020.06.11.,4.0,"커피, 브라우니 맛있음. 인테리어 컨셉에 충실한 탓인지 의자가 대체로 불편한 것은 단점."
정민영,11,458,4.0,2020.06.07.,3.0,
Dra,32,148,3.8,2020.06.02.,3.0,제일 싼 게 7000원이라 좀 비싸지만 분위기는 좋음.근데 여직원 불친절.6/1 마감근무 여직원.인테리어는 정말 예쁨. 아 그리고 주문하려고 한참을 기다렸는데 직원이 없어서 진짜 한참 주문을 못함
민섭&재인맘=김선희,26,259,3.5,2020.05.23.,3.0,
호동이,18,66,3.7,2020.04.27.,4.0,
봄날은간다,24,86,4.2,2020.04.07.,5.0,버터 팻 트리오는 단언컨대 체고의 블랜딩이다
여름독서사냥꾼,40,282,3.6,2020.03.21.,1.0,최악의 레모네이드마셨는데 설탕결정이 입으로 다들어와서 입안이 모래밭...섞어보려고 빨대로 바닥을 긁으니 설탕이 엄청 두껍게 안녹아 있었어요
어여해,2,1,2.0,2020.03.21.,2.0,건의드릴께요. 매번 여기서 원두를 샀었는데요. 시음 커피를 항상 주시잖아요. 라떼로로 가능한 지 여쭤보면 추가금액 지불하면 흔쾌히 해주셨어요. 지난 금요일 10시경 매장을 찾았어요. 코로나를 뜷고 굳이 마스크를 쓰고 먼길 걸어 갔어요. 이번에도 원두 구입하며 라떼를 부탁드렸더니 너무나 쌀쌀한 표정으로 안된다고 하시더라구요. 이전에도 항상 가능했던 거고 심지어 그직원(여자)이 예전에 웃으며 추가금액없이 만들어줬었구요. 결국 500원을 더 내고 라떼를 만들어줬는데 커피를 주면서 쌩하게 돌아서서 전 물건들은 집어던지는 줄 알았어요. 쿵쾅쿵쾅!! 건의드릴께요. 시음커피 주실 때 직원들 모두 금액을 통일시켜(500원일 때도 1000원일때도 무료일때도 있었어요) 라떼 변경 해주시던지 아님 앞으로 불가하다 ‘친절히’ 얘기해주셨으면해요. 그리고 직원들 친절교육에 더 힘써주셨으면 합니다.
ㄷ원,4,2,1.5,2020.03.17.,2.0,커피는 참 좋은데 직원이 불친절해서 기분이 좋지 않았네요
