user_name,user_rank,num_response,user_star,time,rating,content
효성동핵꿀주먹,26,65,4.2,2024.03.10.,3.0,크림파스타는 연필심맛...?이났어요.. 못먹을맛은 아닌데 자꾸 연필이 생각나는.. 직접 만드신다 했는데 어떤 향신료가 들어갔는지 궁금했어요.
jimmy,13,14,2.6,2024.03.09.,5.0,다시 방문할거 같아요 음식 양도 많아서 좋아요
글글,13,22,3.6,2023.12.08.,2.0,"종종 가는데요.. 다 괜찮은데 알바생 관리 제대로 해주세요.. 여성분들이랑 떠들지만 마시고요 ,,?? 휴지도 텅텅 비어있고 메뉴 시켰는데 밥이 옆테이블에 나갔네요 심지어 인원도 다르고 그분들은 주문도 안하셨는데ㅜ 정신을 어따두고 계시는지ㅜ ?"
밍밍,31,132,3.8,2023.12.04.,3.0,나쁘지않음 그냥 가성비가 진짜 좋다라는느낌?
hu,16,39,4.1,2023.11.19.,5.0,
mong,26,85,3.1,2023.11.18.,3.0,나쁘진않아요 술집치고 ㄱㅊ한편
D,22,68,4.3,2023.11.16.,5.0,맛잇어염
작성자,30,185,3.8,2023.11.13.,5.0,여긴 진짜 리뷰 남길 수 밖에 없어요.. 서비스도 엄청 주시네요.. 레전드에요…
뮁고,24,49,3.6,2023.10.25.,3.0,목살 듬뿍 들어가있는 김치찌개가 미쳤음 이것만 있어도 술이 술술 들어감. 양 많아서 고기 다 먹고 라면사리 넣어먹으면 좋음.
돈까스경찰관,21,111,3.0,2023.10.05.,3.0,가성비 ㅅㅌㅊ
애플민트,34,303,4.7,2023.10.02.,5.0,가성비도 무난한 상수 맛술집
ㄱ강민영,3,1,5.0,2023.10.01.,5.0,앵춘.. 가성비 최고다음에도 어디 갈지 고민되면 걍 여기 오려구요사장님 다음에는 꼭 정신 못 차리게 맵게 만들어 주세요>__<
00,11,17,4.8,2023.09.19.,5.0,진짜 맛있어요.. 매번 다시 갈 때마다 사람들이 꽉 차있어요.... 처음 먹었던 그 때를 잊지 못해요... 들여보내주세요.....
랄라,9,6,4.7,2023.09.16.,5.0,여기 친구들이랑 4명이서 밥 안먹고 갔었는데 배부르게 진짜 잘 먹었습니당 맛 가성비 다 좋았어요~ 서울에서 양 많고 맛있는 술집 찾기 힘든데 여기는 진짜 다시 갈 것 같아요!! 가게도 아기자기하게 잘 꾸며져 있고 좋았습니다!
동빈,5,2,5.0,2023.07.06.,5.0,
김인성,2,1,5.0,2023.05.26.,5.0,
내일은축구왕,33,286,4.8,2023.05.22.,5.0,계란 말이나 김치찌게 더블어 한잔하기 좋습니다
재,15,35,4.6,2023.05.14.,5.0,
대타출동,12,16,4.3,2023.04.24.,5.0,가성비 갑bb여러명이서 가도 김치찌개 하나면 충분
.,5,11,3.9,2023.03.31.,5.0,가성비갑 맛있져욤
김택훈,21,43,4.7,2023.01.23.,5.0,
best9912,16,30,4.1,2023.01.21.,4.0,계란말이 크기가 상당히 어마무시 합니다
1,6,43,4.3,2022.12.25.,4.0,
동규,2,1,5.0,2022.12.15.,5.0,진짜 맛이 좋은데 상수역 근방 가성비 탑입니다 강추강추
감자,7,3,2.3,2022.08.25.,1.0,"코로나의 온상지 같은 곳이었어요. 이시국에 술집 가면서 무슨 코로나 타령이냐 할 수도 있지만, 적어도 기본은 하셔야 하는 거 아닌가요? 자리 진짜 좁고 환기도 안되고 사람 정말 많은 것까진 그렇다 치는데 직원 분들은 왜 마스크 하나도 안하시나요ㅋㅋㅋ? 서버부터 주방까지 전부 마스크 하나도 안하시던데 진짜 회식이라서 갔지 개인적으로는 다시는 방문하고 싶지 않았습니다.잔이나 술병에도 이상한 게 묻어있어서 위생도 의심됩니다. 김치찌개가 엄청 큰 무쇠양푼 같은 데 나오는데, 특성상 여기저기 탄 자국 있고 깔끔하지 않았는데 그래서 위생적으로 더 안 좋아보였어요.맛도 그냥 싸고 양많은 대학가 술집이에요. 맛 때문에 굳이 와서 먹어볼 필요는 없음. 조용하진 않더라도 깨끗한 술집 찾으시면 여기는 절대 안됩니다. 음악소리도 엄청 크고 사람도 많은데 가게도 좁아서 소리 엄청 울리고, 일행들 대화도 하나도 안 들려요. 절대 비추"
Jay,85,"3,044",1.2,2022.08.18.,1.0,소주 및 맥주 5000원
ㅇㄷ,13,82,4.9,2022.06.18.,5.0,
io,30,269,3.8,2022.03.31.,3.0,
쀼,32,123,3.2,2022.03.27.,5.0,안주 저렴하고 양많고 맛있음사장님 친절하고 잘생기심첨에 지나가다 평좋길래 들어갔는데웨이팅생기는거 보고 맛집인거 앎 ㅠ암튼 가성비 체고에요..
오함마,52,226,4.0,2022.03.17.,5.0,오 싸고 맛있어
