user_name,user_rank,num_response,user_star,time,rating,content
뭉치,6,8,3.5,2024.04.16.,5.0,20년도부터 근방에 살아 단골집인데 강남점 건대점 다 가봤지만 정말 좋아하는 최애집❣️
스티치,54,860,4.2,2024.04.13.,4.0,맛있게 잘먹었습니다.메뉴 하나하나가 다 맛있었는데 사와가 좀 닝닝한것 빼고는 너무 만족스러웠습니다
백선재,11,78,3.4,2024.04.06.,5.0,
ㅇㅇ,30,156,3.9,2024.04.05.,4.0,"질이냐, 가성비냐에 따라 평이 극과 극이 됨.알바생 분들 친절하고, 맛있음.그러나 그만큼 가격대가 있는 편."
"청결,맛,가격,친절",30,226,2.6,2024.04.05.,5.0,재방 예정
윤성진,3,3,4.3,2024.04.05.,4.0,
인수,3,1,5.0,2024.03.30.,5.0,알바가 친절하고 음식이 맛있어요~
이엔티제,22,61,3.8,2024.03.18.,5.0,맛있었어요.. 고등어 솥밥 미친맛..
이희형,2,2,5.0,2024.03.09.,5.0,조아용
맛있는거 좋아해요 근데 까다로워요,20,29,3.6,2024.03.08.,5.0,음식이 넘 늦게나옴하지만음식 굿서비스 굿솥밥 쏘굿매주 한번씩 간듯
ㅇㅇ,4,9,5.0,2024.03.02.,5.0,친절하고 맛있고 가격도 합리적
흠,3,4,4.0,2024.02.28.,5.0,최고.. 👍
저믿으세요 돼지에요,8,59,4.1,2024.02.24.,4.0,
오노콘다,31,76,2.7,2024.02.13.,5.0,서울 내 일본식 닭꼬치 GOAT
최현태,24,97,4.0,2024.01.22.,5.0,맛 4점에 슈퍼친절 1점
공대생,23,34,3.7,2024.01.22.,5.0,집갈때 쥐어주신 따뜻한 한팩다찌석에서 꼬치 구워지는걸 보며 마시는 레몬사와산초와 시치미에 찍어먹는 환상적인 꼬치 맛뭐하나 부족한게 없는 훌륭한 장소
먹먹먹읍시다,13,16,3.8,2024.01.21.,5.0,"59초 츠쿠네가 진짜 감동스러운 맛이었음.. 30분 웨이팅해서 얼마나 맛있나보자! 하고 들어갔는데 같이온 상대랑 나랑 인정이라고 고개를 끄덕임. 나중에 지방에서 올라온 친구데리고 또 올수 있을정도로 맛집 ㅇㅈ맛도 분위기도 있는데 무엇보다도 직원분들이 엄청 친절하심. 춥다고 미니 핫팩까지 챙겨주시고, 다들 상냥하셨어요 ㅋㅋㅋ서비스 정신 갑 ㅇㅈ"
꺄루룩,44,208,4.0,2024.01.20.,5.0,꼬치 전문점고 직원분들도 너무 친절하고 꼬치 하나하나 다 맛있어요!! 특히 하이볼이 맛있네여
휴잇,27,83,3.3,2024.01.18.,5.0,일본 그 이상의 닭꼬치 전문점!합정오면 무조건 데려가는 맛!맛없다는 평 단 한번도 없었음🐣
.,8,10,3.7,2024.01.16.,5.0,고기가 녹는다는 표현이 땩 맞음.이런 닭다리 처음 경험해봄ㅠㅠ 나중엔 부모님 모시고 또 방문할 예정
음식에진심인사람,49,380,4.4,2024.01.02.,5.0,굿 아주 좋음
박준현,11,14,4.6,2024.01.01.,5.0,"새해 첫 날 2차로 방문하였습니다. 59생 츠쿠네가 첫 코스로 나왔는데 만화에서 튀어나온 듯한 비주얼로 우선 눈을 즐겁게 해주고, 곧이어 친절한 설명이 좋았습니다. 설명들 다 듣고 한 입 베어먹은 츠쿠네는 육즙이 엄청나게 풍부했고, 겉에 발라진 소스와 육즙에 조화가 너무나도 환상적이었습니다. 나루토 하이볼과 산토리 생맥주를 마셨는데 개인적으로는 산토리 생맥주가 더 어울리는 맛이었습니다.츠쿠네에 이어 새우를 삼겹살로 감싸서 익힌 꼬치가 나왔는데 정확한 이름은 기억인 안나네요...이 꼬치는 겉에 바삭하고 고소한 삼겹살과 안에 통통한 새우의 식감의 조화가 정말 인상 깊었습니다.그리고 다리살과 파를 같이 구운 꼬치도 너무나 맛있었는데 파의 익힘정도가 아주 적절해서 식감과 풍미 둘다 놓치지 않았던 점이 좋았습니다.아쉬웠던 점은 코스에서 세번째로 나온 간장소스를 뭍히고 와사비가 곁들어진 안심꼬치는 충분히 맛있지만 앞에 나온 꼬치들의 간이 워낙쎄서 상대적으로 조금 심심하게 느껴졌습니다.그리고 대창꼬치는 진한 소스와 기름 맛이 잘 어우러져 훌륭하지만 다른 꼬치 맛을 가리는 것 같아 드신 다면 식사 후미에 드시는 걸 추천드립니다.1. 59생 츠쿠네+산토리생맥주 추천2. 삼겹살을 감은 새우꼬치 추천3. 다리살+파 꼬치 익힌 파를 좋아하신다면 강추4. 대창꼬치는 식사 후미에 드시는 걸 추천5. 2차로 자주 생각날 정도로 맛집이니 한 번 방문해보시길👍🏼"
짱맛만 별점 남김,20,49,5.0,2024.01.01.,5.0,"내장 러버 기준 츠쿠네, 염통, 가슴연골, 근위 짱맛"
김민철,27,107,3.4,2023.12.30.,5.0,엄청 맛있어요 특히 고등어 덮밥그리고 너무너무 친절해요밖에까지 뛰어 나오셔서 핫팩 주셨어요 ㅜㅜ 감동감사합니다!
뿌에ㅔㅔㅇ,6,6,2.7,2023.12.28.,4.0,많이 추운날 가서 음식이 따뜻은한데 엄청은 아니고 미지근한 정도? 상도 대리석이고 에피타이저도 차가워서 춥고 또 음식이 떠듬떠듬 나오는편이라 배고팠음. 회식으로 갔는데 약간 간단히 배 채우고 가서 느긋하게 술한잔하러 가기 좋은 곳인듯. 갈때 핫팩주셔서 감동 엄청 받음 ㅠ.직원분들 되게 친절한 분이신데 단체여서 그런진 모르겠으나 옆테이블 설명해주고 우리 테이블 올땐 목소리도 작고 발음 뭉개져서 거의 안들림. 꼬치 설명 거의 못들었음. 젤 처음 나온게 제일 맛있었움.
햄버거 좋아함,5,13,4.6,2023.12.22.,5.0,항상 맛있게 잘 먹고 갑니다
꽃혜림,3,2,3.0,2023.12.20.,5.0,이게 제일 맛있어용
주언,23,45,4.9,2023.12.20.,5.0,"믿고먹는 나루토,,,!! 추천메뉴 달라지는거도 재밌고 맛은 말해뭐해ㅠㅠ 웨이팅이 용서가 되는 맛👍"
현다,16,43,3.7,2023.12.19.,5.0,음식이 좀 느리게 나오지만 맛있고 가격은 싼데 서비스는 고급 음식점 같다. 추천 메뉴가 편지 봉투 안에 있는 것도 귀여웠고 챙겨주신 핫팩도 친절했다. 평일도 예약 안하면 웨이팅이 있다.
김민수,2,3,5.0,2023.12.18.,5.0,
술마시는프로도,16,22,3.3,2023.12.09.,5.0,음식이 좀 느리게 나오지만 친절하고 맛있는곳!매번 가면 7만원은 넘게 나오지만 그만큼 맛있음!👍 내장탕도 맛있음
쩡키,21,189,3.7,2023.12.05.,5.0,
권민영,2,1,5.0,2023.12.04.,5.0,맛도 진짜 존맛이었는데 직원분들이 너무 친절해서 고급레스토랑 온 느낌이었음..👍 예약 못했는데 5시반쯤 가니까 운좋게 웨이팅 없이 들어갈수있었음! 조금 늦게 가려면 예약 꼭 해야될듯..
도리도리닭도리,11,12,3.3,2023.11.24.,5.0,꼬치 너무 맛있고 직원분들도 친절하셔서 기분 좋게 잘 먹었습니다~!
아체,10,16,3.5,2023.11.20.,5.0,직원분들 너무 친절해요 꼬치도 육즙 미쳤음아쉬운건 음식이 좀 느리게 나온다는점 그래도 이정도는!
김도연,3,2,4.0,2023.11.12.,3.0,엄청친절하시고 분위기좋아요단점이라면 꼬치류들 제가 먹어본건 다 느끼했어요
황승민,8,32,5.0,2023.11.11.,5.0,
ㅇㅇ,11,16,3.6,2023.11.08.,5.0,리뷰가 너무 좋아서 방문한 곳인데 진짜 만족합니다. 가격대는 조금 있는데 그만큼 맛있고 양도 적당하더라구요. 그리고  직원분들도 친절하시구요!  다먹고 집가려고 하니 오늘 날씨 춥다고 작은 핫팩까지 주시던데 너무 감동이었어요.
카1,11,20,5.0,2023.11.07.,5.0,"서비스가 엄청 따스해요, 모든 메뉴가 다 맛있었습니다"
ribgmsp,14,27,3.2,2023.11.06.,4.0,맛있어요… 조금 비싸지만. 사람 많을 때 있어서 예약 하고 가시는게 좋아요
맛있으면장땡,5,6,3.8,2023.11.03.,5.0,"리뷰 오랜만에 쓰는데요 , 반년전쯤 처음 방문하고 인상깊어서 여자친구데리고 재방문했는데 여전히 너무 친절하고 맛있네요 . 여자친구가 너무 좋아했어요 . 오늘은 특히 ‘윤지’라는 서버분이 너무너무 친절하셔서 정말 기분좋게 먹고 갑니다 . 덕분에 정말 감사한 시간이었습니다 . 몇번이고 또 오고싶은 가게입니다 ."
감자,15,23,4.2,2023.10.17.,5.0,50분정도 기다려서 혼술했는데 후회없어요 존맛존맛 직원분들도 혼자라고 눈치는 커녕 넘 친절하셔서 또 가고파요!
흑곰,31,168,3.9,2023.10.16.,4.0,
yom._.yom,22,44,3.5,2023.10.15.,4.0,맛남 ㄱ
park,14,34,3.5,2023.10.08.,5.0,지나가다 손님 많아서 가봤는데 존맛
나는나야,17,27,3.0,2023.10.07.,5.0,맛있습니다 가격대가 조금 있지만 ㅎㅎㅎ
맛있으면 짖는 개,18,47,3.9,2023.10.02.,4.0,왈왈왈왈
Gbj,19,33,3.2,2023.10.01.,4.0,서비스 최고!!맛도 최고!!!!
남정현,4,3,3.3,2023.09.13.,4.0,한국인입맛엔조금짤지도?
미식가,28,104,3.5,2023.09.11.,4.0,가격대비 조금 아쉽지만불향 좋음매우 친절하심
리사,1,2,5.0,2023.09.01.,5.0,
드대,31,114,3.1,2023.09.01.,3.0,꼬치나오는 속도가 너무 답답해서 맛있다고 느낀것도 퇴색될정도.. 게다가 엄청 특별한맛도 아니라서 가격대비 인상깊진않아요 직원들 대응은 훌륭했습니다 재방문의사는 없을듯..
ON,32,87,4.0,2023.08.23.,3.0,첫 방문때에는 꼬치외에 탕과 솥밥을 시켰고 재방문시에 꼬치만 시켜 먹었는데 훨 만족 기대를 너무해서 더 까다롭게 느껴지는지 가끔 꼬치들은 비린 부위들이 있어 그 부분은 아쉬웠음 원하는 시간 예약 난이도는 높지만 가격대는 괜찮은 편이라 한두번 경험으로 좋은 곳인듯후식 푸딩은 정말 맛있습니다!
지르르,6,9,3.2,2023.08.19.,2.0,음…..가격대비 양과 맛은 아쉽네요 분위기는 괜춘 일본직원분들이 많으신데 왕친절♡
영등포,3,7,3.3,2023.08.18.,5.0,
