user_name,user_rank,num_response,user_star,time,rating,content
박용수,2,1,5.0,2024.01.17.,5.0,노래 선곡 너무너무 좋다~~~사람도 많은 편이고 안주도 맛있고  너무 재밌음직원들도 친절한 편 굿굿
조진우,2,1,5.0,2024.01.10.,5.0,직원분들이 너무 친절하게 대응해주셔서 좋았어요 카레전골을 시켰는데 처음 시키는 생소한메뉴였지만 기대이상으로 맛있었습니다 또 방문하려구요 평일에 오면 조용해서 좋았어요
김현준,3,1,4.0,2024.01.10.,4.0,분위기가 레트로해서 일단 너무 취향저격이었는데하이볼도 맛있고 고즈넉하니 좋았습니다 저는 평일에 갔어요:) 카레전골 완전 댕맛 알바분 착해서 좋았습니다
복돌,33,121,4.4,2023.10.16.,3.0,옛날 노래 틀어주는 게 특색있네욤
최,11,18,2.9,2023.07.25.,1.0,별로..
Dio_,11,12,3.9,2023.07.13.,3.0,옛날노래가 나와서 신나게 놀면서 술먹기 너무 좋고추억이 젖도 싶으신분들은 추천드려요^^다만 좀 시끄러운거 싫으신분들은 비추!
6895,2,1,5.0,2023.07.04.,5.0,"안주 좋음,분위기 좋음"
주영아,16,44,4.3,2023.06.19.,4.0,
유종애미,23,59,3.6,2023.06.07.,1.0,여길 왜 가
스미스미,2,1,1.0,2023.03.04.,1.0,술만 먹자안주는 저세상 꺼다그냥 냉동제품 데워준다아주 자주 춤추는  놈  녀 있다꼴보기  실음 가지마알자떡볶이 국물이 쫄아서  국물  추가 했다뜨아악뜨거운물에 초장준다기대하지마라그냥 7인자리가 없어서 갔다그게 아니라면 가지말자
소미,2,3,1.0,2023.01.21.,1.0,최악 연령대가 평균 50대? 음식도 다 맛 없고 할많하않. 목에 칼이 들어와도 다신 안 감.
문워크°,12,25,4.2,2022.11.22.,5.0,어제 가수 임영웅이 방문한곳!!근데 여기는 직원들이 다 불친절하고싸가지 없음ㅡㅡ
쩽,13,14,1.6,2022.10.29.,1.0,ㅁㅊ ㅋㅋㅋㅋ 아니 ㅋㅋㅋㅋㅋㅋ 밖에? 앉을때 창문 닫을거라고 안내해줘야 하는거 아님? 개어이없네 문 갑자기 닫고 심지어 똑같은 돈내고 먹는 사람들이 아닌 웨이팅 하는 사람들이 우선순위로 들어감 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ개어이 ㄴㄴ 가지마셈
강지웅,2,2,2.5,2022.05.21.,1.0,직원들이 불친절해서 다시 안갈듯
강인영,6,7,3.3,2022.05.03.,1.0,원래 안주가 맛있어서 자주 가던 곳이었는데 이제 안갑니다. 1. 전날에 전화로 테라스자리 7명 예약했는데 당일에 가니까 예약에 대해서 아무런 들은 바 없다는 듯이 테라스자리는 오늘 안연다고 함. 일부러 테라스 있어서 여기 술집으로 온거라 정중히 여쭈어봤음에도 사과나 설명 한마디 못듣고 실내자리에 앉음. 그러다 한두시간 후에 다른 손님에게 테라스자리 줘서 너무 어이없었음 2. 중간에 계산서를 봤는데 시키지도 않은 안주 들어가있어서 덤탱이쓸뻔 함. 다른 테이블거 잘못 찍은거면 설명해주고 사과했으면 기분 안나빴을텐데 23000원 덤탱이쓸 뻔 했는데 그러네요? 뺄게요 하고 또 사과 한마디 못들음. 다른 테이블거 잘못 찍었다고 생각하기엔 두팀밖에 없었음. 장사 이런식으로 하지 마세요~ 단골들 다 떨어져 나갑니다ㅜㅜ
ㅎ,6,15,1.7,2021.11.03.,1.0,"안주 정말 맛없고, 불친절해요.시끄러워요...ㅠㅠ 대충 먹고 그냥 나와서 다른 곳갔어요.."
먹둥이,44,434,3.8,2021.03.07.,3.0,
loxrd21,48,"1,510",3.2,2021.03.01.,4.0,
치즈,4,6,2.0,2020.11.01.,1.0,안주쓰레기임
냠냠이,33,329,3.4,2020.08.14.,3.0,
맛집러,7,9,3.0,2020.07.12.,1.0,간단하게 맥주하러 갔는데 안주도 17000원이상 시켜야 한다고 하고 너무 늦게 나오고 시끄러워서 다신 안갈 듯
박상정,63,659,3.6,2020.06.15.,2.0,"요즘 인싸들의 공간인듯. 불금에 갔었는데 20대 초반이 많았고 음악은 90년대 노래가 나옵니다.(신나는 노래위주) 엄청 크게 나와서 맞은편에 있는 사람과 대화가 어려울 정도 ㅜㅜ 칵테일은 세종류 시켰는데 모히또 빼고 나머지 두잔은 (블루~,코코넛~) 아이스크림 녹인물처럼 너무 달고....술같지가 않았어요. 모히또만 갠찮음. 가격은 1잔에 7-8천원. 가격대비 실망스러운 칵테일 ㅠㅠ 안주도 평범했습니다.또 가진 않을거 같아요. 핫함을 원하는 인싸라면 가도 괜찮겠지만 퀄리티있는 좋은공간을 원한다면 비추입니다."
서지현,12,30,3.3,2020.05.04.,5.0,존잼띵
말,28,208,3.5,2020.04.19.,1.0,직원들이 너무 불친절합니다
냠,21,354,3.2,2020.02.18.,1.0,
신민서,2,1,1.0,2019.12.29.,1.0,여기 별관? 이쪽은 아예 음악이 안 들려서 적막해요. 아무리 고시원에서 민원 들어왔다지만 이럴거면 이미 예약할때 말이라도 해줘야하는거 아닌가요? 여기 음악들으러 가는거지 뭐 음식이 맛좋고 술이 싸서 가는거 아니잖아요. 나 진짜 그렇게 고요한 경우는 처음 겪었습니다.
오전필,19,381,5.0,2019.05.23.,3.0,
4.0,33,476,3.9,2018.08.04.,2.0,
블블,68,949,4.1,2017.03.12.,3.0,2차로 먹을 만한 가벼운 안주는 없었다전부 해비해ㅜㅠ 근데 또 양은 적네
