user_name,user_rank,num_response,user_star,time,rating,content
.,11,9,4.0,2024.04.07.,4.0,칵테일이 많이 달지않음. 내입맛엔 괜찮았음. 내부 분위기도 그렇긴 했지만 힙합클럽에서 틀것 같은 노래가 많이 나온다. 그게 싫으시면 다른 곳 추천함! 난 좋았음.
김민기,23,19,4.8,2024.03.07.,5.0,맛있는건 기본이고 분위기도 좋고 사장님도 친절하셔서  좋았습니다!
..,21,49,4.1,2024.03.03.,5.0,여기 미도리샤워랑 피치크러시 대박이에요💕
서교동락스타,3,2,5.0,2024.03.03.,5.0,직원들 엄청 친절하고 칵테일 엄청 예쁘고 맛있어요 ! 홍대에서 이만한 바 찾기 어려울것같아요 추천합니다 !
가람인나가람,2,2,5.0,2024.03.03.,5.0,조명 개 힙함 직원들 맛있고 칵테일이 멋짐
삼이,4,2,4.0,2024.02.25.,3.0,"내부 엄청 어둡고 칵테일은 제 취향 아니었음그리고 사장님이랑 직원분 엄청 친절한건 아님,,,한 번 간걸로 만족 두번은 안갈거 같아용아 그리고 주문 할때 카운터 가서 직접해야됨요"
호랑이의모근,11,44,4.5,2023.09.30.,5.0,혼술하기 괜찮네요
뇽뇽냐옹,2,1,5.0,2023.09.01.,5.0,평소 혼술하는걸 좋아해서 방문했는데 직원분들도 정말 친절하시고 술도 너무 맛있어서 기분 좋게 놀다 왔습니다!!저는 단걸 별로 안 좋아해서 추천해달라고 말씀드렸더니 김렛 클래식 추천해주셨어요!엄청 프레시하고 상큼한 맛이었어요 다음에 또 방문할게요☺️
멀비멕스,26,136,4.9,2023.08.31.,5.0,칵테일 영롱해요~!! 홍대오면 꼭들리시길👍
꼼꼼,24,108,4.9,2023.08.31.,5.0,인스타에서 본 것보다 이뻐서 놀람 ㅋㅋ
봉숭아,28,147,5.0,2023.08.30.,5.0,감성 좋아서 그런지 사진두 잘나와용❤재방문의사 100%
후후,25,121,4.8,2023.08.30.,5.0,안주 좋구 분위기 갑~ 칵텔두 맛있어여
왕장호,17,49,5.0,2023.08.29.,5.0,사장님이 친절하셔서 그런가 너무 아늑함!
지강송,17,50,5.0,2023.08.29.,5.0,가성비 최고 ㅎㅎ 홍대오면 꼭들리는곳
주노준호,22,80,5.0,2023.08.28.,5.0,한번도 안온 사람은 있어도 한번만 온 사람은 없을듯
찬미,23,90,4.8,2023.08.28.,5.0,막차타기전에 꼭 들립니다 ㅋㅋ분위기 힙하구 좋아여
임금비,22,90,4.9,2023.08.27.,5.0,나만알고싶은곳인데 이미 좀 유명한듯
이미소,22,83,4.9,2023.08.27.,4.0,요즘 내 아지트
징ㅇ,65,751,3.4,2023.07.29.,2.0,27000원에 칵테일 4잔 샘플러(?)처럼메뉴를 구성한건 정말 좋았지만..칵테일쪽 일해봐서 맛을 아는 사람으로써맛이 정말 너무 없음 ㅠ 걍.. 설탕물임.. 너무 달아.. 넘나리 아쉽쓰
동둥,3,2,5.0,2023.05.21.,5.0,바 분위기 좋고 칵테일 이쁘고 맛있어요직원분들도 친절하셔서 더 좋았어요 :)
하남이,41,400,4.1,2023.05.04.,5.0,친절하시고 아늑하고 맛있고 다함
신짱구,34,105,4.0,2023.02.08.,4.0,우연히 발견해서 들어감내부 어두침침 ㅋㅋ 메뉴는 가격대가 나뉘어져있는데 사진이없어서 칵테일 고르기 힘듬..안주종류 별로없음 걍 감자튀김 시켜서 냠뇸함생각보다 테이블 수가 적어서 그런지 수다떠는데 문제없었음.
행복한 펭귄,16,15,4.2,2023.02.04.,4.0,칵테일 맛있었고 나쵸치즈의 치즈도 정말 맛있었어요!그렇지만 너무 시끄러웠어요..
★,28,99,4.0,2022.09.10.,5.0,조명이슈 리뷰 보고 갔는데 친구랑 수다떨기에 생각보다 무난했음칵테일 맛있고 친절했어요 주류만 보면 가격도 저렴한 편이었고... 근데 가끔 너무 시끄러운 노래 나옴 그거 빼곤 완전 만족입니당
.,42,294,4.0,2022.08.14.,5.0,가보고싶던 곳이었는데 기대한 만큼이었어요친절하시구 분위기도 좋고 안주도 괜찮았어요
박예나,4,3,5.0,2022.08.12.,5.0,매우매우 친절하고 맛도 있었던 아쉬운 건 조명...조명 정말 ....분위기를 위한다면 리뷰를 보고 바꿔주시길 바래요
음,26,122,5.0,2022.08.02.,5.0,"메뉴판이 친절한 칵테일바,,,,, 설명이 구체적임. 맛도 념념굿 비주얼도 굿ㅠㅠ 칵테일 한 잔 가격은 구천원-만사천원 입니당"
삼치,2,2,5.0,2022.08.01.,5.0,
전국팔도외식러,40,165,3.9,2022.04.01.,5.0,인테리어랑 나오는 음악도 좋아서 분위기 굿이네요. 테이블자리 없었는데 먼저 바에 자리잡게 안내해주시곤 자리 나오니 옮겨주시는 친절함도 좋았습니다. 무엇보다 메뉴별로 술맛과 달달함 정도가 표기된 너무나도 친절한 메뉴판도 센스 돋보였습니다b
쿠로미 노트,45,398,4.2,2022.03.24.,5.0,4개 세트 가성비 갑직원들 짱친절옷걸이 있음맛은 음료수 같은데 강하다
익명,33,278,3.7,2022.03.23.,5.0,바 이쁘고 분위기 좋고 서비스 좋음재방문의사: 유
다혱,3,2,5.0,2022.02.03.,5.0,바 분위기 예뻐서 사진 찍기 좋네요 술 못 먹는 편이라 직원분께서 추천해주신 무알콜 딸기 모히토 먹었는데 너무 맛있었어요
김정민,2,1,5.0,2022.02.01.,5.0,바 분위기 너무 좋고 예뻐요 무엇보다 너무 친절하시고 칵테일 추천이나 설명 잘 해주셔서 좋았어요 또 방문 하겠습니다 ♥
김민지,2,1,5.0,2022.02.01.,5.0,알바생이 예쁘고 친절해요 ㅎㅎ 감바스가 맛있어용
뀨,2,1,5.0,2022.02.01.,5.0,지인소개로 갔는데 직원분들 친절하시고 분위기 조아요 일단 칵테일이 너무 맛있습니당♥︎ 포토존에서 사진 꼭 찍고 와야해여
포테토,21,40,4.0,2022.02.01.,2.0,금요일에 방문했는데 시끌시끌하고 정신없었어요칵테일 비쥬얼은 좋지만 맛은 ..
익명,16,22,4.4,2022.01.18.,3.0,조명이 너무 쎄서 좀 불편하긴 했어요! 치킨 텐더 짱 맛있습니다! 칵테일 도수 좀만 더 높았으면 좋겠네요~ 조용하고 이야기하기 좋아요!
맛있으면우는냥이,10,9,3.7,2021.12.12.,5.0,냐아아아오이ㅜ아아앙!!!!냥!!!!!!냐옹 미야옹 냐옹냐옹
서연ㅇ,1,1,5.0,2021.12.09.,5.0,너무 맛있네요 재방문의사 있습니다 걸프랜드가 좋아해요
박현아,2,2,5.0,2021.12.03.,5.0,분위기 좋고 가격도 만족 :) !
