user_name,user_rank,num_response,user_star,time,rating,content
서무길,13,51,1.7,2024.03.28.,2.0,
김하민,20,52,4.1,2024.03.06.,4.0,메뉴가 많음에도 불구하고 퀄리티가 대체로 다 좋음.
Charles S.,48,313,4.5,2024.02.25.,4.0,역시 맛있어요~~^^
깐깐징어,2,2,4.0,2024.02.15.,3.0,"맛은 있으나, 직원교육이 먼저가 되야할듯."
영서니,7,6,4.2,2024.01.04.,4.0,쌀국수랑 새우 완자 진짜진짜 맛있어요! 카레 종류도 하나 시켰는데 그건 향이 너무 강해서 제 입맛에는 안맞았어요ㅠㅠ 가성비가 좋지는 않지만 가끔 와서 먹고싶을것같아요~!
맛집조아,11,14,4.0,2024.01.02.,5.0,가성비는 떨어지지만 맛있어요 푸팟퐁 커리 추천 (양 많음)
맛집만 조짐,31,101,4.0,2023.12.31.,4.0,맛있음…. 면 뿔어가는데 음식이 너어어무 늦게 나와서ㅠㅠ 아쉬워서 별하나 뺍니더… 음식은 다 맛있음ㅜㅜ
Lonun,30,407,3.4,2023.12.20.,3.0,트렌스젠더처럼 생긴 알바생 음식 던지고 가던데 관리 좀 하세요. 맛도 기대 이하였습니다.
쨥짭,18,69,4.0,2023.11.10.,4.0,런치메뉴 가성비 너무 좋고 맛도 좋아요단지 내부가 좀 정신없어요ㅠ 손님이 항상많아서!
모모,14,46,3.5,2023.11.09.,5.0,
힌재,39,114,3.5,2023.11.05.,4.0,팟타이 맛있어요. 면에 소스가 아주 제대로 붙어서 적당히 달고 짜고 이국적인 향 확 나고. 점심시간에 가면 가격도 저렴해서 가성비 좋은 태국음식점으로 추천할 만합니다.대신 가게에 꾸리꾸리한 향이 너무 심해요. 음식 나오기 전까지 좀 힘들었어요. 한번 방문 후로는 배달로만 먹고 있습니다.
맛보기,43,538,3.6,2023.10.31.,3.0,외국인 서빙과 현지 음악으로 로컬 분위기내려는건 알겠는데 카드 영수증보니 한국인 프랜차이즈 느낌. 향신료를 뚫고나오는 고기 노린내와 질긴 식감. 몇가지 음식 먹으며 웃음 나옴. 타이 셀렉트라는데 이게 타이 맛?
SUMMER,7,4,5.0,2023.09.04.,5.0,입구에서부터 로컬의 향이 스근하게 났는데 들어오자마자 진짜 분위기에 태국뽕에 취하고 인테리어만 그런가 싶었는데 음식 먹자마자 박수치면서 먹었습니다. 짜장면 하나도 나못먹는데 완접 하고 나옵니다!!‘하 또와야지 진짜 서울에 있는 태국이에요ㅠㅠ태국여행에서 먹은거보다 맛있어요!!!N2 소고기 쌀국수 먹었는데 그 완자?! 그게 진짜 개꿀 맛도리에요!!!추가 가능하다면 꼭 추가하십서
헬로,14,148,3.5,2023.09.02.,4.0,똠얌 존맛
888,17,20,4.1,2023.08.27.,1.0,여길 맛있다고 하는 사람들은 맛있는 태국 음식점에 한번도 못가본 사람일 듯..물론 한국엔 맛있는 태국 식당이 거의 없습니다. 일단 재료를 제대로 쓰는 곳이 거의 없다시피하죠. 인테리어만 태국 흉내 내고 달고 짜게 한다고 태국 음식이 아니에요.하지만 여기는 맛없는 태국음식점 중에서도 가장 별로인 편입니다.도대체 왜 유명한지 모르겠고 타이 셀렉트는 아무나 주는 듯요.. 옛날엔 맛있었는지 몰라도 (전 예전에도 그냥 그랬네요) 업데이트를 해야 할 것 같네요.
미식대식,21,34,3.7,2023.08.24.,3.0,짧은머리 불친절 알바 하지만 맛있다 매우 태국 현지 느낌그대로 재방문은 수도 없이 많이함 가끔 구린냄새가 홀에 날땐 잇음 짜고 달고 시고 태국맛의 정석 굿굿
유미,3,4,4.3,2023.08.05.,5.0,진짜 태국 느낌 이예요 맛도 분위기도요. 근데 찾는데 조금 힘들었어요
무구,6,7,4.4,2023.08.04.,4.0,
4.0,33,476,3.9,2023.07.26.,4.0,팟타이는 꽤괜 바질돼고기덮밥?은 쏘쏘
깨비짱,58,568,4.4,2023.07.19.,5.0,짱맛 다른 메뉴도 맛보고 싶다
먱,4,3,5.0,2023.07.15.,5.0,진짜 맛있다
나구리미슐랭,19,53,3.6,2023.07.13.,4.0,진짜태국같은분위기 태국같은맛✌🏻🔆
안녕하쇼,21,140,4.6,2023.07.07.,5.0,
very well done 👏,4,2,1.5,2023.07.02.,2.0,여기 이전하기 전에는 괜찮았는데 지금은 가격도 비싸고 맛도 별로에요
버터,18,44,3.3,2023.06.17.,4.0,+: 태국 맛나고 양많음-: 양이 너무 많음.. 사장은 0.7인분 정도 줄여도 될 것 같습니다 맛있는데 먹다가 조금 질려요
민,22,56,4.1,2023.06.15.,3.0,현지의 맛 그 자체..찐 한국입맛이면 약간 힘들지도..
코알라,13,19,4.6,2023.06.11.,5.0,태국에서 먹었던맛이랑 99프로 일치합니다 ! 고수도 더 달라고 했는데 엄청 많이 가져다 주시고 너무 친절합니다 ! 똠양꿍은 꼭 드세요 진짜 국물이 미쳤습니다 !! 인테리어도 태국여행 다녀온 느낌 나서 너무 즐거운 시간이였네요 ^^
짱도리,41,282,3.9,2023.06.08.,1.0,리뷰좋은것 같아서 갔는데…게커리는 커리가 아니라 무슨 기름볶음요리 같고너무 느끼해서 못먹겠음 다남김똠양 쌀국수는 그럭저럭 먹을만 한것 같은데입맛에 안맞아서 반도 못먹음음식 남기는거 싫어하는데 태국음식은 나랑 안맞네요
숭이,21,74,3.3,2023.06.04.,5.0,태국음식을 사랑하는 사람으로서 이 집은 정말 대단합니다. 똠양꿍 쌀국수는 똠얌을 못 먹는 사람도 쉽게 먹을 수 있는 훌륭한 맛이었습니다. 이외에도 다른 음식도 훌륭했으며 가격도 합리적입니다. 가개 내부에 한국인 보다 외국인이 많은데 이게 맛집아라는 반증이지 않을까 싶습니다.
토마토맛토마토,10,12,4.8,2023.05.21.,5.0,진짜 개맛있어요 진짜.. 태국으로 여행온줄알았읍니다 쌀국수 엄청 싸길래 기대 안했는데 완전 맛있어요 양도 많아서 가성비 짱임니다
외이도염언제낫냐고,14,24,4.3,2023.05.19.,5.0,쌀국수 맛있고 뿌빳퐁커리 맛있어용마늘 돼지고기튀김은 (당연하지만) 마늘 돈까스 같은 맛.요리류에 밥 같이 안 나와서 따로 시켜야하고 점심보다 저녁이 좀 더 맛있는 느낌? (세 번 가봄)태국 분들도 많이 오시고 태국 노래 나오는 데임
김도영,16,32,4.3,2023.05.02.,5.0,맛없다는 사람들은 태국 안가본듯ㅋ
김종우,12,109,4.1,2023.05.01.,4.0,
혜팔,8,21,4.3,2023.04.25.,5.0,맛있어요👍
seraphic0524,11,13,4.8,2023.03.06.,3.0,인기에 못 미치는 맛ㅠ
ㅇㅇ,23,49,3.0,2023.02.21.,2.0,찾아갈 정도의 맛집은 아닌데… 흠…
나는죠쉬당,40,171,4.3,2023.02.12.,4.0,태국인 분들이 절반이 넘는 진짜 태국 음식점. 강추. 푸팟퐁커리 맛있는데 두명이 계속 먹기엔 물리는 맛이라 다른 야채같은것도 같이 시키는 것을 추천. 팟타이 맛있고 닭날개도 맛있음. 간이 좀 있는 편이라 밥이나 야채를 같이 먹어야한다.
먹기위해사는사람,61,854,3.3,2023.01.28.,1.0,20191220 :+ 20230128 : 어메이징 타일랜드 시절에 엄청 맛있게 먹었는데 맛이 전혀 달라져버렸네; 팟타이가 매울뿐더러 케찹맛이 너무 심하게 남.... 태국음식 좋아해서 현지에서도 많이 먹고 국내 태국식당 여러군데 갔는데 제일 맛없는 팟타이였다...
djshinabro,8,9,4.6,2023.01.22.,5.0,여기 우리나라 태국 거의 원탑이 가까운데 악플다는 사람은 뭔지 모르겠네
만춘,38,378,3.5,2023.01.16.,2.0,그냥 저냥.
koo,10,19,4.4,2023.01.12.,5.0,팟카파오무쌉 너무너무 맛있어요ㅠㅠㅠㅠㅠ 푸팟퐁커리 팟타이도 다 맛있었어요❤️
CN,5,6,3.5,2022.12.12.,5.0,내기준 태국음식 1순위
먹잘알,15,31,3.9,2022.12.04.,5.0,똠양꿍 팟타이
