user_name,user_rank,num_response,user_star,time,rating,content
이정은,18,6,4.7,2024.04.24.,5.0,여기 진짜 분위기 너어어무 좋고 직원분들도 너무 친절하셔요!!!!!  여기 날씨 좋을때 가셔서 인생샷 건지세요!!
덕유산 지키미,4,6,4.7,2024.04.09.,4.0,
성수,7,10,4.4,2024.03.28.,4.0,브런치라 가격은 좀 있는편이지만 직원분들 친절하고 인사 잘해주세여ㅎㅎ
조권호,6,10,4.7,2024.03.25.,4.0,
맛맛맛,5,10,4.1,2024.03.18.,5.0,토마토 브루스게타 존맛탱이고푸릇푸릇해서 가만히 앉아있으면 차분해지고 편안해져요ㅎㅎ 😊😊
02 평가단,74,"1,003",4.5,2024.03.06.,5.0,비싼감이 있지만 맛과 분위기로 다 봐줄수있음좌석도 많음
박풀,7,4,3.5,2024.02.26.,5.0,"지나가다가 우연히 들른 곳인데 입구에서부터 풀내음 꽃내음 가득해서 기분 좋았어요 양식도 파는 것 같던데 저희는 음료수 먹으러 갔습니다레몬 에이드, 청귤 에이드 시켰는데 (메뉴판에는 한글 표기가 잘못 되어있더라고요… 참고하세요!) 탄산이 거의 없더라고요 에이드가 아니라 그냥 음료수 같았어요 그래도 나름 맛있었어요 제가 청귤을 좋아해서 그런 걸수도 있습니다분위기는 너무 좋았는데 의자가 살짝 애매했어요 약간 넘어질 듯 말 듯 불안불안한 의자였는데 원래 그런건지 걍 저희가 무거워서 그런건지… 쨌든 재방문 의사 있습니다!"
호잇,16,37,3.8,2024.02.26.,2.0,식물들이 매우 커서 들어갈땐 와~ 했는데 습하고 답답한 느낌도 있다. 음악소리도 크고 사람 많아서 정신없는 분위기. 비싼 브런치 메뉴는  사먹는 요리라기보다 친구가 해주는 맛인데 의자도 등받이 없는의자가 태반
짹,37,146,4.3,2024.02.21.,4.0,가성비가 너무 아쉬운데요....? 모임이나 데이트 하기는 너무 좋지만 브런치 가격이 조금 있습니다 ㅠ
서승희,24,45,4.7,2024.01.30.,5.0,즐거운 시간이였습니다! 넷이 가서 대형카페를찾은건데 곳곳에 자리가 많아서 좋았어요
무지개,32,263,4.2,2024.01.16.,5.0,좋아요
유롱,22,21,4.5,2024.01.15.,5.0,그린플로우 맛있어요! 친구들이랑 갔는데 분위기도 좋고 좌석도 많고 >_< 친절하셔서 너무 좋았습니다다만 음악이 ㅋㅋㅋㅋㅋ 뭔가 공간이랑 뜨는 느낌이에요 ㅋㅋ 힙한 라운지음악보단 차분한 재즈도 어울릴거같은.. ㅋㅋㅋㅋ그럼에도 재방문의사 1000%
🤔,19,42,4.0,2023.12.28.,4.0,공간 분위기 너무 좋아요~가격은 비싼 편인데 공간이 모든걸 용서하는 수준!
jk,34,103,4.0,2023.12.11.,4.0,식물로 파티션 쳐진 느낌이라 대화하기 좋았어요. 다만 키를 넘어가는 식물들이 답답하게 느껴지긴 함. 그래도 초록초록한 느낌이 좋네요
레스기릿,12,25,4.3,2023.12.11.,3.0,무난
오늘은어디,34,278,3.9,2023.12.10.,3.0,
귥,12,15,3.7,2023.11.25.,2.0,오믈렛이 메뉴에서 사라짐..... 왜 갑자기 사라진거죠 ㅠㅠ
이두실,20,66,4.8,2023.11.24.,5.0,음식은 그저그럴지만 커피가 괜찮고 식물구경하러 자주가요!
Alex Popadia,4,2,5.0,2023.11.24.,5.0,Amazing place with really good quality food and service!
juan,6,12,4.5,2023.11.23.,4.0,음식 좀늦게나옴 분위기너무좋음
맛집좋아함,15,36,4.0,2023.11.16.,4.0,인공식물향이었나요..?난 숲 속에서 밥 먹는것 같다고 좋다고 먹었는데..부모님 모시고 갔는데 모두 만족스럽게 먹음사실 맛이 대단하다기보다는 분위기 좋은 곳에서 속 편하게 먹을 수 있는곳
김도하,12,83,3.6,2023.11.13.,3.0,"머리아픈 인공식물향, 비싸지만 평범한 음료, 관리되지않은 커튼넓은 공간, 브런치, 정중한 직원들"
먹탐험,5,5,4.8,2023.11.10.,5.0,매장 너무 예뻐서 종종 갑니다. 브런치도 괜찮아요
7893,12,31,3.3,2023.11.10.,5.0,
J,5,14,3.7,2023.10.23.,5.0,엄첨 친절하고 분위기도 좋아요
TR,2,1,5.0,2023.10.22.,5.0,어반샌드위치 너무 맛있게 먹고 가요.들어가자마자 고유의 향이 너무 좋아요 ~식물들이 많고 직원분들도 친절하셔서 굳!
야야야,1,1,5.0,2023.10.22.,5.0,매장이 너무 이쁘고 풀이 너무 많아서 보기 좋아요. 직원분들도 친절하시고 매장도 깨끗하고 덕분에 좋은 시간보내고 왔어요.
하아이고,1,1,5.0,2023.10.22.,5.0,매장도 깨끗하고 식물이 많아서 좋아요!!
김수환,4,4,1.0,2023.10.21.,1.0,너무 지저분함
아공,46,684,3.2,2023.09.29.,4.0,커피와 브런치 그리고 분위기를 먹는 곳!
s,11,25,3.8,2023.09.25.,5.0,오래된 느낌이긴 하나 분위기가 좋고 음식 맛이 좋아요
COURT,11,8,4.5,2023.09.21.,5.0,메이플라떼는 달콤했어요
굴자,27,85,3.6,2023.09.18.,4.0,분위기 좋아여 음식은 놀라울정도는 아니었지만 조용하게 자연속에있는 느낌을 주는곳이예요
ISTJ,42,287,3.6,2023.09.16.,4.0,와 뭔 이런 카페가 다있지? 싶은 카페서울 도심에서 식물을 보고싶다면 여
예진이,1,1,5.0,2023.09.15.,5.0,너무 맛있어요~다시 재방문 하고싶어요~!
손주하,4,39,3.6,2023.09.15.,5.0,
✨️임종석,3,1,1.0,2023.09.14.,1.0,ㅇㅏ.. 싫다..  젤 맛난게 소시지였음
민서,3,1,5.0,2023.09.12.,5.0,직원분들이 친절하고 푸릇푸릇하고 정말 예뻐요 샌드위치 강추 먹느라 사진은 없지만 진짜 맛있습니다 시즌 한정으로 나오는 샐러드도 정말 맛있습니다
분위기찾아삼만리,2,1,5.0,2023.09.12.,5.0,분위기 갑... 식물이 엄청 많던데 관리를 어떻게 하시는 건지 초록초록 너무 예쁘고 좋았습니다 !다음에 또 갈까봐요 !!!!
장선영,3,2,5.0,2023.09.12.,5.0,진짜 올때마다 새로운 기분이 드는 곳이에요ㅠㅠ여기 너무 좋아서 주마다 한번씩 방문하고 직원들도 짱 친절하고 브런치 맛도 굳이에용
삥뽕,11,23,4.3,2023.09.11.,3.0,내부 인테리어 정적이구 짱 좋은데 왜 클럽음악이 나오냐구요 ㅠㅠㅠㅠㅠㅠ 노래가 너무 시끄러워요
무무,33,296,4.5,2023.09.02.,5.0,들어가자마자 식물 향이 확 나서 상쾌해요! 자리도 많고 직원분이 친절하셔서 좋았어요
최나은,45,199,4.1,2023.08.25.,4.0,"커피 가격, 양, 맛 괜찮고 분위기 좋아요 디저트는 너무 비싸고 종류가 적은 게 흠이네여 가게가 2층까지 있고 되게 넓은데 식물이 다 뒤덮고 있어서 실평수는 좁은 느낌?ㅋㅋㅋ 의자가 인스타 갬성 카페 느낌으로 불편해서 아쉽지만 자연친화적인 느낌의 식물카페 흔치 않아서 전반적으로 좋았어요"
“,10,133,3.7,2023.08.10.,5.0, 넓었으면 ㅠㅠ
냐니,12,16,2.6,2023.08.07.,5.0,"분위기 좋고, 쾌적하고 맛있어요👍무엇보다 직원분들이 친절하십니다~!2번째방문인데, 또 오고 싶네요:)"
오리너구리,17,26,3.7,2023.08.06.,3.0,"장소는 참 좋은데, 좀 덥고 사람이 많아서 바글거리는 느낌ㅜㅜ"
ㅇㅇ,24,79,3.7,2023.08.05.,3.0,식물이 정말.... 많음... 정말.. 신기했음..... 잘못 움직이다가 화분 칠 수도 있음...
ㅇㅌㅅ,17,44,4.3,2023.08.01.,4.0,메뉴 마음에 들고 맛있고 분위기도 괜찬은데 직접 접시 가져오라니 핫플의 도도함?
HK최필준,2,2,5.0,2023.07.31.,5.0,
