user_name,user_rank,num_response,user_star,time,rating,content
이상혁 (GomSeany),5,6,4.3,2024.04.23.,5.0,먹어본 초밥집 중에 최고입니다. 자주 들러서 먹고 있습니다.
안수연,1,1,5.0,2024.04.22.,5.0,
soosoo,10,12,4.0,2024.04.12.,5.0,
전준,2,2,3.0,2024.03.23.,5.0,동 가격대 끝판왕
메에,12,18,3.9,2024.03.13.,5.0,"맛있어! 홍대에서 제일 괜찮은 초밥집 같아요. 다만 밥 뭉친게 너무 약해 잘 으스러짐 ㅠ 그래도 회 퀄리티가 괜찮고, 두께도 적당하고 이 가격에 이 맛이면 좋다 생각합니다. 가성비도 있고 홍대에서 초밥 먹는다면 여우골 가세용"
친절한 곳 좋아함,9,12,4.8,2024.03.05.,4.0,너무 친절하시고 맛도 좋아요 ㅠㅠㅠㅠ 최고♡
EJ,34,201,3.2,2024.03.05.,2.0,"비리비리한 생선을 간장맛으로 감추는 집, 단골이었음"
가나다라,6,7,3.3,2024.03.03.,5.0,진짜 최고의 맛집.약30년인생 이렇게 맛있는 초밥집은 처음 부모님 모시고 다시올 예정A세트 강추!!! 가성비 짱짱
뛰뛰빵빵,5,6,4.3,2024.02.18.,5.0,맛있어요…진짜.. 연어가 입에서 녹아요..
제원,21,44,2.9,2024.02.15.,5.0,먹으면서 울뻔 했음 ㅠㅠ 너무 맛있고 화징실도 깔끔해 사장도 자꾸 서비스 해줌
김창환,4,11,3.9,2024.02.06.,5.0,
서하평,2,2,5.0,2024.02.02.,5.0,5점을 주지 않을 수 없다
.,5,2,5.0,2024.01.27.,5.0,"홍대역 주변 초밥집은 다 가봤는데, 유명하고 비싼곳 가봐도 여기가 제일 맛있었어요🥹밥이 따뜻 촉촉 달달한 스타일인데 취향을 탈 수 있겠지만 저는 극극호... 회도 아주 두툼하고 커서 초밥의 로망을 딱 충족시키는 맛...사장님도 너무 친절하시고요 알러지때문에 모둠에서 연어 변경 가능한지 여쭈었더니 활어나 참치로 바꿔주신다고 하셨어요! 3명가서 2메뉴 시켰는데 서비스로 돌우동2개 계란초밥3개 묵은지초밥3개 주셔서 엄청 푸짐하게 먹었네요 계란초밥도 촉촉달달폭신 해서 감동... 사장님께 너무 맛있다고 말씀드리니 활짝 웃으시는데 제가 더 감사하네요. 행복하세요 저는 행복합니다..."
청량,33,128,4.1,2024.01.24.,3.0,친절과 가성비로 가는곳..  밥은 잘못지었는지 질은밥으로 회 올려주시더라고요. 원래 꼬들밥인거같은데 질은밥으로하니 맛이 떨어지는..  그리고 코스요리 형식으로 나와서 많이 아쉬웠습니다. 참고로 우동은 개인별못시키고 하나로 통일돼서 나와요
