user_name,user_rank,num_response,user_star,time,rating,content
곰돌,9,12,4.3,2024.03.21.,5.0,여우골 여러 지점 가 봤는데 여기가 서비스 제일 좋고 친절하심!! 평일 점심에 셰프 한 분이 조리랑 서빙 메뉴설명까지 다 하셔서 안쓰러울 정도로 바빠보이시는데 음식은 초고속으로 나옴 와사비 빼 달라는 부탁까지 챙겨주시면서... 이걸... 혼자서... 어떻게? 하지만 감사합니다 자주 올게요 이런 식당 보면 한국에도 팁문화 있으면 좋겠다 생각 들 정도
가가가,2,4,4.8,2024.03.06.,5.0,
흠,3,4,4.0,2024.02.28.,5.0,초밥이 너무 부드러워요ㅜㅜ 짱
토리,6,6,3.7,2024.02.12.,3.0,존의 초밥과 다르게 밥이 상당히 무른편이긴하지만 맛은 좋았습니다. 처음 드시는분들은 다 뭉개져서 어색할지도
입금완료,20,41,4.1,2023.12.27.,5.0,초밥은 무조건 여기로 옵니다. 이제 몇 번째 방문인지도 기억 안 나네요. 밥에 간이 잘 돼있고 입 안에서 녹습니다. 친구 데려오면 열이면 열 명 전부 좋아하는 곳입니다.
맛집이사라지고있다,4,8,2.8,2023.11.26.,2.0,초(醋)밥이 아니라 감(甘)밥이라 해야겠네요.디저트를 따로 먹을 필요가 없겠습니다.
놀먹,31,99,3.0,2023.11.25.,4.0,초밥이 입에서 살살 녹아 내림
seibi,3,3,1.3,2023.11.13.,1.0,밥은 달고 작고 생선크기 볼품없고 스시집에 녹차 없는것이 기본도 안되있고 스시를 젓가락이 아닌 숫가락 으로 먹어야 하는 웃지못할 광경~개개인 취향이라 하겠지만 별을 4개 5개 투척 하는 사람들 뭐지? 싶고 별 보고 갔다가 낚인기분싼게 비지떡 이랫는데 내용물을 보면 싼것도 아님
우진,2,1,5.0,2023.11.05.,5.0,서비스덕에 배부르게 먹었습니다.
숨,11,12,4.8,2023.11.02.,5.0,홍대 최애 초밥집! 맛있어요
가옹,5,6,5.0,2023.10.30.,5.0,"방금 전 월요일 1시쯤 혼자 갔고 후다닥 너무 잘 먹고 왔습니다ㅎㅎ사진에는 모듬초밥만 찍혔는데, 먹고 있다보니 갑자기 뚝배기 우동이랑 서비스 초밥 2피스까지 내어주시더라구요,,🥹❤️말 그대로 서비스라 항상 이렇게 주시는지는 모르겠지만, 저 혼자갔는데도 정말 친절하게 잘 대해주시고 서비스도 성대하게 주셔서 감동했어요..! 편안하고 맛있는 식사하게 해주셔서 감사합니다 ☺️"
unruoms,25,45,3.6,2023.10.22.,5.0,밥을 살살 쥐셔서 입에서 초밥이 살살 녹아요진짜 맛있다 생일에 또오고싶네
냠냠이,29,81,4.4,2023.09.30.,5.0,"내 최애 초밥집,,솜사탕 초밥ㅠ"
쩝쩝박사,3,5,3.4,2023.09.15.,5.0,너무 맛있어요
이슬비,5,36,3.4,2023.08.20.,5.0,맛 가격 good
ㅅㅇ,14,37,3.9,2023.08.17.,5.0,진짜 너무 너무 맛있었어요 세트 먹었는데 가성비도 넘좋고 만족했어여.... ㅠㅠㅠ
쮸니,12,14,4.0,2023.08.09.,5.0,"한줄요약: 메뉴가 좀 한정되었지만 그만큼 깔끔한 맛집[맛] ⭐️⭐️⭐️⭐️⭐️회는 신선하고 맛있었는데 호불호가 좀 갈리는 걸로 유명할 정도로 밥이 좀 부스러지는 감이 있다. 간을 좀 많이 한 느낌…? 개인적으로는 극호였지만 아닌 분들도 있으니 참고! 그나마 좀 아쉬웠던 건 초밥 종류가 다양하지 않고 좀 한정되어있다는 점인데, 그만큼 나온 종류가 퀄리티가 좋아서 전혀 불만 없다.[가성비] ⭐️⭐️⭐️⭐️가격대 자체는 엄청 싸지는 않지만(1인 약 2만원), 이정도 맛과 퀄러티에 이정도 가격이면 가성비가 괜찮다는 생각이 든다. 특히 여기 커플 세트로 파는 메뉴가 있는데, 추가 초밥도 다양하게 나오고 양도 많아서 너무 좋았다![분위기] ⭐️⭐️⭐️넓고 무난하다. 깨끗해서 정말 좋은데 크게 특색은 없었다."
peaceful,11,8,4.4,2023.07.30.,5.0,직원분이 정말 친절하셔서 별 다섯개 드립니다서비스 초밥도 주시고 좋아요
ㅍㅇ,24,105,4.8,2023.06.22.,5.0,친절하시고 서비스도 주셔서 만족스럽게 먹고 왔어요
왕짜,23,61,5.0,2023.05.23.,5.0,맨날먹고싶다 광어랑 장어초밥이 일케 맛잇는줄 첨 알았어요
Khesha,2,1,5.0,2023.05.22.,5.0,"Very delicious! Fish is great 😍 Also chef gave us a soup and a mini set of sushi for free, we were really surprised and happy😇 I recommend this place 100%"
🐶,4,19,4.2,2023.05.20.,3.0,
hahahoho,24,118,4.0,2023.05.18.,5.0,맛있어요~ 사장님이 서비스도 챙겨주시고 너무 잘 먹었습니다^^
어도러블,5,5,4.6,2023.05.16.,5.0,너무 맛있고 가성비👍 생선이 비리지도 않네요
솜주먹,31,56,3.7,2023.05.10.,4.0,맛있어용
bellight,3,6,3.2,2023.05.05.,5.0,
ThomasR,3,2,5.0,2023.05.04.,5.0,The sushi are amazing. You need to try the bluefin tuna set. Will definitely come back.
건강한 감자,21,38,3.3,2023.05.01.,3.0,
나 무서운사람,4,53,4.2,2023.05.01.,3.0,
박,14,36,4.4,2023.03.05.,5.0,
쿠로미 노트,45,398,4.2,2023.02.22.,5.0,
미식가,18,52,3.7,2023.02.19.,4.0,
아리스토탤래뱅킹,30,117,4.4,2023.02.14.,4.0,맛 가성비 훌륭.빠지는게 하나 없는 좋은 초밥집
ㅎㅅㅎ,17,87,4.4,2023.02.04.,5.0,맛좋고 사장님 츤데레세요.
호롱,2,2,4.0,2023.01.10.,3.0,음.. 홍대서교점이 더 맛있어요
굉장해엄청나,15,434,3.6,2022.12.27.,5.0,
이전,12,30,2.9,2022.10.22.,5.0,존맛
ㄴㅣ,31,158,3.0,2022.10.18.,3.0,위에 회가 부드럽고 사르르녹기는 하는데 밥도 같이 사르르라서 잡기가 힘듦... 아주그냥 사혼의구슬조각임... 건들면 분해됨... 먹기가 많이 힘들어서 그렇지... 맛은 있음......
윤님,23,40,4.6,2022.10.05.,5.0,"초밥먹으러 전주에서 서울까지 ,,하얀트리 유투버 때문에 더 유명해진곳 같은 이곳 ,,,!!진짜 맛있어요 일반 초밥집들과는 다른 밥맛이 있어요 ㅎㅎ사장님 그리고 직원분들 굉장히 친절하십니다 ~~!"
하늘,13,27,4.6,2022.10.04.,5.0,생선도 맛있고 밥도 부드럽고 사장님 친절해요
도윤,10,11,4.5,2022.10.01.,4.0,만원 모듬초밥에 우동?도 나와서 가성비가 좋아요. 처음 왔다 하면 사장님께서 친절하게 먹는 방법 설명도 해주셔서 그것도 좋았습니다
아여야,26,59,4.3,2022.10.01.,5.0,너무 친절하시고 너무 맛있어요... 진짜 짱...혹시 혼밥 시러하실까 걱정했는데 세상 친절 따뜻
이진희,10,12,3.0,2022.09.25.,5.0,혼자 쓸쓸히 초밥먹고 있는데 상큼하게 묵은지 초밥과 연어초밥 서비스로 주는 점장님 사랑함니다
이진,7,8,3.0,2022.09.24.,5.0,인생 초밥집ㅜㅜb 샤리가 달고 질은 편이긴 해요!근데 전 그래서 입에서 더 녹는거같이 느껴지는거같아요ㅠㅠ 위에 올라간 생선도 신선하고 맛있어요!
먹보,14,15,4.6,2022.08.31.,5.0,"인생초밥.연어, 도로, 엔가와가 특히 맛있습니다."
쏘냐도르,43,362,4.3,2022.08.24.,4.0,맛: 가장 좋아하는 참치 연어 전부 맛있었어요. 장어도. 빠짐없이 평타는 친다! 는 느낌입니다. 여우골 모든 체인이 그런모양인데 밥은 정말 잡기 힘드네요.서비스: 많이 친절하심. 서비스로 계란초밥이랑 백김치초밥도 주시고.인테리어: 기타: 홍대오면 종종 편하게 찾을만한 초밥집
14oz,47,250,4.1,2022.08.22.,5.0,한 8년전부터 계속 다닌 인생 초밥집임. 연어 살살녹음. 샤리가 많이 질어서(되직함x) 네타랑 따로노는 느낌 없이 같이 살살녹아 입에서 사라짐. 대신 숟가락위에 올려서 퍼먹어야 할수도 있음ㅎㅎ
준수,21,100,4.6,2022.08.12.,4.0,맛있어요ㅜㅠ
슬기로운평점생활,35,782,3.6,2022.08.06.,4.0,초밥이녹는다녹아
