user_name,user_rank,num_response,user_star,time,rating,content
최혜연세경세진맘,15,27,4.0,2024.01.12.,5.0,정말 맛있어요! 각기 다른 맛의 커리도 일품이고 따뜻한 난도 좋습니다. 이국적인 인테리어도 인상적이에요.
추천받습니다,4,4,2.8,2023.11.29.,5.0,"이전과 위치가 달라졌는데, 분위기는 그대로인것 같아서 좋았어요~ 이전에는 좀더 많이 나왔던것 같긴했는데 그래도 탄두리 치킨이나 카레 맛있고 난도 양이 많아서 여전히 좋았습니다~"
순탐씨,24,65,3.4,2023.07.31.,3.0,분위기 매우 훌륭 주말인데도 조용하고 사람도 적다 커리가 나왔는데 왜 사람이 적었는지 이해가 된다.. 맛이 없지는 않지만 인도 커리의 진한향과 향신료의 느낌이 전혀 없음.. 그렇다고 퓨전도 아닌데 아쉽다. 난은 매우 쫄깃하고 괜찮았음 재방문 의사 없음
ㅍ0ㅍ,3,5,3.4,2023.05.17.,1.0,메뉴 바뀌고 지연되고 서빙 꼬이고 숟가락 주는 거 빠뜨리시고 많은 일이 있었습니다...
sp,17,892,3.8,2023.03.09.,4.0,
무밍,11,14,4.6,2023.02.09.,5.0,분위기 너무 예쁨 그리고 물컵 어디서 산건가효..갖고싶었음... 밤9시에도 영업해서 늦밥도 가능한거 너무 좋은데 맛까지 있기..??? 담에 또갈게요 가격도 좋은듯👍
봉삼,29,121,3.1,2022.10.29.,1.0,탄두리치킨하고 새우가 좀 오래된 듯한 느낌. 커리하고 난은 괜찮습니다. 전체적으로 다른 홍대 경쟁(?)인도카레집에 인테리어 빼고는 음식수준은 떨어져요. 서버고 좀 건성건성이고.. 맛은 그럭저럭인데 굳이 찾아갈만한 곳은 아닙니다.
라그,16,40,3.5,2022.10.14.,5.0,난이 특히 맛있다!
ㅇㅇ,3,1,5.0,2022.10.11.,5.0,인도 커리 처음 먹어봤는데 맛있었어요. 인테리어도 이국적으로 되게 신기하게 돼있어서 구경하는 맛도 있습니다. 사장님도 엄청 친절하셔서 주문할 때 우왕좌왕해도 마음 편하게 맛있게 먹고갈 수 있었습니다. 다음에도 또 오고싶네요.
Anna Kim,2,3,3.7,2022.08.02.,5.0,말모 말모 존맛
ㅍㄱㅈㄱ,16,28,4.6,2022.05.12.,5.0,세트 메뉴 가성비 있고 난이 진짜 맛있어요... 인도 커리 생각나면 가는 곳 후식으로 나오는 밀크티가 진해서 취향이었어요
검은콩,11,16,4.8,2022.05.08.,5.0,난이 유독 쫄깃쫄깃하고 커서 어쩌다 다른 커리 먹어도 결국 여기가 생각나요. 스위트허니난 추천합니다
🥥,10,7,4.4,2022.04.23.,5.0,허니난 꼭먹으세요 진짜 두고두고 생각나는 감칠맛이니까
카모마일,11,9,5.0,2022.03.26.,5.0,커리도 맛있고난도 따끈하고 푸짐해요~~라씨도 나오고 커리 선택하는 세트메뉴도 괜찮아요.
차차>_<//,4,7,4.9,2022.01.26.,4.0,인테리어 분위기가 넘나 좋아요
김한평,31,372,3.7,2022.01.03.,3.0,
Sehoon,5,13,4.1,2021.11.30.,5.0,단골입니다
평,41,437,3.2,2021.10.12.,1.0,커리 너무 달고 향신료 거의 안느껴지고 무매력..특히 시금치커리는 너무 실망
ㅇ,32,139,3.1,2021.09.20.,4.0,본 치킨 커리 주문했다. 고기 크기가 큼지막한 덩어리다비벼 먹으라고 하셨는데 나는 소스 얹어서 덮밥처럼 먹었는데 밥은 구슬아이스크림 같이 밥 알이 뭉쳐지지 않아 먹으면서 후두둑 떨어져 흘릴 수 있다. ㅋㅋㅋ사모사는 다시 한 번 먹어봐야 할 것 같다.뜨거울까봐 식혀두고 먹었는데 죠티에서 먹었을 때랑 비교적 기대에 못 미쳤다.사장님이 한국말을 무척 잘 하시고 친절하시다. 가게 내부 넓고 좌식 테이블이 더 많고 공간을 3/2차지한다.  4인석 입식 테이블이 4개 2인석이 창가쪽 구석에 있는데 어두운 편이라 2인석 쪽에 시야는 너무 어둡고 인테리어가 정신 없다.
배니티,18,33,3.8,2021.08.31.,4.0,난이 엄청 큽니다ㅋㅋ진한커리 먹고싶으면 추천. 브레이크 타임도 없어서 늦은점심도 가능
쩡니,14,33,4.4,2021.08.03.,5.0,엉엉 ㅠㅠㅠ 너무 맛있어요 ㅠㅠㅠ
뙈지,45,604,4.1,2021.07.26.,4.0,"커리에 고기도 푸짐하고 난도 커요. 일반밥보다 인도밥으로 먹는 게 훨씬 맛있습니다. 난이 갓 만들었는지 엄청 따끈하던데, 정말 맛있었습니다."
체리마루,16,35,4.4,2021.07.07.,5.0,
유제우,7,6,4.0,2021.06.21.,5.0,맛있게 잘 먹었어요!
STAFF ONLY,32,326,3.4,2021.06.09.,5.0,그냥 뭘 먹든 다 맛있어요. 라씨 꼭 드세요
이도쓰,6,13,4.2,2021.06.08.,5.0,인도음식 처음 먹었는데 맛있네요
김씰리,11,133,4.8,2021.05.10.,5.0,
뿌따삐,3,8,3.6,2021.03.30.,5.0,
인상깊은곳만,13,40,4.3,2021.03.14.,4.0,맛있어요 특히 난이..
박선준,12,33,3.4,2021.03.07.,3.0,생각보다 괜찮았지만 와 맛있다 할 정도는 아니였음
D,34,148,4.0,2021.02.15.,4.0,근처 흑백사진관에서 간소하게 결혼식 사진을 찍고 밥 먹으러 급 방문 했는데 의외로 맛도 좋고 친절해서 후기 남겨요. 방문은 2020년 2월이었어요 ㅋㅋㅋㅋ
.,33,153,3.6,2020.12.25.,3.0,그냥 평타..... 별로 맛있다는 생각은 안들었음
이땅씨,21,65,4.0,2020.12.05.,5.0,커리 존맛탱
