user_name,user_rank,num_response,user_star,time,rating,content
한현민,6,10,4.1,2024.03.03.,5.0,올해 2월 29일부터 임시휴업 들어갔습니다.낭패보는 일 없기 바랍니다.===== 이하 원문입니다 =====임시휴업합니다부득이한 사정으로 장소를 이전하게되었습니다. 아직 이전장소가 정해지지 않았습니다.새로운 장소는 추후 홈페이지에서 확인 가능하십니다이용에 불편을드려 죄송합니다https://oldbulgogi.modoo.at
도산성(黃肅夏),2,16,4.3,2024.02.10.,4.0,
슈,28,66,4.5,2024.02.01.,5.0,혼자 먹어보고 맛있어서 가족과 함께 한 번 더 먹으러 왔는데 모두가 만족스러운 식사 시간이었음. 다만 줄은 내가 섰^^
주배,57,461,3.9,2024.01.12.,5.0,"평일인데도 줄서는 식당. 뭇국이 정말 기가 막혔음. 기름이 좀 떠있지만 시원함 그 자체, 부속 고기 이것저것 사용한거 같아서 질긴부위도 있었지만 건더기 양이 넘쳐 흐르는 수준. 국물이 매우 마음에 들어 다음에 오면 포장해가야겠다."
으니,5,9,3.1,2023.12.31.,5.0,몇번이든 방문 오는 유일한 나만 알고 싶은 맛집
박천현,3,10,3.7,2023.11.24.,3.0,
:),1,4,5.0,2023.11.24.,5.0,
고로롱,17,31,3.9,2023.11.18.,5.0,최고의 갈비탕입니다
★떠비★,3,6,2.3,2023.11.07.,5.0,
[놀아]박영국,7,7,2.3,2023.10.26.,3.0,"10월 중 토요일 11시25분 도착함. 18번째 순서. 대략 17번부터 한사이클 돌아야 들어갈수 있는듯. 한사이클에 걸리는 시간은 최소 30분. 기본 40분인듯.분명 순서지나가면 새로 번호표 뽑고 중간에 못껴드는걸로 알고 갔는데 중간에 껴드는거 직접 눈으로 확인함. 덕분에 40분 걸릴거 50분 걸렸음. 문옆에 의자있어서 앉아서 기다리는데 모를거라고 생각한건가...무국이 일일 20그릇이라길래 못먹으려나 싶었는데 18번째 들어와도 있다길래 무국, 갈비탕 한개씩 주문하고 먹었음.비위 괜찮고 고기 가리지 않음에도 무국에 들어간 고기는 싸구려라는게 너무 티남.고기비린내에 저렴한 비계덩어리들...양이 많아서 좋으나 갈비탕도 양이 많은걸보니 1천원 더내고 갈비탕먹는게 훨씬 낫다고 생각함.결론. 요즘 다른 갈비탕집에 비교하면 금액도 싸고 양도 많으나 굳이 한시간걸려서 가서 기다렸다가 먹기에는 애매함. 그냥 근처에서 갈비탕 먹는게 나을듯. 한번은 경험으로 알고 두번은 안감."
가는세월,22,43,4.3,2023.10.25.,5.0,평일 점심때  갈비탕 가성비 최고 수준
에혀증말,14,61,1.1,2023.10.09.,1.0,
.,56,"1,621",1.7,2023.09.29.,1.0,
ㅇㅇㅇ,4,4,4.0,2023.09.27.,5.0,갈비탕 맛있어요 이미 유명하지만 더 소문나면 안됨
경혜,9,7,3.9,2023.09.27.,1.0,지금까지 이런 짠 불고기가 없어다………
만보,21,24,3.8,2023.09.26.,4.0,평일기준 11시전에와야 오픈하자마자 먹을 수 있음.소고기무국을 소고기 왕창 넣어 먹고싶다는 생각을 이뤄주는집. 한그릇하면 저녁까지 든든합니다.
[철우],19,59,4.5,2023.09.05.,4.0,
금강,1,1,3.0,2023.08.28.,3.0,"참 안타깝습니다.손님의 입맛을 이렇게 몰라 주시다니..먹고나서 화가 났어요.고기만 넉넉히 준다고 되는게 아니고 고기며 국물이 맛이 있어야죠.많이 삶아서 맛있는 고기맛을 다 빼버리고.....그러면 국물이라도 맛있어야 하는데 ...국물도 진하지 않고고기는 섬유질 씹는것 같고.처음에 초벌 삶을때 푹 삶아서 맛있는것 모두 빼버리나 봐요.성남 구미동,용인 동촌동 경계에 있는 소떼마을 한번 다녀오시길 바랍니다맛있어 지기를 기대 합니다"
착한사람,17,36,2.1,2023.07.30.,1.0,옛생각 사서 왔는데... 너무 불친절가격도 많이오르고... 굳이 여기안오셔도 될듯다른불고기집가는게 정신건강과 가성비가 좋을것같습니다
맛도리,13,34,4.1,2023.07.29.,5.0,레전드맛집
굿보이,25,68,4.1,2023.07.05.,5.0,양많고 맛도 좋은.. 다만 오픈 30분전에는 와야 오픈시간에 들어갈 수 있다
희동이,32,177,1.9,2023.06.23.,3.0,갈비탕이 아닌 머구리탕국물은 누룽지 맛줄 선게 아깝네
징ㅇ,65,751,3.4,2023.06.22.,4.0,셋이서 2인분 시켜먹었는데 진짜 양 개많았음 김치말이국수는 진짜 별미인것 같음 외국인 친구 데려갔는데 맛있게 잘먹고옴
Unity,29,75,4.0,2023.06.03.,4.0,고기가 압도적으로 푸짐하고기름도 푸짐함. 특히 차돌양지 기름 그대로 때려박으신건 좀;;간이 좀 밍밍해서 아쉬움.고기가 육수로 오랫동안 끓여 맛이 빠진 고기의 맛임.새로 서빙알바 오신 아주머니의 잔실수들은 덤!단 고기가 매우 임팩트가 강할정도로 푸짐했으니 인정!국물보다 고기가 많다고 말해도 수긍될정도임.
윤우섭,2,2,4.5,2023.06.03.,5.0,갈비탕이  푸짐한 곳ᆢ  항시 만석으로 약간의 기다림이  있겠지만  맛과  양으로  보상받으니  그 수고를 할수있는곳 ᆢ가격 또한  이해않가는 정도의  저렴함이  한번오면  세번은 더오고 싶고  세번오면   열번은 더오고싶게  해준다  ᆢ  가족들  위한 포장까지  가능하니 부족함이 없지싶다 ᆢ  계속  번창해나가기를  바래본다
gg,23,71,3.2,2023.06.01.,4.0,인정사정없는 맛과 양.
웅보이,13,20,4.1,2023.05.26.,4.0,"고기 도랏근데 위생은 쪼큼 .,.."
drm17,3,2,4.5,2023.05.22.,5.0,갈비탕 푸짐하고 너무 맛있어요
소피아,21,27,4.1,2023.05.03.,5.0,와.. 먹다가 고기에 질렸어요..진짜 가성비 맛집입니다.오픈전에 갔고 대기하고 안오신분들 덕에대기없이 들어갔어요.
송낚시,23,109,3.9,2023.02.22.,4.0,
ㄱㅈㅇ,4,48,4.8,2023.02.12.,5.0,
cercle,35,645,3.6,2023.01.19.,4.0,무국 최고
.,20,27,3.1,2022.12.30.,5.0,명불허전!!불친절하다는 평을 저는 이해를 못하겠고 그냥 바쁜 가게 특유의 분위기일 뿐인 듯하네요가성비 쩔고요 10그릇 한정이고 포장이 불가한 설렁탕 먹었는데 국물도 진하고 양이 정말 장난 없네요여기 식사면 1일1식사 가능할 정도로 속이 오랫동안 든든합니다 요즘 어디서 만원에 이런 설렁탕 먹을 수 있겠나 싶어요
곱상녀,34,177,3.7,2022.12.21.,1.0,불고기맛집인가? 추워서  뜨신국물생각나서  갈비탕 먹엇는데  팔팔끓이지 않은느낌이요ㅡ대기가  많은이유는 뭘까요?  오늘만 그런걸까요?  봉천동 갈비탕이 생각나는 하루였네요
제주 개박사,59,162,3.7,2022.11.06.,4.0,"갈비탕, 무국 점심한정 가성비 갑"
가륭가리,11,14,4.6,2022.10.29.,5.0,갈비탕 최고 맛집
