user_name,user_rank,num_response,user_star,time,rating,content
He Won!,55,304,3.9,2024.04.23.,5.0,솔직히 여기에 별 5점 주는 내가 뭐라도 되나 싶다. 5점 드립니다. 돈 내고 사 먹는 건데도 감사한 맛.
설악산김사또,6,12,3.8,2024.04.17.,4.0,맛있음근데 좀 좁음?협소함?그래도- 가격도 합리적.주방동선은 약간 애매쓰.그래도 재방각.
Brian,20,95,3.5,2024.04.11.,5.0,
진실만씨부린다,13,32,3.8,2024.04.08.,5.0,
김정현,2,1,5.0,2024.04.04.,5.0,
방참우,31,73,4.0,2024.04.03.,5.0,닭 육수 베이스의 라멘.개성있고 맛있네요.
이제_카카오리뷰도_조작질이냐?,48,305,3.8,2024.03.27.,5.0,해장하려고 자전거 타고옴.너무 맛있다
산나비,25,76,3.7,2024.03.26.,4.0,"전설같은 라멘집. 2017년인가 2018년인가 5월, 처음 열고 사람 아무도 안왔을때, 줄안서도 바로 들어가서 먹을 수 있었을때, 사장님이 직접 만들어줄때 포스는 개쩔었는데 지금은 그냥저냥 맛있는 라멘집이 됨. 라멘 안좋아하는 사람이 먹으면 가장 좋아할 가게. 지금은 줄서야되고 포스도 줄어들음. 물론 다시 말하지만 맛있는 가게임. 그때의 포스가 안날뿐"
hwan,12,29,4.0,2024.03.24.,4.0,줄 좀 길었지만 맛있었어요ㅎㅎ
크리스,2,3,5.0,2024.03.23.,5.0,한국인 입맛에 맞춘 마늘향 진한 토리파이탄. 일본에서 먹은 맛을 기대하면 많이 아쉬울수도 있으나 이집 고유의 맛이라고 생각해본다면 굉장히 맛있는 집이다. 시간을 잘맞춰갔는지 갈때마다 웨이팅없이 편하게 먹고나올수 있어서 좋았다.
자유,32,162,4.1,2024.03.23.,5.0,여전히 붐비는 라멘집. 맛도 있고 인심도 넉넉하고 웨이팅도 푸짐함.
맛집좋아함,15,36,4.0,2024.03.21.,4.0,밥 추가 면 추가 모두 가능했던 걸로 기억직원분들 친절하고 라멘 맛도 무난 맛있어요
hunt4food,9,7,4.1,2024.03.19.,4.0,토리파이탄 정말 맛있어요~~근데 시간 잘 정해서 안가면 줄이 정말 길어요.
innerpiece,18,33,3.8,2024.03.17.,2.0,라멘 매니아로서 기대한 만큼 실망하고 돌아온 집라멘 처음 먹어보시는 분들만 좋아할 맛.
김우성,3,2,2.0,2024.03.15.,3.0,오사카에서 한국인한테 유명한 라멘집에 간 느낌무난
니맛내맛,11,12,3.0,2024.03.14.,4.0,왜들 줄서서 먹는지 알겠습니다. 계속 생각나는 맛이네요.
웅개,21,65,3.2,2024.03.13.,2.0,맛없는거 먹어서 우울해짐 국물이 느끼함
김준석,4,5,4.6,2024.03.13.,5.0,
🐳,16,35,4.8,2024.03.12.,5.0,국물이 환상적. 면이랑 육수는 리필되는 점도 좋다.
페레로버섯,8,6,5.0,2024.03.11.,5.0,라멘을 안 좋아하는데 친구가 맛집이라길래 따라갔고앞으로 라멘 좋아하기로 했습니다.
sleeepingfrg,15,20,4.9,2024.03.08.,5.0,라멘은 오레노라멘에서만 먹습니다
이대운(LeeDaeWoon),52,519,3.9,2024.03.08.,5.0,밥이랑 면도 무한리필되고 뭔가 담백한맛이예요~ 주차가좀 불편하고 주말에는 웨이팅좀 있는게 함정이긴하네요
맛있는거 좋아해요 근데 까다로워요,20,29,3.6,2024.03.08.,3.0,맛있구 면이랑 밥 리필되는건 좋은데 굳이 더 먹지는 않았음.. 요즘 라멘집 잘하는곳 많으니 특별한걸 느낄순없을듯?
꾸지뽕,8,12,3.3,2024.03.07.,4.0,웨이팅은 있지만 맛있어요! 일본 라멘은 너무 느끼한데 한국라멘은 현지화돼서 한국인 입맛엔 더 맛있는 것 같아요적어도 저는 일본에서 먹은 것보다 여기가 더 맛있어요..ㅋㅋ 여기 근처 ㄷㅌ도 추천합니당
02 평가단,74,"1,003",4.5,2024.03.06.,5.0,내 긱준 라멘집 1황 등극 ㅊㅊ
정현,2,34,3.9,2024.03.05.,4.0,
박성용,2,3,2.3,2024.03.02.,5.0,여기 맛없다고하면 맛알못임 반박시 니말틀림
yes,35,294,3.4,2024.03.02.,1.0,라멘메니아로서는 너무나도 평범한 맛에 토핑이 차가운것도 별로였네요. 직원분들은 친절하세요
김수현,4,9,4.6,2024.03.01.,4.0,
김지윤,5,5,4.2,2024.03.01.,1.0,영하10도에 사람 밖에 세워놓는건 좀… 캐치테이블이나 테이블링처럼 시스템을 바꾸시던가 해주세요
눈누,19,20,4.6,2024.02.26.,5.0,완멘 했습니다또 가려고요
옥탑방,54,396,3.5,2024.02.24.,5.0,면도 국물도 토핑도 넘 맛있네요.. 닭가슴살이 이렇게 부드러울수가!운좋게 웨이팅 없이 들어가고 별 기대 없었어서 그런지 만족스럽게 먹고 나왔습니다
김동민,14,28,3.2,2024.02.24.,4.0,
ogap,23,31,3.6,2024.02.23.,3.0,첫입은 맛있지만 특유의 느끼함때문에 먹을수록 물려서 아쉬움
한순원,3,7,4.9,2024.02.22.,5.0,
베르미첼리,17,44,4.4,2024.02.20.,5.0,누구나 좋아할 맛입니다. 합정 근방 라멘 집들 중 가장 불호가 적을 맛인 것 같습니다.
