user_name,user_rank,num_response,user_star,time,rating,content
행인,3,6,3.2,2024.03.23.,3.0,
수진이,2,1,5.0,2024.02.19.,5.0,"분위기 맛집 피자,파스타 맛집 맛있어용"
이희건,32,164,3.2,2024.02.03.,1.0,댓글 조작 매우매우 의심됨..지긋지긋하다 진짜. 소비자 선택을 저해하지 좀 마세요!!
.,2,1,1.0,2024.01.31.,1.0,진짜 별로였습니다.
최서은,3,1,5.0,2024.01.28.,5.0,so good!!!
Sasha,2,7,4.0,2024.01.09.,2.0,
이상준,12,120,4.5,2023.03.09.,3.0,
jbnam,13,21,3.8,2022.12.26.,1.0,"피자가 너무 별로고, 직원들 너무 불친절해요.다시는 오고싶지 않은 곳.. 평점보고 왔다가 후회합니다. 21년 8월말 9월초에 별점 만점이 수두룩 하네요 ㅋㅋㅋㅋ 왜??"
원범,28,85,3.1,2022.11.29.,1.0,
pearly^^,2,1,5.0,2022.05.01.,5.0,음식이 너무 맛있어요
황인규,5,5,1.4,2022.04.25.,1.0,달아요. 그게 다에요.
슈르루까,24,61,2.9,2022.01.21.,1.0,댓글알바 신청이요 건당 얼마?
추확철,20,50,2.9,2022.01.08.,1.0,진심 이게 맛난다고???? 피자 치킨으로 살찐 나로서는 첨으로 피자가 맛없다는걸 느낌
아아주세요,12,26,3.3,2021.12.16.,1.0,댓알바쓰는것같아서 균형 맞춰드림
찰라흐,14,18,2.1,2021.10.30.,2.0,정말 돈 아까운 곳...여기가 맛있다고 생각되면 부산 광안리 매드독스 피장먹고는 바로 기절하겠네요.먹다 남겼습니다.
은비,15,41,5.0,2021.09.07.,5.0,인생피자인것 같네요!!가격도 저렴하고 맛도 있으니 기분이 좋네요 가성비 좋네용
성욱,15,40,4.8,2021.09.07.,5.0,피자 사이즈가 굉장히 크고 가성비 넘치는 피자인거 같아요 강추강추!!^
.,14,32,5.0,2021.09.07.,5.0,피자 정말 맛있게 먹었네요 가격도 저렴하고 좋습니다 감사합니다!!
코나,20,66,5.0,2021.09.06.,5.0,정말 맛나게 먹었고 치즈의 고소함이 너무좋네요 다음엔 포장해서먹으려구용
송민준,13,27,5.0,2021.09.01.,5.0,피자가 너무너무 맛있었고 피자도우 자체가 질기지않아서 더 마음에 들었습니다.저희 부모님도 맛있다고 엄지척! 하시네요
이진수,8,16,5.0,2021.09.01.,5.0,피자에 도우가 쫀득하면서 토핑이 아낌없이 들어있어서 먹으면 먹을수록 맛있고 해서 만족스러웠습니다 ^^
김혜림,4,6,5.0,2021.09.01.,5.0,피자좋아하는데 두툼하고 치즈도 많아서 맛있게 먹었어요. 실내도 깔끔하게 되어있어서 좋아요
경아,2,3,5.0,2021.09.01.,5.0,다양한 메뉴에 피자 완전 맛있구요!토핑도 풍성하니 배부른 한끼였어요!
미니,33,214,5.0,2021.09.01.,5.0,"피자는 무조건 시카고 피자죠ㅎㅎ 치즈 진짜 최고,,돈마호크도 같이 먹었는데 너무 맛있어요ㅠㅠ자주올듯"
아짱아,31,177,4.9,2021.08.31.,5.0,반반피자먹었어요! 크고 토핑도 많고 친구랑같이가서 다먹고왔어요 피자먹고싶을땐 시카고피자  꼭먹는거 같아요 굿굿
진범열,12,29,4.9,2021.08.31.,5.0,"식전빵, 에그인헬, 돈마호크 그리고 피자까지지인짜 배터지게 먹고 왔어요:넘 맛있뜨앙"
강선영,13,32,4.9,2021.08.31.,5.0,시카고피자는 안 먹어본 사람은 있어도 한 번 먹어본 사람은 없다라는 말이 있듯이 홍대에서 피맥으로 최고인집!!!
익며ㅕㅇ,8,17,4.9,2021.08.31.,5.0,시카고 피자 진짜 너무 맛있어요 토핑도 듬쀽 넣어달라니깐 진짜 많이 넣어주셨네요~너무 맛있어용 추천합니당!
오은아,5,8,5.0,2021.08.31.,5.0,시카고 피자 완전 맛있어요ㅠㅠ치즈듬뿍ㅎㅎㅎ한번씩 피자먹고 싶을때먹으러 왔었어요ㅎㅎ 또올게요~!
TAEHEE.O,13,31,5.0,2021.08.31.,5.0,피자 ~너무 좋아요 !! 피자먹을때 항상 먼저 생각나는 곳이예요 여기 먹다가 다른데 먹으면 여기만 생각나요ㅎㅎ토핑도 치즈도 굿!!
쮸리콩,21,75,5.0,2021.08.31.,5.0,평소에 시카고피자에 환장하는 사람인데 ㅠㅠ 홍대에 진짜 맛있는 시카고피자 있다고 해서 퇴근하고 바~~로 달려갔는데 치즈가 장난 아니네요 ㅋㅋㅋㅋ 치즈가 완전 흘러내리고 고급치즈 맛이 날정도로 고소하고 토핑도 맛있고 진짜 짱이었어요!! 재방문의사 200프로 있습니당!
eunji,8,18,4.9,2021.08.31.,5.0,간만에 시카고피자에 맥주한잔하러 왔어요. 도우도 너무 밀가루만 있는게 아니고 쫀득하고 치즈도 듬뿍이네요! 다음번에 다시 한번 올게요~
꾸잉,5,10,5.0,2021.08.31.,5.0,여기 맛있다해서 왔는데 진짜 맛있네요 ㅎㅎ치즈가 듬뿍듬뿍이라 일단 완전 제스탈 ㅎㅎ 맛있어서 엄청 흡입했어요  오랜만에 맛있는 피자 기분좋게 먹고나왔어요^^
홍진호,11,22,4.9,2021.08.31.,5.0,오랜만 피자가 먹고싶어 들렀는데 토핑도 그렇고 도우도 정말 맛있게 먹었습니다 다음에도 또 올것 같아요!^^
혜민,3,6,5.0,2021.08.31.,5.0,친구가 여기 맛있다고 가보라고 해서 가봤는데 진짜 너무 맛있어요!!! 쪼금 멀었는데 그런거 상관없이 피자만 먹으러 다시 올수있을거 같아요! 사장님도 친절하셔서 너무 좋았어요!!~
준영,20,58,5.0,2021.08.31.,5.0,피자 오랜만에 먹었는데 치즈도 많고 배터지게 먹었네요 ㅎㅎ
아왜또,21,61,5.0,2021.08.31.,5.0,피자 진짜 맛있습니다 ㅎㅎ치즈가 엄청 많아서 좋았습니다
김동욱,2,2,5.0,2021.08.30.,5.0,피자가 너무너무 맛있었고 빵이 질기지 않고 담백하더라구요~ 담에 또 오고 싶은 맛입니다!
홍상의(Dean),11,19,5.0,2021.08.30.,5.0,피자에 치즈가 한가득!!! 치즈 덕후들은 꼭 먹어봐야되는 시카고피자~~~ 너무 맛있어요 ^^
돌돌이,22,80,4.9,2021.08.30.,5.0,클래식 시카고피자  맛있어욤!! 토마토소스맛이 진하고 치즈도 많이 들어갔네요. 쭉쭉 늘어나는 치즈가 대박 !!
맛집탐방,11,24,5.0,2021.08.30.,5.0,대박 맛나네요ㅋㅋ 치즈도 많고 쭈욱 늘어는게 고소하고 맛나요
채연,18,57,4.6,2021.08.27.,5.0,시카고 피자 처음 먹어보는데 너무 맛있고 푸짐했어요~ 다른 집 피자랑은 차원이 다른 느낌이였어요 잘 먹었습니다 ㅎㅎ
김나윤,6,10,5.0,2021.08.27.,5.0,시카고 피자 치즈도 잘늘어나고 느끼한 맛도 없고정말 맛있었어요!!친구랑 갔는데 친구도 너무 좋아하고 저도 너무 만족스러운 식사였어요!다음에 또 방문할게요~~
노노농,23,84,5.0,2021.08.27.,5.0,엄마랑 점심먹으러 갔는데 치즈도 듬뿍 있고 피자도우도 맛있네요 시카고 피자존맛탱!! 다음에  또갈게요
추민지,9,20,5.0,2021.08.27.,5.0,매일매일먹어도맛잇는 핏짜ㅋㅋㅋㅋ너무맛잇어용 치즈듬뿍듬뿍♥️담에또올께요 번창하세욤!
융가,20,54,4.9,2021.08.25.,5.0,시카고 피자는 언제나 사랑입니당 ㅎ ㅎ 치즈 듬뿍 시카고 피자 한번 먹으면 일주일이 내내 행복해욤
지비,21,68,4.9,2021.08.25.,5.0,념일에 데이트하러 방문했는데 피자가 일반 피자랑은 다르게 특별해서 맛있게 먹고 왔습니다.매장도 깔끔하고 사진찍기에 좋았어요. 즐거운 추억 남기고 갑니다.
쭈,13,29,5.0,2021.08.25.,5.0,분위기도 좋았구... 맛있어서 흡입했네요. 취저~취저~♡
이민지,2,4,5.0,2021.08.25.,5.0,다른 지점에서 너무 맛있게 먹어서 본점 찾아와 먹어봤어요! 역시나 너무너무 맛있습니다 도우도 잘 익었구 좋은 식사했어요~
블루바이럴_프론트,15,41,5.0,2021.08.25.,5.0,오랜만에 찐 맛집 발견했네요 감사합니다
JEONG YEON,21,60,5.0,2021.08.25.,5.0,시카고피자 시그니처 먹었는데 안에 치즈가 쏟아지네요. 친구랑 둘이 배불리 먹고 왔어요.
염다정(ダジョン）,6,10,4.9,2021.08.25.,5.0,너무 맛있어요  ㅠㅠ!! 진짜 본토 피자맛 느낌 쫄깃한 느낌이 미챴어요 ㅠㅠ
시내브로,9,12,3.6,2021.08.11.,2.0,맛이고 뭐고 기본이... 도우가 안익었어요
김연승,9,7,2.7,2021.07.16.,5.0,리뷰 보고 걱정했는데 괜한 걱정이였습니다.제 인생에서 가장 맛있는 피자였고 직원분도 친절했어요!
밤,17,56,4.5,2021.06.21.,3.0,지킬앤하이드 너무너무 매워요 뭔가 맛있게 매운게 아니라 그냥 너무 매워요 매운거 좋아해서 시켰는데
맛집좋아,45,422,3.7,2021.06.12.,4.0,
영환,2,1,1.0,2021.04.19.,1.0,남자여자 직원 두분이 많이 친하신지 단한순간도 쉬지않고 대화를 하시는통에 맛에 집중이 안될정도였습니다. 맛있는피자 먹으러 가서 왜 돈내고 스트레스를 받아야 하는지..자주 가는 맛집이라 꼭 시정되길 바라며 리뷰 남깁니다.
죠죠,20,49,4.1,2021.04.07.,3.0,좀 더 맛있는 피자가 있었을것 같아서 아쉽긴 했는데 전체적으로 괜찮습니다 분위기도 있고 맛도있었어요
죵죵,8,13,5.0,2020.11.18.,5.0,딥디쉬를 좋아하는데 맛있어요
Eunice,28,82,3.3,2020.07.25.,3.0,예전만큼은 아니지만 그래도 치즈는 역시 옳다근데 아래 후기처럼 직원 알바 서비스교육좀 시켜야 할듯. 무표정에 불친절;; 아직도 옛날에 잘나가던 시카고피자가 아니에여~~ 맛으로 한풀 꺾였으면 다른 부분에서 만족도좀 높여야 할것같네요
👍,2,1,1.0,2020.03.08.,1.0,"일단 맛을 떠나 서비스마인드가 진짜 꽝입니다. 알바인지직원인지 기본 부터 다시 점검해야할듯. 긴머리 풀어헤치고, 마스크는 턱에 걸쳤다 올렸다, 둘이 사적인 잡담에..손톱에 때를 빼는지 큐티클 정리를 하는지.. 사용한 식기를 왜 물에 담가놓는지..(실제로 날파리 날아다녔어요) 아무리 저녁시간이라도 6시도 넘었는데 한산만 매장에 굳이 2명이라고 주방앞 2인석에 앉아 25분 동안 피자를 기다리며 정말 별로다 생각만 들어서 피자맛은 기억도 없네요. 그냥 빨리 나가고 싶었을 뿐. 재방문의사 절대 없음."
@jejucitygirl,31,120,4.3,2020.03.06.,4.0,
무지개,15,91,4.8,2019.12.23.,5.0,
호재,2,2,4.5,2019.10.15.,4.0,난 괜찮던데... 홍대가면 한 번씩 생각나는 곳
빵빵덕,24,99,4.0,2019.09.27.,2.0,직원분들 친절한데피자가 맛없기도 힘든데.. 그걸 해내네요..
S. Kim,45,"1,148",3.5,2019.06.21.,3.0,전반적으로 맛있고 오리지널리티를 살리려 노력했지만 도우와 소스가 좀 달아서 아쉽다.
영훈,5,12,4.6,2019.01.09.,2.0,주문하고 아직 안먹고 기다리는중이지만 벌써 다 맛있을거 같다 ㅋㅋ
박서현,13,19,4.2,2018.12.21.,2.0,맛은 쏘쏘했고 가성비도 좋은편. 근데 홀에 직원이 한분뿐인지 테이블세팅도 안해주셨고 뭐 필요해서 부르려면 최소 3분 ㅠㅠ
나경,22,714,3.4,2018.11.26.,3.0,
이병학,36,645,3.7,2018.08.06.,4.0,
