user_name,user_rank,num_response,user_star,time,rating,content
이상민,2,2,5.0,2024.04.24.,5.0,
잔반은없어,8,12,3.8,2024.04.24.,4.0,맛있습니다… 다만 국밥집임에도 느린 회전율로 인한 극한의 웨이팅…
힌재,39,114,3.5,2024.04.23.,5.0,먹은 국밥 중에서 제일 깔끔했어요. 잡내 없이 잔잔하게 치고 올라오는 깊은 맛에 부담없이 한 그릇 비워냈습니다. 김치만두는 집만두 느낌 낭낭하더라고요. 역시 맛있었습니다. 웨이팅만 아니었으면 자주 갈 듯해요.
마포마담,6,4,5.0,2024.04.18.,5.0,하민이 맛집 저장
소문안난미식가,65,"1,117",4.3,2024.04.15.,5.0,월요일 늦은 저녁도 대기 한시간특이하고 깔끔하고 맛있긴 합니다!
noname,32,94,4.0,2024.04.14.,5.0,"살면서 먹은 국밥 중 가장 맛있었음. 밥알에서 나는 향도, 얇게 자른 수육의 풍미도, 슴슴한듯 꽉찬 국물도 그냥 예술이었음. 캐치테이블로 원격 대기하고 가세요 ㅋㅋㅋ 오전에 잡았는데도 입장까지 172분 걸렸음 ㅋㅋㅋㅋㅋㅋ"
소문난맵찔이,25,45,4.4,2024.04.14.,5.0,"주말 오픈 10분 전에 갔는데도 웨이팅 너무 많아서 근처 카페에서 2시간 기다림. 메뉴는 돼지국밥과 만두뿐. 내부 테이블이 12개 정도로 매우 좁아서 회전이 느리다. 음식은 금방 나옴. 국밥이 맛있으면 얼마나 맛있다고;; 했는데 간이 딱 맞는 국물에 말아져 나오는 밥, 돼지고기 토핑에 찍어먹는 소스까지 완벽. 서비스도 친절하고 인테리어에서도 자부심이 느껴짐."
.,16,24,3.6,2024.04.13.,4.0,"한두번은 가볼만한 곳, 다만 웨이팅 난이도는 헬..."
천사소녀네티,9,20,4.8,2024.04.10.,5.0,
뇽뇽이,13,21,3.9,2024.04.10.,4.0,국밥이랑 김치 너무 맛있어요!
으아아만두가너무맛있어,23,51,3.6,2024.04.10.,3.0,국물이랑 김치는 참 맛있는데 고기가 질겨서 아쉬워요ㅠㅠ
