user_name,user_rank,num_response,user_star,time,rating,content
봉천시민,8,31,3.2,2024.04.04.,1.0,
반박시님말이무조건맞음,15,24,2.4,2024.03.27.,1.0,평점조작
삼엽살,22,52,3.4,2024.03.03.,1.0,주작
리커버리,69,"2,910",4.2,2024.02.22.,1.0,조작은 금물
평점조작판단가,7,10,3.1,2024.02.04.,1.0,주작엔 1점
은정,2,12,5.0,2024.02.01.,5.0,
didi,6,7,4.0,2024.01.26.,4.0,
0.0,5,4,3.0,2024.01.18.,1.0,ㅋㅋㅋㅋㅋ한장으로 요약함
.,4,11,3.3,2024.01.01.,1.0,
후기미제공가게는거르자,41,271,3.3,2023.11.09.,1.0,5점짜리 리뷰는 리뷰 갯수 왜 다 1개??합리적인 소비자가 됩시다.
음식가지고장난하지마라,32,100,3.2,2023.10.12.,1.0,별점알바 미쳤네 ㅋㅋㅋㅋㅋㅋ
영은,9,1,5.0,2023.10.08.,5.0,면전에 대고 저희 부모님 안부 물어봐 주셔서 감사해오!!💙 느그애미 뭐하냐는 질문 식당에서 처음 받아봐서 감동이었어요💙 직원분 너무 착하고 섬세하신 거 같아요🥺
햄,15,31,4.1,2023.09.25.,5.0,닭발이랑 간장마요밥 주문했는데 타투 받고 바로 온거라 소주 참기가 진짜 힘들었습니다. 저거 두개만 먹어도 물리지가 않는데 소주까지 시키면 진짜 엄청날 것 같습니다. 팥빙수도 맛있어요!!!
지영,2,1,5.0,2023.09.18.,5.0,여러번 왔었는데 맛있어요!
상길,2,2,5.0,2023.09.11.,5.0,진짜핵존맛이네요❤️
하지나,4,3,5.0,2023.09.10.,5.0,진짜 개존맛입니다
윤지,2,1,5.0,2023.09.09.,5.0,분위기 좋고 다리살이 맛있어요!
유동현,3,2,5.0,2023.09.09.,5.0,닭다리살 맛있었습니다 다시 방문하겠습니다~
얘루,14,21,3.9,2023.09.09.,5.0,숯불 낭낭한 촉촉한 닭다리살 양도 많아서 3명이서 2인분 시켰음 양 충분! 직원분들 친절하고 든든하게 밥&술 할수 있는 곳
우왕,5,9,3.7,2023.09.08.,5.0,넘후맛있옹>///<
김승현,3,1,5.0,2023.09.08.,5.0,넘 분위기 좋고 맛있어요 ㅎㅎ
김유민,2,1,5.0,2023.09.08.,5.0,
감자,4,1,5.0,2023.09.08.,5.0,떡볶이랑 같이 먹으니까 진짜 맛있어용
김민주,2,1,5.0,2023.09.07.,5.0,맛있어요
송규인,2,1,5.0,2023.09.06.,5.0,가볍게 친구들이랑 한잔하기 최고에요~~
이민지,3,1,5.0,2023.09.05.,5.0,가볍게 먹고싶을때 맨날 오는곳입니당 넘 맛잏어용💕
김건도,2,1,5.0,2023.09.04.,5.0,여기 진짜 닭다리살 레전드에요 온 세상 사람들 다 먹어봤으면 좋겠어요 ㅠㅠ 시골 맛집 온 기분
차재환,2,2,5.0,2023.09.03.,5.0,직원분들이 너무 칰절하고 맛있어요
fellow,12,15,3.5,2023.09.03.,5.0,간장마요밥 우동 닭다리살 궁합이 좋고 맛있음가격도 ㄱㅊ하고 양도 은근 푸짐함 재방문의사 있음P.S 너무 배부르다
김현준,2,1,5.0,2023.09.03.,5.0,
전해찬,2,1,5.0,2023.09.03.,5.0,매우 맛있어요 친절해요 ㅎㅎ
신영,3,2,5.0,2023.09.03.,5.0,숯불 닭다리인데 숯불향 많이나서 너무 맛있어요!!간장마요밥에 우동까지 같이 먹어야 진짜 최고!!!
이동현,17,17,4.2,2023.09.02.,5.0,든든하게 먹고 갑니다! 신사점보다 약간? 좀 더 매웠는데 못먹을 정도 아니였습니다 가성비 좋고 워낙 홍대 메인거리라 시끄러운거 빼면 다 좋았습니다 :)
😆,4,2,5.0,2023.09.02.,5.0,야외테이블있는거 너무좋아요!!
전지호,3,1,5.0,2023.08.31.,5.0,양도 많고 맛있어요! 가성비도 좋구 소주를 계속 시키게 되는 맛..
윤민욱,2,1,5.0,2023.08.31.,5.0,맛있고 저렴하고 좋아요추천합니다
김택훈,2,1,5.0,2023.08.31.,5.0,
상수,7,7,3.1,2023.08.28.,5.0,일단 분위기 좋고 온달집은 어딜가도 좋지만 여긴 야외랑 연결되는 분위기가 좋아요!! ㅎㅎㅎ
❣️,4,1,5.0,2023.08.28.,5.0,안주가 너무 맛있어요 사진에는 없지만 떡볶이가 zi존..
성빈,3,1,5.0,2023.08.27.,5.0,닭다리살 무뼈닭발 진짜 하 ㅠ
이수빈,2,1,5.0,2023.08.26.,5.0,닭구이 진짜 맛있어요!!!
조수민,2,1,5.0,2023.08.26.,5.0,유명한만큼 맛있어요!!
소현,2,1,5.0,2023.08.26.,5.0,
홍예원,2,1,5.0,2023.08.26.,5.0,너무 맛있어요 강추강추 다들 홍대오시면 한번씩 가보세용~~~
맛지도,3,1,5.0,2023.08.24.,5.0,맛잇어요 불맛대박
강근재,3,2,5.0,2023.08.24.,5.0,너무 맛있게 먹고 갑니다 ^^
김수민,3,1,5.0,2023.08.24.,5.0,닭다리살이랑 우동 간장마요밥 맛집이에요ㅠ😍😍😍
보고,4,1,5.0,2023.08.22.,5.0,맛있어용! 분위기도 좋고 맛도 좋아서 자주 방문하는 곳입니다~! 닭다리살 구이 맛있어요!! 짱짱
