user_name,user_rank,num_response,user_star,time,rating,content
최종민,3,8,4.0,2023.12.03.,5.0,
겨울,31,107,4.2,2023.11.15.,5.0,친절하고 맛있어요.
진또배기,31,217,4.7,2023.09.01.,5.0,특별한 기념일에 데이트하기 좋은 곳입니다.
Barcia,43,686,4.5,2023.08.19.,5.0,상수동 스테이크 맛집
언제나청춘,41,564,4.7,2023.08.18.,5.0,념일 데이트는 여기서
예민한입,24,80,2.7,2022.12.25.,3.0,한번쯤은 가봐도 괜찮을듯루프탑 안쪽에 7명정도 앉을 수 있어 보이는곳 있는데단체로 오면 분위기는 괜찮을듯5시 전에 오면 루프탑에 햇빛 강해서 자리 옮겨서 먹어야 될 수도 있음샐러드는 맛없음고기는 둘이 먹기에 배부르게 먹을수있음김치 베이컨 필라프는 버섯도 들어가니까 버섯 싫어하는 사람은 별로 일 수 있음버섯 들어간다고 써놨으면 안시켰을듯
믱믱,11,23,3.5,2022.12.24.,5.0,음식 맛있고 좌석도 넉넉하고 친절하셔서 즐겁게식사했습니다
💋𝓺𝓾𝓮𝓮𝓷𝓲💋,6,4,5.0,2022.11.28.,5.0,분위기도 음식도 맛집이에요!! 되게 가끔한번씩 가는데 사장님들 서비스도 좋고친절하세여👍🏻
,14,33,3.1,2022.10.12.,4.0,고기는 맛있어요! 근데 매장 분위기나 서비스는 글쎄요 ㅠ ㅠ 다시 방문은 안할거같아요
나연,2,1,5.0,2022.08.19.,5.0,토마호크스테이크 짱 맛있어영❤️ 부드럽구 4명이서 먹었는데 충분히 배불러용🥰
최현태,24,97,4.0,2022.08.19.,4.0,"포터하우스 미디움 레어로 시켰는데 한 쪽은 미디움, 한 쪽은 웰던으로 나옴 ㅠㅠ굽기 어려운 부위에 가격 저렴한거 감안하면 괜찮은 편입니다."
김성민,3,1,5.0,2022.07.26.,5.0,고기 양도 많고 너무 맛있어요ㅠㅠ언제가도 항상 맛있고 좋은 퀄리티!번창하세여~*^^*
이승호,3,1,5.0,2022.07.26.,5.0,너무 맛있네요 ~^^ 루프탑도 정말 예쁘고 다음에 다시 한번 와야겠어요 ^^
욤,14,17,4.0,2022.05.26.,5.0,생일파티 여기서했는데 완전 만족이에욧
루시아,20,25,4.2,2022.04.02.,5.0,아웃백보다 훨씬 맛있고 부드러워요가격도 이 정도면 저렴하구요사연이 좀 있었는데 죄송하다며음료수도 서비스로 주셨어요평점 낮게 준 사람들은 경쟁업체인가;;;
하이,2,2,1.0,2022.01.19.,1.0,ㄹㅇ ..맛없어요..돈만 날리고 왔어요. ..고기 질기고 퍽퍽하고 이럴거면 ..하..
L,11,173,4.3,2021.03.10.,3.0,미디엄 레어시켯는데웰던이나왔네요 ㅠㅠ 보쌈인줄알았어요 그래도 사과해주셔서 감사합니다
박지형,3,1,5.0,2020.12.10.,5.0,전 홍대에서 스테이크/파스타 여가 아니면 안 먹습니다...; 리얼 대 존 맛 감스트 유튜브에 나와서 너무 궁금해서 왔는데 너무 성공하고 갑니다~
김치볶음밥,43,342,3.0,2020.04.05.,1.0,"스테이크, 파스타 다 별로 퍽퍽하고 평범 그 자체"
배고파요,33,119,3.0,2020.02.27.,2.0,존맛까진 절대 아니고요 ...ㅎ티본 먹었는데 분명히 안심이 더부드러워야 하는데 등심부위보다 퍽퍽해요 일단 살결은 안심이 맞는데 씹으면 뭔가 마른듯한 느낌이고 가장 중요한 굽기가 안맞아요 분명 미디움레어로 주문했는데 어딘 미디움레어고 어딘 미디움이고 어딘 웰던이고 ...전반적으로 파스타도 스테이크도 그저 그래요
이규창,2,1,5.0,2020.02.05.,5.0,와 진짜 스테이크 존맛  직원분들도 친절하시고 서비스 뒤짐 그래서  나도 뒤짐 저승에서 리뷰쓰는중
이기웅,5,6,5.0,2020.02.05.,5.0,"진짜 인생스테이크,,, 리뷰 잘 안쓰는데 와; 루프탑은 뭐 거의 이태원"
.,3,2,3.0,2020.02.05.,5.0,분위기도 좋고 루프탑도 너무이뻐요~스테이크도 두툼하고 부드러워서 진짜 맛있게 먹었네요
Jay,85,"3,044",1.2,2020.01.27.,1.0,터무니 없는 가격...
박예도,3,2,3.0,2020.01.04.,1.0,"저엉말.. 여기 여자친구랑 둘이서 갔는데스 테이크는 지방부분 많고파스타는 무슨 맛인지 모르겠고 84,000원 짜리 먹었는데 든든한 국밥 12그릇 먹을껄 그랬네요 혹시 이 리뷰를 보신다면 정말 행운이신 겁니다 그 근처에 바비레드도 있고 맛난거 많으니 그거먹으러 가셔요 인스타에 낚이면 안됩니다:("
