user_name,user_rank,num_response,user_star,time,rating,content
먹잘알 감자🍽️,32,87,4.4,2024.03.30.,4.0,밥 시켜서 야무지게 비벼먹음 ㅎ두 명이면 순살치즈찜닭 L 보다옹다래찜닭 S+치즈 추가+옹밥 가격이 같아서일케 먹는게 훨씬 나음!!🙂
흠,3,2,4.0,2023.12.10.,3.0,닭 잡내있고 양 적음주말 점심에 가니 딱딱한 밥 나옴(전날 만든듯)
돌아서면배고파,12,20,4.6,2023.11.26.,5.0,순살치즈찜닭 먹었어요. 당면이 기본적으로 꽤들어있구 맛있었어요! 옹밥추가했는데 누릉지처럼 나와서 신기햇어요 남은 국물에 비벼먹으니 환상적이더라구요.
뿌우뿌우,14,16,2.8,2023.11.24.,1.0,"다시 방문하고 싶은 곳인가요? 아니요. 오늘 처음으로 방문해서 다른지인에게도 가게에 있었던 일을 말하니 거기 자기들한테도 그랬다고 하더라구여,,, 약간 상습적으로 그러시는 거 같네요. 저희는 순살 한마리에 고구마떡 추가를 했습니다. 그럼 보통 재료소진이면 조리 전에 와서 저희한테 물어보는 게 당연한 거 아닌가요? 직원들 맘대로 다른사리 넣고 조리해서 저희한테 가져다주면서 고구마떡이 재료소진으로 다른사리로 넣어드렸어요. 라고 말하는데 어찌나 어이가 없던지,,, 직원교육문제인건지 이거는 좀 무슨생각으로 그러신건지,,, 죄송하다는 말도 없고 당연하다는 듯이 저렇게  말하는데 두번 다시는 안가고 싶은 곳이네요^^ 다른 분들도 아셔야 될 것 같아서 리뷰남깁니다."
Gallo,8,9,4.1,2023.08.14.,5.0,맛있고 친절한 식당. 야채들과 양념의 조화가 훌륭합니다. 흔한 찜닭전문점들의 짜고 단맛과는 다른 느낌의 밸런스에서 주인장의 정성이 느껴집니다. 인테리어 분위기도 좋아요. 아 누룽지는 꼭 추가해서 드세요 ㅎㅎ맛있습니다.그리고 아래 별 하나주면서 리뷰쓴 사람들 참 대단들 하네. 대체 얼마나 맛있는 음식들을 먹고 살길래 그렇게 입이 고급인건지.. ㅋ
Jun Ryu,27,147,3.8,2023.07.01.,2.0,예전에 왔을 땐 맛났다고 여친이 그랬는데 오늘 와보니 고기엔 잡내가 조금 나고 양도 적은 편이다
눈흘기는강쥐,47,779,3.7,2023.04.18.,4.0,누룽지찜닭 특이했어요치즈추가했더니 더 맛있어요
김하,2,3,2.3,2023.03.30.,1.0,자리 개많은대 두사람인거 보고 바로 안된다는 사장센스 번창하십쇼
찜닭러버,2,1,5.0,2023.02.25.,5.0,"진짜 너무 맛있습니다! 가성비는 물론이고, 특히 저는 순살이 맛있더라고요. 당면이 기본적으로 많이 주셔서 추가안해도 배부르게 먹을 수 있었습니다. 특히! 치즈추가랑 누릉지 추가 하면 두배로 맛있었습니다!! 가게도 넓고 기본적으로 주신 샐러드도 맛있었습니다! 마지막으로 옹다래 특유의 볶음밥이 진짜 진짜 정말로 맛있습니다. 불맛도 나면서 누릉지 같은 질감의 밥도 씹히고, 직접 만들어주셔서 먹기에도 너무 편합니다!! 진짜 여기 이후로 다른 찜닭집을 못가겠어요.."
NO1,20,57,3.2,2023.01.27.,5.0,넓고 편한 분위기. 맛있게 잘 먹었어요.
우리정구기,8,3,3.7,2022.05.25.,5.0,가성비 맛집
초이맛집,8,7,2.4,2022.05.03.,3.0,주차 30분 무료 후 주차금액 30분마다 2천원 발생 합니다. 음식은 괜찮은데 친절도는 별로에요~
abiabi,17,33,4.8,2022.02.13.,5.0,치즈누룽지찜닭 먹었어요 :> 맛있고 양도 푸짐합니다!  추천이요!
이상민 / 줄&줄(줄바우스토어),3,1,5.0,2021.12.05.,5.0,진짜진짜 말도안되는 가성비 맛집이에요!!!!!!!!!2명이서 진짜 배부르게 먹고 음 3명까지도 든든하게 먹을것같아요 ㅋㅋㅋㅋㅋㅋ 가격대비 진짜 최고 가성비!!! 위치도 번화가쪽이 아니라 숨겨진 고수 맛집이에요 홍대 오면 닭먹고싶은날이면 무조건와요 ㅠㅠㅠㅠㅠㅠㅠㅠ 그냥 최고진짜 ㅠㅠ
다롬,4,10,4.4,2021.12.05.,5.0,요기 진짜 맛있어요 다른 찜닭집은 찜닭을 시킨건지 당면을 시킨건지 모를정도로 당면만 나오는데 여기는 닭도 진짜 많고 당면도 아쉽지 않을 정도로 많아요 ㅎㅎ 찜닭먹고 싶을땐 항상 옹다래로 옵니다 사장님도 너무 친절하세요~~ 추천합니당
얌얌냠,24,54,4.6,2021.10.23.,5.0,진짜 마싯는 찜닭!! 가끔 실수하시지만 뭐 감안하고 재방문 꾸준히 할정도로 먹어본 찜닭중 젤 맛있어요 맛만 변하지 않길!! 주문이 많으면 점원을 늘리시던가 좀 더 장사 꼼꼼히 해주시면 좋을거같아용
ღ,2,1,5.0,2021.07.20.,5.0,사장님 너무 친절하시구 반마리 시켰는데 양도 푸짐해요 당면이랑 닭에 매콤 달달한 양념이 잘 배서 맛있었어요! 비오는 날 우연히 들렸다가 친절하신 사장님 뵙고 맛있는 음식 먹게 되어서 하루종일 기분이 좋아졌어요 감사합니다! 번창하세요!
Peter :),19,52,3.3,2021.04.08.,1.0,맛있게 먹긴했는데 분명히 순살 스몰 시켰고 사장님 본인도 메뉴판 가져가면서 스몰준다고 언급했으면서 계산할때 보니까 라지로 계산 ㅋㅋㅋ 양이 절대 라지 양이 아닌데 참나... 마스크도 안 쓰시고 기분 잡쳤네요
투가리,7,11,4.6,2021.01.24.,5.0,누룽지삼계탕이랑 칼국수 먹어 보았습니다. 반찬도 깔끔하여 마치 레스토랑에 온 기분이 들어요. 매인음식은 기본적으로 맛이 있어여. 코로나시대에 자주 가지 못하는게 많이 아쉽습니다.
무한도전,28,200,4.6,2021.01.21.,3.0,치즈찜닭 평타
둥,38,214,3.4,2020.12.20.,3.0,
유서영,6,5,1.8,2019.11.21.,1.0,진짜 이거 보고 절대로 가지마세요!!!제가 한번 먹어보고 너무 맛있어서 재방문해서 누룽지찜닭울 시켰는데요. 먹다가 철수세미 조각이 나왔습니다. 그래서 직원분께 먹다가 철수세미가 나왔다고 했더니 해드릴건 없고 사이다 서비스로 드린다고 했습니다. 참고로 저 사진은 처음 나왔을때 사진이 아닌 철수세미가 나온 이후에 먹다가 중단한 사진입니다. 음식에서 철수세미가 나와서 먹다가 중단 됬는데 사과 한마디 없었고요. 서비스라며 사이다를 주더라구요. 서비스라니요(?) 이게 서비스 받을 상황인가요(?) 그래서 제가 아무리 생각해봐도 이건 환불 받아야 될것같다고 했습니다. 주방장인지 사장인지 모를남자분이 어떻게 환불해드려야할까요라고 하더군요. 그래서 제가 어떻게 해주실 수 있냐 지금 먹다가 중단되었는데 이미 우리가 철수세미를 먹었거나 먹다가 또 나오면 어떻게 하냐 그냥 안먹었다고 했더니 전액 환불은 안된다고 절반만 내라고 하더라구요. 그래서 제가 화나는 부분은 음식에서 철수세미가 나왔는데 사과 한마디 못받았다. 지난번에 먹고 맛있어서 또 온건데 진짜 실망스럽다고 했습니다. 일손이 부족해서 전달을 못받았다며 변명을 하더라구요. 그래서 제가 그냥 계산하고 나와버렸습니다.당신이 먹을 음식에 철수세미보다 더한 것이 나올수도 있습니다.가지마세요!!!
얌얌이,3,5,3.4,2019.11.10.,5.0,마지막에 누룽지밥이랑 찜닭양념 비벼먹는게 맛있음
:),15,26,2.5,2019.10.20.,4.0,평보고 갔는데 맛집 맞음. 내가 워낙 비린내 예민해서 찜닭도 비린집이 많은데 이집은 일단 간장맛을 잘내고 재료들이 다 신선함. 샐러드로 닭살나온거 보면 고기 자신있단거. 기본+누룽 먹었는데 밥이 좀 있는 봉추같은 누룽이 아니라 오뚜기 가마솥 누룽지 같은거라 뻣뻣해서 이건 별로임. 걍 밥드셈
gehhrald,3,1,5.0,2019.09.23.,5.0,찜닭이 너무 맛있어요!The jjimdak here is really good!
Em,8,14,4.6,2018.08.02.,5.0,Delicioooous. I always get extra 당면.
