user_name,user_rank,num_response,user_star,time,rating,content
김영욱,24,43,4.6,2024.04.01.,4.0,숙성회가 아주 끝내줘요~두께도 좋고 양도 좋고~잘먹고 마시고 살아가는 얘기도 솔솔~^^
우주,34,119,3.4,2024.01.02.,4.0,지인 소개로 갔는데 회가 두툼하고 메뉴가 간단한게 마음에 들어요
수수,11,21,3.3,2023.12.28.,5.0,바***랑 너무 사람 많아서 즉석으로 알아보고 갔는데 숙성회 2인 6만원 나쁘지않고 한입한입 너무 맛있게 먹었어요! 김치라면 7천원 너무너무 맛있었어용
복돌,33,121,4.4,2023.09.02.,4.0,평범한 숙성회!! 맛나다!!!
쿠로미 노트,45,398,4.2,2023.08.25.,5.0,연어가 이런 맛이 날 수 있단 걸 처음 알았습니다
신속한비둘기,24,53,4.2,2023.07.03.,5.0,먹을때마다 눈이 커지는 곳 너무 맛있다! 다만 탕메뉴가 좀 있었으면 좋겠다는 생각을 하게된다
익명,7,32,4.8,2023.06.25.,5.0,
StemPlayer,27,119,3.7,2023.03.16.,4.0,1. 다른 반찬없이 회만 있어서 그런가 양도 많고 두께도 두껍다. 대신 그만큼 가격은 좀 있다. 개인적으로 밑반찬이나 자잘부리한걸 내놓고 회를 적게 주는거보단 이런걸 더 선호하기 때문에 호감이다.2. 숙성회라고 하던데 솔직히 잘 모르겠다. 나만 이런가 싶어서 친구한테도 물었는데 자기도 일반회랑 다를게 뭔지 모르겠다고 한다. 아마 숙성이 좀 덜 된거 같기도하다. 3. 마끼는 7천원 추가이지만 구성이 단출해서 좀 아쉬웠다 리필이라도 됐으면 좋았을 것 같은데. 4. 김치라면은 술과 함께 먹으면 괜찮긴한데 조금 맵다. (필자는 불닭볶음면까지 먹을 수 있다.)5. 그래도 홍대근처에서 이만한 회를 이 가격에 먹는 장소를 찾으려면 찾기 좀 어렵지 않을까싶다.6. 친절도는 보통이었다. 난 너무 친절해도 부담스러운데 그냥 딱 평범한 정도였다. 여자 알바생분이었다.
J,18,61,4.1,2022.12.28.,5.0,다음에 친구들이랑 또 가고 싶은 집
니따,13,28,4.0,2022.11.23.,5.0,개점부터 지금까지 거의 십 년을 다니고 있음. 전국 어디서 먹어봐도 숙성회는 여기가 젤 맛있음
거위날다,14,124,3.4,2022.10.28.,3.0,무난하게 맛있습니다.
Hae,20,30,3.8,2022.10.14.,5.0,진짜 근 24년간 이렇게 맛있는 회집은 처음이에요회 한점에 소주한잔 이렇게 술술 들어가네요.. 하..최고임니다… 쵝오 그 잡채..🍀
쩡키,21,189,3.7,2022.10.01.,5.0,
여윤수,2,2,5.0,2022.09.26.,5.0,진짜 맛있네요!!! 제가 먹은 숙성회중 1등 입니다
너구리,17,29,4.4,2022.02.24.,3.0,추운날 기껏 왔는데 백신미접종자는 PCR 음성확인서가 있어도 출입이 안된다고해서 돌아갑니다 뭐 사장님 자유라지만 접종률 90프로가 넘어가는 시점에 17만명씩 나오는데..여러 이유로 접종하지 못하는 분들도 계실텐데.. 미접종분들 참고하시라고 적습니다.
쭌~,4,3,4.0,2022.01.11.,5.0,숙성회란 음식의 정점에 있네요잡다한 것들 없이 회에만 집중해서 불편할 수도 있지만모든걸 음식으로 덮어버렸어요하지만 제로페이가 인되는 점은 아쉽네요
마농,9,7,4.0,2021.08.24.,2.0,사장님 불친절하고 서비스도 안좋아요 가격에 비해 회의 질이 그냥 그래요 불만족은 아닌데 또 가고싶지는 않습니다
tall165cm,68,688,4.4,2021.07.17.,4.0,두께미쳤다… 7시쯤 재료 소진 끝. 그리고 김치라면도 미쳤다…
날,35,141,4.3,2021.06.11.,4.0,"딱 숙성회만 나오는 곳!!! 회의 식감, 맛이 그대로 느껴져요. 맛있었습니다!! 회는 좋았습니다!"
맛캣,45,446,3.3,2021.04.21.,4.0,"색다른 맛이네요ㅎ두툼하고 양도 좋았습니다!다만, 김치라면은 별루...ㅋㅋ"
고독한 탐식가,100,"5,449",3.1,2021.02.24.,5.0,"와우 ~ 숙성회의 신세계 !!! 정말로 기가 막혀서 말이 안 나온다. 일체의 스끼다시 없이 오로지 농어, 참돔, 연어, 홍민어로 구성된, 깍두기처럼 두툼하게 썰어낸 모둠 숙성회의 식감에 그냥 황홀해질 뿐이다. 회안주의 단점인 뱃속의 허전함은 마끼로 채워지고 코끝까지 얼얼해지는 생와사비의 퀄리티도 완벽하다. 진짜 장사는 이렇게 해야 돈을 버는거다 ^^"
맛집좋아,29,79,3.5,2021.02.15.,3.0,맛있고 두꺼운 횟감이다 홍대 근처에서 숙성회 먹으면 재방문 의사 있음
오,17,39,4.9,2021.01.25.,5.0,
동철,4,7,4.9,2020.11.05.,5.0,숙성 정도는 덜하지만 가성비는 아주 좋은 책거리 맛집
Jino,5,13,4.7,2020.10.19.,5.0,회 하나 보고 가는 곳입니다.
Hasmiblue,33,155,4.1,2020.09.27.,4.0,숙성회 좋아한다면 훌륭한곳. 스끼 좋아하면 비추
맛집만리뷰남김,12,8,4.9,2020.09.24.,4.0,몇 년째 다니는데 사장님이 살가운 스타일은 아니지만 불친절을 겪은 적은 결코 단 한 번도 없음. 가끔 계시는 사모님? 여자 직원분은 확실히 친절함. 회 두께는 두꺼운 편이라 얇은 회 좋아하면 불호가 있을 순 있다고 생각하지만 애초에 여기는 두툼한 걸로 유명. 회 자체도 맛있었고 마끼랑 같이 먹는게 나름 별미.
ㅠ,49,264,3.9,2020.09.01.,3.0,너무 두껍게 썰어서 씹기 힘들어요;
엌,28,98,3.4,2020.07.26.,5.0,거 참 맛으로만 평가합시다
냐무,8,10,4.1,2020.06.09.,1.0,다리라고 금방 자리 준다고 해놓고 1시간 기다렸더니 재료소진. 재료 체크도 못하고 손님 체크도 못함
평식이형,10,21,3.7,2019.08.30.,4.0,숙성회와 마끼맛이 기름지게 좋았습니다 친절함은 언급하지 않을게요
이승대,4,2,1.0,2019.07.12.,1.0,그냥 회인지 숙성회인지 잘 모르겠어요.비싸요.결정적으로 너무 불친절해요. 즐거운 회식자리인데 기분이 상했네요...
JKM,24,94,4.0,2019.07.11.,4.0,사장님의 접객 스타일은 다소 퉁명스러우나샤리에 셀프러 만들어 먹는 초밥이 생각남
스파하는루이,31,93,2.6,2019.05.08.,1.0,사장님 무슨일 있으신가요?왜?왜? 예고도 없이 오픈을 안 하시는가요?한시간을 문 앞에서 기다리다 왔어요 ㅠㅠ이제 안 가려구여
JH,7,14,3.7,2019.04.08.,1.0,맛은있는데 불친절
남지형,26,181,3.7,2018.09.17.,4.0,가성비굿 네개
통닭미터기,15,50,4.0,2018.06.04.,5.0,
