user_name,user_rank,num_response,user_star,time,rating,content
권태영,64,349,4.5,2024.04.07.,4.0,고기 퀄리티 좋아요! 버섯 마음것 먹을 수 있어서 좋아요! 고기 더 주문한다고 눈치 주시는것도 없고 너무 편하고 맛있게 먹었습니다! 사장님 엄청 친절하시고 화장실도 깔끔해서 좋아요 ㅎㅎ
안녕,10,22,4.2,2024.03.03.,5.0,고기 상태 미쳤습니다. 앵간한 고기집 원투펀치 저리 가랍니다. 반찬? 사이드? 어느것 하나 빠지지 않습니다. 꼭 와보세요
ㅇㅇ,8,10,5.0,2024.01.16.,5.0,
김성운,2,42,3.7,2024.01.13.,4.0,
dua,4,4,5.0,2023.12.25.,5.0,
캬앙,18,23,2.5,2023.08.02.,1.0,"고기 맛있고 손님 잘받고 음식 맛있음꽤 자주 갔었고 1달에 한 번씩은 꼭 갔던 것 같다.코로나때 손님 하나도 없을 때도, 지금처럼 북적일때도 항상 잘 반겨주시던 사장님이제는 안 간다.반찬 재활용은 어떤 식당에서도 용납할 수 없다.고깃집에서 고기가 맛있으니 좋았다.가격이 갈때마다 2천원씩 올라도 좋았다.그렇지만, 음식을 가지고 장난치는 행위는 안된다.마늘 꼬라지를 봐라..맛있는 집이고, 자주 가고 싶었다. 안타까울 뿐이다."
아미타불,13,7,4.7,2023.06.22.,3.0,맛있게 잘먹었습니다 사장님!!
하하,27,100,2.4,2023.05.05.,5.0,존마탱탱구리 사장님들도 친절
Somniator,16,2,5.0,2023.05.02.,5.0,
ONE Fine DAY,3,2,3.0,2022.06.28.,1.0,별점 1도 아깝네요고기가 아니라 타이어 씹는거 같아요정말 돈만 버린느거 같아요
카잘스,36,230,3.8,2022.03.04.,5.0,가성비 갑! 무한리필집 중 최고에요. 가본곳 중 ㅎㅎ
리뷰용,12,92,3.0,2022.02.28.,5.0,최고
손은탱,2,1,5.0,2022.02.26.,5.0,
ㅇㅇ,19,63,4.1,2022.02.10.,5.0,소고기 맛있었어요 재방문의사o
이강희,10,7,4.4,2021.12.04.,5.0,맛있게 잘 먹었습니다~
Thao,7,5,4.6,2021.10.21.,5.0,진짜 가본 곳 중에 고기 제일 부드럽고 맛있어요!!! 교정 때문에 이가 약한데도 씹어서 먹을 수 있을 정도로 되게 부드러워요! 사장님도 너무 친절하시고 고기 떨어지기 전에 미리미리 갖다주시고 식당도 관리 잘 되고 깔끔해요! 셀프바 1천원 추가인데 사실 그냥 무한리필가에 1천 플러스하시는 게 덜 찜찜했을텐데...여튼 정말 자주 가는 곳이고 나만 알고 싶은 맛집인데 코로나 때문인지 저녁 시간에 손님 별로 없는 거 보고 이러다가 문 닫는 게 아닐까 걱정하는 마음에 소문 내봅니다 ㅠㅠ
차갑수,23,39,4.2,2021.07.31.,5.0,굿!
ㅇ,16,39,1.5,2021.07.07.,4.0,고기부페 가본곳 중에 고기질이 괜찮고 마지막 먹을때까지 숯불이 강했어요  고기도 다 먹을때쯤 미리미리 가져다주시고(부페에서는 거의 안그런데) 처음에는 부위별로 나오고 나중에는 원하는부위를 주시는데 점점 양을 많이주시더라구요~한가지 아쉬운점은 반찬 셀프바 이용시 금액이있다는거와(가지수가 별로 안되니 안받았음 좋겠어요)물국수 비빔국수도 맛있었고 콜라도 먹고하니 금액이 좀나오더라구요.. 리뷰보고 갔었는데 다 맛있다고 그러네요~
김대환,12,33,5.0,2021.05.11.,5.0,맛있어요 일반 소고기집이랑 비교해도 맛있어요
hadung,5,5,2.6,2021.04.03.,5.0,이 가격에 이 퀄리티의 소고기는 서울 어디 가도 없을듯 합니다. 질좋은 소고기를 마음껏 먹을 수 있고 야채 셀프바에서 가져온 마늘 상추랑 싸서 쌈장에 찍어 소주랑 먹으면. 아... 침 나오네. 초등인 우리 애기들도 소고기 먹자하면 왔쏘 가는 줄 압니다. 이번 주말에 애들이랑 뭐하지 고민되면 토요일 느즈막히 합정역6번 출구 나와서 알라딘에서 책구경하고 왔쏘에서 고기 먹고 홍대 한바퀴 돌고 집에 오면 애들도 좋아 할 겁니다.  비빔 막국수도 맛있습니다.
조민현,8,19,4.8,2021.02.25.,5.0,"맛있고, 가격도 적당하고, 고기도 싱싱합니다"
malone,5,4,4.0,2021.01.09.,5.0,고기 질 체고 맛도 체고 담에 또갈거에여 ෆ고기 접시 비어있는거 보고 말도 안했는데 리필해주셔서 깜짝 놀랬어요ㅋㅋㅋㅋ 사장님 센스 짱짱
남일,12,23,4.3,2020.12.03.,5.0,굿
맛캣,45,446,3.3,2020.10.25.,5.0,맛은 매우 좋습니다!2020.10.24 기준 오후 11시 마감이더라고요.응대만 좀 더 빠르고 친절하면 최고일듯여
홍대에서건대까지,24,79,4.0,2019.07.24.,4.0,수입고기지만질이 괜찮아서 거의 열접시 조진듯사장님 죄송해요.
붕붕 허니비,16,124,4.5,2019.01.05.,5.0,
