user_name,user_rank,num_response,user_star,time,rating,content
sss_,11,22,2.7,2024.04.22.,1.0,맛없고 불친절
Epicure,37,158,3.8,2024.04.14.,5.0,역시 우동은 면이지우동맛집들 중 튀김류 맛없는집 많은데 여긴 가라아게도 맛있다
쏭지,1,2,5.0,2024.04.11.,5.0,
솔직히,26,74,3.0,2024.04.09.,4.0,연희 본점에서 먹는 우동을 정말 좋아해요. 그래서 처음으로 합정도 가봤어요. 전체적 음식 퀄리티는 비슷하나 연희가 더 낫습니다. 테이블 간격이 너무 가까워요. 사람만으로 빼곡한 느낌.. 물통이 따로 제공되지 않아서 잔 당 물 먹기가 어렵습니다. 인기 많은 집 치고 웨이팅 시스템도 별로예요. 이름 적고 앞에 서서 무작정 순서를 기다리기만 하라니ㅠ
크리스,2,3,5.0,2024.04.09.,5.0,"첫 방문에 三味우동을 시켜봤는데 일본현지맛 그대로. 일본에서도 맛집으로 등극할수있을정도의 맛. 일본에선 동네마다 맛있는 우동집이 있기때문에 이정도 맛이야 꽤 흔해서 웨이팅이 없으면 무조건 먹어보라 추천할 것같습니다. 한국에 유명하다는 우동집 몇군데 다녀봤지만 이런 오리지널맛 내는데가 별로 없어서 만족스럽네요.재방문에 아사리우동 먹어봤습니다만, 첫번째 먹은것보다 덜 감동적인 맛이라 여기오면 먹어야할 우동이 정해진것 같습니다."
김민지,11,17,4.5,2024.04.09.,5.0,면발 넘무 통통하고 맛있게 잘먹었어요 ㅎㅎ 명란우동 짱
유 은영,2,1,2.0,2024.04.06.,2.0,다시 오고 싶지 않은 식당이네요 왜 줄서서 먹는지 이해 안되요 ㅠㅠ
김태연,6,9,4.1,2024.04.05.,5.0,
나는돼지다,22,45,3.9,2024.04.05.,3.0,붓카케우동 먹었음 근데 엄청 기다릴맛은 아닌듯. 면이 쫀득해서 좋았음. 근데 그게 다임. 육수가 특별한것도 아니고 사실 육수랑 면이 조화로운것도 아님 치킨 가라아게 기대했는데 그냥 이자카야 가라아게가 훨씬 맛있을듯
ㅇㅅㅇ,2,4,3.5,2024.03.21.,3.0,
서대문구대표돼지,72,832,3.3,2024.03.14.,3.0,맛있긴한데 우동전문점에서 크림우동시키는 바보짓은 하지않기.. 나처럼..
맛없는거 먹으면 화냄,33,171,4.3,2024.03.10.,1.0,왜 유명한지 이해 안됨면 진짜 맛없음
ㅇㅅㅇ,22,43,4.1,2024.03.09.,1.0,걍 그럼
뿌링클뿌셔,18,46,3.8,2024.03.02.,1.0,"우동 덕후라서 기대했는데 맛없다하기 죄송하지만너무 짜고 면도 맛이 없어여,,ㅠ"
박찬형,7,10,4.1,2024.02.28.,4.0,키츠네 우동 먹었는데 국물이 다르네요..! 유부도 맛있고 면도 묵직한게 우동 제대로 한다는 느낌이었습니다! 양이 좀 푸짐해서 소식하는 사람들한텐 살짝 많습니다
진,11,35,4.7,2024.02.22.,4.0,
김강수,45,271,4.2,2024.02.08.,3.0,명성에 비해 잘모르겠음
김하민,20,52,4.1,2024.02.06.,3.0,맛이 쪼금 변한거같다.
맛집only,21,50,5.0,2024.02.06.,5.0,웨이팅만 이겨낸다면 ~ 붓카케우동 추천👍
토스,21,64,3.2,2024.02.01.,1.0,너무 불친절했어요.. 특히 안경끼신 분이요 ㅠ맛은 있었는데.. 개선되면 좋겠네요
탄이,41,409,3.3,2024.01.30.,2.0,그냥 정호영쉐프로 이름날린 평범한 일식우동집이에요.. 말도안되는 극찬은 너무 오바라 평균 맞추기위해서..2점 드립니다.^^;;;;;;;;
딩딩,31,112,4.3,2024.01.25.,5.0,난 냉우동 맛있게 먹었음야채튀김이랑 같이 나오는거 좋음
료,13,12,4.2,2024.01.24.,3.0,
오레오 인종,13,23,3.3,2024.01.20.,3.0,명성에 비하면 실망이 좀 있었습니다. 면에 더욱 집중하시길
함냐,4,1,1.0,2024.01.20.,1.0,연희점은 직원분들 모두 친절하셨는데 합정점은 계산하고 웨이팅 안내해주는 직원분이 짜증섞인 말투로 손님들 응대하는게 너무별로였어요 계산하고 나가는 손님들마다 비웃는듯하고 합정점은 다시 안올것같아요 ㅠ 다른 직원들은 안 그러는데 손님과 제일 자주 맞닿는 직원이 이러니까 불쾌했습니다
MM,19,30,3.2,2024.01.20.,1.0,"온우동 먹었어요, 생생우동이 더 나을수도? 웨이팅하지마시고 다른곳 추천드립니다"
스나이퍼,9,8,3.1,2024.01.12.,1.0,"제발 웨이팅하지마세요 제발 제발 따듯한우동도 제발먹지마세요 육수의 특별함이 하나도없음 그냥 당신이 아는 그 가쓰오 우동맛임 튀김은 방송에서 하도 난리 쳤길래 맛잇을줓알앗는데 이게웬걸 진짜 노맛도이런노맛이없음 튀김옷도 너무 두껍고... 요즘 RTE재료도 벌크로 잘나오던데 차라리 그런걸 쓰는게 어떠신지•••그냥 우동집임 그냥우동을 먹고싶다면 가도좋아요,,하지만 제발웨이팅하지마세요 정 먹어보고싶으면 브레이크타임 임박해서 가길 제발 당신의 시간은 소중합니다"
걔쯔비,8,12,3.3,2024.01.04.,1.0,웨이팅한 시간 아까워 뒤지겠네
BABO,69,141,5.0,2023.12.28.,5.0,
모른척,19,16,4.3,2023.12.27.,5.0,너무 맛있음 ㅠㅠ 우동 별로 안좋아하는데 우동면이 너무 탱글쫄깃함요
부넝,27,86,3.4,2023.12.26.,2.0,예에전부터 유명한곳이라 와야지와야지 하다가 이제 와보는데 너무 평범한 맛이라 놀랐어요.. 면빨은 쫄깃하긴 한데 그외에 나머지가 너무나 평범 .. 우동이름 걸고 할만한 집까진 아닌듯 ㅜㅜ
아르르...왈왈!!,9,25,2.8,2023.12.22.,1.0,전 모르겠네요;;
