user_name,user_rank,num_response,user_star,time,rating,content
리리,14,46,3.9,2024.04.21.,4.0,아보카도 명란 바게트? 옄나 이게 존맛이었음야끼소바는 그냥저냥 무난
랄라,10,19,4.5,2024.03.17.,5.0,
뿡뿡뿡,17,26,4.6,2024.03.03.,5.0,"솔직하게 말하자면 내 입맛에는 오꼬노미야끼 야끼소바 맛있었고 되게 사람 많은데도 불구하고 안내 잘 해주셔서 다른 웨이팅 긴 가게들 보다 더 친절한 느낌 받음근데 음식 값이 좀 비싼 편이라, 지갑이 허락할 때..먹을 듯,,❤️웨이팅 어플로 미리 웨이팅 알아보고 가세요주말 저녁에 가서 더 길었던 듯함❤️전 입맛 스펙트럼 넓어서 다 맛있게 잘먹는 편이라 다른분들 리뷰도 참고하시는게 좋을 듷"
김지연,16,775,4.3,2024.03.01.,4.0,
박풀,7,4,3.5,2024.02.26.,4.0,"굉장히 유명한 곳이라 기대했는데 개인적으로 웨이팅 할 정도는 아닌 것 같습니다…평일 저녁에 웨이팅 20분 정도 하고 들어갔습니다 일단 기본 밑반찬(?)으로 주시는 양상추가 너무 맛있었어요 중독성 쩌는 맛저는 오꼬노미야끼랑 야끼소바 모두 추천 토핑, 소스로 주문했고 야끼소바는 맛있었어요 약간 알리오올리오 같기도 한데 시오 특유의 짠 맛이 좋았고 새우도 오동통해서 맛있었습니다 오꼬노미야끼는 제가 원래도 별로 안 좋아해서 기대를 안 했는데 역시 그냥 그랬습니다가게 분위기 자체는 좋았으나 좀 많이 시끄럽고 더웠습니다 그리고 양이 적은 편인데 가격은 전혀 그렇지 않아서… 오꼬노미야끼, 야끼소바 좋아하시는 분들은 한 번쯤 가보기 좋은 곳입니다!"
케론인,11,6,4.5,2024.02.18.,4.0,야끼소바는 간이 쎈 편! 짭짤하니 맛있었다오꼬노미야끼는 마반죽이라 그런가 일반적인 오꼬모미야끼랑은 다른 느낌이었고 소화가 빨리 되는 거 같다
황승현,1,2,4.5,2024.02.18.,4.0,
나는죠쉬당,40,171,4.3,2024.02.12.,4.0,"바와 테이블이 모두 있어서 둘이가거나 그룹으로 가도 모두 앉기 좋은 식당이다.제일 맛있었던 것은 새우 시오 야끼소바 였고, 살짝 알리오 올리오스러운 맛인것 같기도 하면서 굴소스 스러운 감칠맛이 매우 뛰어났다.토마토 오꼬노미야끼는 특색이 있어서 좋았지만 돼지고기가 들어간 것을 시켰는데, 약간 고기는 너무 적게 들어간 것과 더불어, 살짝 비싼 것 같은 느낌이 있다.제일 저렴한 주류는 아사히 생맥주인 것을 참고해야한다."
냠뇸,10,4,4.0,2024.02.08.,5.0,오코노미야끼는 일반적으로 생각하는 맛보단 건강한 느낌이라 건강식 좋아하시는 분들에게 추천!그게 아니라면 야끼소바 드시는 걸 추천!전 둘 다 맛있었습니다
이정민,7,6,4.3,2024.01.25.,5.0,두명이서 가시면 꼭 오코노미야키 1개 / 야키소바 1개를 시켜서 나눠드세요❤️ 맛있어요 🫶🏻😄
H,19,49,3.9,2024.01.13.,1.0,일본에서 먹은 야끼소바랑 오꼬노모야끼가 그리워서 갔는데 너무 달라서 실망했습니다..
ㅇㅇ,16,26,3.9,2023.12.18.,1.0,원가 2천원도 안나올것같은 야끼소바 만육천원에 팔아먹고 있음오코노미야끼도 양배추만 처넣어서 아무맛도 안남맛잇다고 먹는사람들은 그냥 양배추를 부쳐먹지 뭐하러 이만원씩 내고 여기와서 오코노미야끼 먹는지 모르겠음
어린이보호구역고스트라이더김민기,65,368,3.8,2023.12.15.,4.0,오코노미야끼는 조금 아쉬움이 남고 토마토 소스가 추천할만큼 맛있는진 모르겠음야끼소바는 개인적으로 만족스러웠음 🙏
장성호,2,1,4.0,2023.12.10.,4.0,
링딩돋토리,7,9,4.8,2023.12.10.,3.0,18년도부터 1년에 한 번 씩 왔던거 같은데 최근에 왔을 때 맛이 약간 변한거 같아요. 여전히 맛있긴 합니다.
원강이,11,9,4.6,2023.12.09.,5.0,평일 기준 웨이팅 없이 입장 가능함!베스트 메뉴로 2가지 먹었는데 야끼소바는 소스맛이 너무 자극적이라 그냥 그랬고 오꼬노미야끼가 너무 맛있었음!! 진짜 내 기준 우와 하는 맛ㅎㅎ 양배추가 담백하고 위에 토마토소스가 새콤해서 둘이 잘 어울리고 새우도 살이 통통해서 좋았음😆하이볼이랑 같이 입가심하며 먹기 좋은 메뉴들
서당개,14,32,3.7,2023.12.07.,1.0,오코노모야끼가 아니고 그냥 양배추토마토볶음 입니다.
짱구는 먹는게 제일 좋아,19,33,4.3,2023.11.27.,4.0,"맛있음. 회전율 좋아서 웨이팅 별로 안 함. 매장 넓음. 오꼬노미야끼, 야끼소바 먹음"
준영,4,6,4.8,2023.11.15.,4.0,맛있어요 분위기도 좋아서 담에 또 가려구요웨이팅이 있어 미리가야해요
아님ᕙ(•̀‸•́‶)ᕗ,23,41,4.3,2023.11.13.,1.0,"전에는 오꼬노미야끼 안에 소바면도있고 재료가 좀 많았던거같은데 이제는 뭔 양배추만ㅋㅋㅋㅋㅋㅋ양배추를 18,000원 주고 먹었네요…다진양배추+칵테일새우+스파게티소스+모짜렐라 치즈 있으면 걍 집에서 해먹을듯..야끼소바도.. 데리야끼소스 졸인맛 ㅠㅠ분위기만 남음…이제 안갈듯 ㅠ"
가현,10,13,2.2,2023.11.12.,1.0,그냥 둘다 개맛없음오코노미야끼는 뭔 생양배추를 대접하시는건지.. how 인기 맛집?
와압,25,48,3.5,2023.11.01.,3.0,분위기는 좋아요 첫 입은 맛있는데 양념이 좀 세서 금방 물려요
asdf,11,16,3.7,2023.10.29.,5.0,"일단 공간도 넓고 철판에 주셔서 식지않아서 좋았어요.클래식 새우 오코노미야끼랑 바질 돼지고기 야끼소바를 먹었는데 오코노미야끼는 마가 들어서인지 부드럽고 새우도 통통하니 맛있었고, 야끼소바는 바질맛이 강하지 않고 면에 간이 잘 배어서 맛있었습니다.양에 비해서는 가격이 높기는 하지만 철판에서 따뜻하게 먹을 수 있어 좋았어요. 분위기도 좋고 만족스러운 식사였습니다!"
K,3,2,2.0,2023.10.24.,3.0,
마이쪙,25,50,4.8,2023.10.24.,4.0,굿굿!! 야끼소바에 마요네즈 필수!!!
먕먕,21,53,4.5,2023.10.13.,5.0,진짜 너무 맛있게 먹었어요 완전 제 스타일이고 분위기 직원분들 다 친절하고 좋았음 다음에 또 와서 먹고싶어요
걸작,13,38,1.2,2023.09.24.,1.0,양배추 80 토마토소스 8 치즈 12 원래 알던 오코노미야끼가 아닌듯
냉철한입맛,43,503,3.7,2023.09.22.,4.0,야끼소바 맛있게 먹었어요
❤️,15,18,4.1,2023.09.17.,5.0,미친듯한 맛. 하이라이스 맛이 히든으로 맛남
흐리거나비,14,24,4.1,2023.09.06.,4.0,"시끌벅적한 분위기가 오히려 잘 어울리는 가게.가격은 좀 비쌌지만, 좋았습니다.직원분이 매우 친절."
하효빈,3,5,5.0,2023.09.05.,5.0,
기고만장,15,32,4.3,2023.09.03.,3.0,대기줄이 긴거에 비해 평범
비니,8,10,2.8,2023.08.30.,1.0,저녁 대기 매우 김.직원은 바빠서 그런지 말이 짧음야끼소바는 그럭저럭이었는데오코노미야끼는 최악. 양배추볶음 먹고싶으면 가세요
하하허,2,2,3.5,2023.08.14.,2.0,일본에서 먹었던 오꼬노미야끼는 아니여요.가격도 살짝 비싸요.생각보다 아쉽네요..
우지,9,16,4.3,2023.08.11.,5.0,오꼬노미야끼 야끼소바
눈칫밥 먹으면서 적는 리뷰,31,153,4.0,2023.08.05.,3.0,아..~ 너무 기대했나 생각보다 별로
루디팡팡,3,3,4.3,2023.08.03.,3.0,분위기도 맛도....옛날 같지않아요
🐱,20,50,4.2,2023.07.31.,4.0,"웨이팅이 엄청나게 길어요!토마토오꼬노미야끼는 특이하고 갠춘, 꽃갈비살은 질김"
토담이,18,54,3.9,2023.07.20.,5.0,"웨이팅 있고 한번쯤 가보기 좋은 식당 야끼소바는 맛있는데 오꼬노미야끼는 마때문에 입맛에 별로 안맛네요. 건강한 맛 좋아하시는분, 분위기 좋아하시는 분 강추"
dd,8,8,2.9,2023.07.14.,3.0,맛있긴한데 웨이팅할 정도는 아님..
상놈감별기,4,3,2.3,2023.07.09.,1.0,오코노미야키 - 양배추50+치즈25+토마토소스25 설명끝
오민서,18,26,3.5,2023.07.08.,3.0,첫맛은 음 괜찮네~ 세번째 입일땐 음.. 짜네..?음식 두개시켰는데 둘다 간이 쎄고 자극적이었어요
석현,41,192,4.4,2023.07.02.,4.0,"야끼소바는 괜찮았는데 오코노미야끼는 별로였어요 그냥 양배추뭉친거먹는 느낌,, 철판에서 만드는거 보면서 먹는건 좋았어요"
qwert,14,30,3.1,2023.06.26.,2.0,대체 여기 왜 줄서는지…? 토마토오코노미야끼는폰타나 토마토소스에 양배추채쳐서 체다치즈 올린 맛임. 젓가락으로 안잡혀서질척하게 흘러내리는 양배추 모듬이 오코노미야끼라니..이래놓고 반죽에 마 넣었으니 정통 방식이라니…야끼소바는 그냥 그래요. 니맛내맛도 아닌 밍밍한…작년 겨울대비 가격인상 살벌하네요. 저게 17000원 너무 비싸요. 양도 적어서 배고픔.양배추다이어트인데 배고플 수 밖에….
이흉,21,39,3.6,2023.06.25.,2.0,그냥 인스타감성 음식점..줄서서 먹는 이유는 대체???? 시그니처말고 다른걸 먹긴 했지만..오코노미야끼가 밀가루를 쓰지않아서 그런지 퍼오면 다 부서지고 난리남;; 먹기가 너무 힘들고 재료가 입에서 다 따로 굴러다님 그나마 바질야끼소바는 먹을만 했지만..흠ㅋㅋ 맛에 비해 가격이 너무 비싸서 한숨나옴.. 양은 많은것 같음.. 둘이서 오코노미야끼랑 소바 하나씩 2개 시켰는데 둘 다 반밖에 안먹고 배불러서 나옴
🥑,26,23,3.1,2023.06.19.,5.0,신사점은 너무너무 시끄럽고 직원들도 목소리가 너무 커서 별로였는데홍대 본점은 적당해서 좋아요맛은 두군데 다 맛있음
