user_name,user_rank,num_response,user_star,time,rating,content
나야나,13,34,4.6,2024.03.03.,5.0,세트에 나오는 후식이 존맛탱이었읍니다 우유랑 쌀로만든거!!!
할말많은데참음,41,232,3.4,2024.01.20.,2.0,"홍대에는 맛있는 인도커리 전문점이 많음. 심지어 저렴함. 근데 여기는 아님, 가격도 비싼데 맛은 인도커리 프렌차이즈 수준"
ABC Cage,29,116,5.0,2023.10.22.,5.0,"예전부터 뷔페 정말 맛,가성비.최고예요~~"
이명화,2,4,5.0,2023.09.08.,5.0,
강난스,2,3,3.7,2023.08.05.,5.0,
방예나,48,319,4.3,2022.10.19.,4.0,오랜만에 만난 친구랑 갔던 곳이라 기억에 남네요. 야외 테라스에서 먹었는데 좋았습니다.
야생동물,22,46,4.7,2022.09.18.,1.0,"음식은 다 좋은데요. 인테리어도 괜찮았고. 그러나 서비스가 상식 미만입니다. 직원이 없는 거나 마찬가지로 손님들 케어 안 하실 거면 벨을 다세요. 굉장한 친절 바라는 거 아니에요. 주문을 받아주는 사람은 있어야죠. 그리고 주문한 음식이 나왔는데 뭔지 물어보니까 아르바이트라 모른다고 하시는 게 상식적인지 생각해보셨으면 좋겠네요. 번화가니 언젠가 다시 방문하게 될 수도 있겠지만, 제 의사로 다시 방문할 것 같지 않습니다. 중요한 손님 모시는 자리에는 추천하지 않습니다. 직원 지나가길 목이 빠지게 쳐다보고 있느라 대화가 될지 모르겠네요."
김길,33,153,3.6,2022.09.06.,3.0,나름 오래된 곳. 크고 시원해서 가면 여유로운 느낌. 음식도 저는 맛있습니다 하지만 응대가 너무 오래 걸려요. 손님이 두 테이블만 있는 날에도 마찬가지로 느리더라고요.시간 많고 여유로운 날 가면 나름 괜찮습니다
곽림철,2,6,4.3,2022.08.15.,1.0,
asdf,2,3,2.3,2022.08.14.,1.0,종업원들 대응 정말 최악이예요오래걸리면 오래걸린다고 얘기를 해야지 땡볕에 1시간을 기다리게 했는데 아무런 고지가 없네요 갈 이유가 하등 없습니다
☻️,11,15,4.0,2022.07.18.,3.0,먹을만함 예약 안해서 난 무한리필 못받음
맛있으면왈왈짖는개,38,116,4.5,2022.06.27.,5.0,왈ㄹ!! 왈! 크르릉ㅇ 왈! 왈왈ㄹ!! 컁컁ㅇ 왈! 왈왈ㄹㄹ!!!!! 으르르르릉ㅇ 왈!!! 왈왈왈!!!! 크릉...크르릉 !!! 왈왈!! 크르응 ... 왈!!.. 왈!...왈왈!!! 으르으릉 왈!! 왈왈왈!!! 크왈ㄹ!!
김영조(임하임,5,7,5.0,2022.05.30.,5.0,인도 음식의 강한 향신료 맛보다 한국인들이 좋아할 매콤하고 맛있는 커리 덕분에 난을 몇개나 먹었네요~ 안테리어도 독특하고 앞으로 자주 갈거 같아요^^
리링,55,598,3.7,2022.05.22.,4.0,
nanee,30,159,4.7,2022.05.06.,5.0,특색있음 근데 멀다
jjj,2,1,1.0,2022.05.05.,1.0,별하나도 아까운데 리뷰 쓰려면 별점을 올려야해서 별 하나 찍고 올려요. 일단 가격대비 너어어어어어무 비싸요. 평일점심제외하고 공휴일이나 주말 저녁에는 1인세트가 2만5천원?ㅋㅋㅋㅋ 손님대하는 태도도 완전 불친절 일단 음식이 맛있으면 되겠지 했는데 커리는 따뜻하지도 않고 세트로 시켜서 나온 밥사이즈가 1인분도 안되는양으로 나오고 (1인세트 2개시켰는데) 진짜 어린이 주먹만하게 나왔어요. 여기보다 훨씬맛있고 저렴한 인도커리집 많으니까 여기말고 다른데 가시라고 리뷰 씁니다.
프레디머큐리,13,16,4.8,2022.04.20.,4.0,
토스,21,64,3.2,2022.03.25.,1.0,
s1r2,16,33,3.8,2022.01.17.,1.0,밑에 리뷰들이 틀린 말이 없는걸요. 메뉴 나오는 것도 한~참 메뉴는 죄다 잘못 나왔는데 미안하다는 말 하나 없이 손 안 댔냐고만 물어보고는 가져가더라구요? 다른 테이블로 갔겠죠?ㅎ 또 한~참 기다려서 나온 커리 배고파서 먼저 먹으니 다 먹으니까 탄두리 치킨 나오네요. 그렇다고 맛이 특출나지도 않고 더 맛있는 곳도 많은데 굳이? 다시는 안가죠ㅎㅎㅎ
냠냠이,6,7,3.1,2022.01.01.,4.0,음식 맛은 맛있는데… 제발 알바생 한몀 더 쓰세요 혼자서 계속 뛰어다니는데 사람이 많으니 서비스 늦고.. 거의 앉은지 15분 후에야 주문 가능 ㅠㅠ 그리고 주차 발렛 된다고 해놓고 주변에 주차할 곳은 유료 주차장 아니면 멀리 떨어진 공영주차장 뿐입니다 이것도 수정해주세요
송민석,3,2,4.5,2021.12.24.,4.0,여기 괜찮던데 8월에 집중 별한개 ㅋㅋ경쟁사인가.. 솔직하게 평가 합시다!!커리 좋아하는 내가 볼땐별 4점이고 누가 맛없다고 써놓은거 설직히 이 주변에서 여기보다 나은곳 알려주실래여?아주고굽아니지만 가격대비 생각하면 이보다 나은곳 주변에 없는거같은데..
