user_name,user_rank,num_response,user_star,time,rating,content
뚱때지하프물범,20,35,3.6,2024.02.02.,1.0,너무 비싸고 양도 적고… 맛도 그닥…
효미💙,2,88,3.3,2023.09.01.,3.0,
정효원,7,3,5.0,2023.07.24.,5.0,
화이트컨슈머,25,59,3.9,2023.03.09.,1.0,인터넷에 나와있는 가격이 2인분 양 기준일거라 생각했는데 1인당 가격 실화냐? 맛은 그저 평범 .. 이것이 배짱장사 ?
상맹,5,9,3.1,2023.03.05.,2.0,비싼 무난한 닭갈비를 먹고싶다면 이곳으로!!
박태양,12,16,3.4,2023.02.25.,2.0,"가격 : 너무비쌈(1인분 가격이 치킨한마리 가격)서비스 : 물셀프, 볶음밥 셀프  - 셀프일수도 있다. 그러나 이가격 받으면서 셀프는 아닌거같다. 볶음밥은 밥만 내려주고 그냥 간다.맛 : 고기빼고 다맛있다..! 양배추, 고구마, 당면 다 간잴배겨서 맛있는데 고기는 무맛이라해야하나 맛없는게 아니라 간이 하나도 안배겼다.그리고 볶음밥이 맛없는 신기한집.. 이상하다..총평토요일 저녁 웨이팅이 제일적어서 방문했으나, 솔직히 재방문 의사는 없다.개인적인 의견입니다."
Evelyn (홍매),3,26,4.2,2023.01.08.,5.0,
이 도빈,2,1,5.0,2022.11.15.,5.0,재료가 엄청 다양해서 골라먹는 재미가 있음
단무지,28,73,3.4,2022.10.14.,5.0,이탈리안 맛도나고 ㅋㅋ 매콤하면서도 맛있었어요!
매직윈터,34,310,3.4,2022.10.14.,5.0,퓨전찜닭 느낌이에요. 피자맛도 나면서 별미에요.
슬기로운평점생활,35,782,3.6,2022.03.22.,2.0,찜닭이아니야이건
뚜벅이,21,"1,026",4.3,2021.05.26.,4.0,
정유경,4,2,3.0,2019.12.20.,1.0,들어가자마자 직원의 무신경함과 내버려진 손님. 우리끼리 자리를 의논하고 있었는데 직원이 오늘 영업안한다며 손사래를 치더군요. 지금 내 눈앞에 보이는 손님만 20명인데 말이죠... 주방직원이 한명인데 지금 손님이 너무 많아 더는 못받는다고 말하더라구요^-^ 그 때 시간이 10시였냐구요? 아니요~~ 7시였어요 아침 말고 저녁이요! 금요일 저녁시간대에 직원이 한명이라며 손님을 받지않던 직원의 무례함과 태도에 너무 화가났습니다.
독수리,11,9,2.8,2019.06.08.,1.0,비추. 정말 비추입니다. 그냥 치킨집가세요. 가시면 후회합니다
SY,6,7,4.1,2018.12.23.,5.0,고구마찜닭 맛있어용~~~~
ws,6,12,4.8,2018.01.22.,5.0,저번에 맛있게 먹었고 오늘 재방문 예정입니다
