user_name,user_rank,num_response,user_star,time,rating,content
방참우,31,73,4.0,2024.04.02.,4.0,방어회 맛있네요. 셀프 코너에 있는 소고기뭇국도 최고입니다!
지원,7,5,5.0,2024.01.20.,5.0,"이른시간 방문해서 운 좋게 바로 앉았는데, 맛집이라 그런지 나올때 보니 만석이더라구요. 방어가 두툼하니 진짜 맛있는 집이고, 그외 육사시미, 회덮밥, 해물라면 모두 맛있어요!!👏 이것저것 서비스로 챙겨주신것도 그렇고 여러모로 기분좋게 먹고왔어요"
카우,46,326,3.8,2023.08.17.,3.0,낫밷 낫굿 육회 겁나 달아요
호불호,45,248,4.1,2023.07.07.,3.0,와 맛있다는 아니고 그냥그럼
💝,5,4,5.0,2023.06.10.,5.0,육사시미 연어회 한우물회
이가빈,25,46,4.2,2023.06.08.,3.0,육회 연어 있는 모둠 이랑 해물라면 먹었어요.해산물이랑 육회 다 신선하고 맛있네요해물라면은 진짜 조개가 산더미로 나와요 :)
호주청정우,29,199,3.7,2023.05.17.,4.0,무난함
박종민,6,10,2.6,2023.05.09.,5.0,주차빼곤 다 겐찬음
류 내리,10,10,4.6,2023.03.08.,5.0,모듬 해산물 먹었는데 가성비 대비 구성도 너무 좋고 하나하나 다 싱싱하고 맛있었어요! 양도 엄청 많아서 둘이 다 못 먹고 조금 남겼어요T^T 합정 해산물 맛집 인정+_+
요로롱,15,31,4.1,2022.10.09.,2.0,맛은느끼거 싶을때 갈만은 할거 같은데 그냥저냥 다시 가진 않을맛이요
임가빈,2,1,1.0,2022.08.24.,1.0,
송창현,2,1,1.0,2021.05.06.,1.0,양과 퀄리티가 떨어질거라고 예상은 했지만 좀..안가고 싶어요
지영2,22,95,4.3,2021.04.28.,3.0,나쁘지 않아요싼가격에 술 한잔 하기 좋은곳~
안병훈,5,8,4.5,2020.10.01.,5.0,별 다섯개
김지연,16,775,4.3,2020.02.23.,3.0,
냠냠이,33,329,3.4,2020.01.09.,3.0,예상가능한 양과 퀄리티
홍대에서건대까지,24,79,4.0,2019.07.24.,3.0,테이블에 젓가락 톡톡 하려는데 구멍나있어서 자꾸 빠지는게 기억나네요안주류가 다 그렇듯 비싸지만 맛은 좋은편
winner peach,19,38,3.6,2019.01.30.,2.0,가격대비 양이 창렬하네요 ㅋㅋㅋ
라이브,18,42,2.2,2018.10.14.,3.0,맛나는데 양이 아쉬워요~
Choi Dong Sik,45,350,4.0,2018.03.02.,4.0,
배고파요,33,119,3.0,2018.02.02.,3.0,배가 부르고 육회랑 연어를 둘다 먹고싶을때 가면 되는 곳
김민영.Karly,32,147,4.0,2016.04.03.,4.0,맛있쪄맛있쪄 내사랑 육회+육사시미♡ 그리고 쏘주♡
