user_name,user_rank,num_response,user_star,time,rating,content
str,4,12,4.8,2024.02.06.,5.0,맛있어요~~
흐어어엉,24,54,4.2,2024.02.04.,3.0,"내부가 지저분함, 맛은 그럭저럭.반지하 식당이라서 환기가 잘 안됩니다사이드로 나오는 떡볶이가 맛있네요"
맛뚱,11,6,3.0,2024.01.30.,5.0,"거의 5년만에 갔나봐요.몇달만에도 휙휙 바뀌는 유행에 어느새 없어져버린 가게들.유행이 피로하고 추억은 허전했죠. 오랜만에 갔는데도 그 모습 그대로 , 푸짐함도 그대로.맛도 똑같더군요. 그대로인 가격이 미안할 정도로요. 내 청춘이 떠오르는 맛.웨이팅 때문에 포기하곤 했는데 이제는 기다리지 않아도 되서 좋긴했어요. 오래오래 곁에 있기 바랍니다. 앞으로 자주 찾으려구요.(화장실 냄새만 좀 어떻게 해주시면 완벽할듯ㅜ 건물이 오래된 탓이겠죠?)"
.,7,10,3.7,2023.11.12.,5.0,터키풍 익숙한 맛인데 따라하기 힘든 그런 맛이에요그거 하나 먹으러 갑니다
986,22,82,3.9,2023.10.29.,4.0,대학교 앞에 있는 가성비 맛집 느낌 인테리어며 메뉴며 묘하게 그런 느낌 남 (가격 싼 건 아니니 그냥 느낌만)학식 먹긴 그런 날에 근처 가성비 맛집으로 무난하게 선택하기 좋은 맛집 롤이랄까 맛은 그저그래서 왜 유명한지 사실 이핸 안갔음
ABC Cage,29,116,5.0,2023.10.22.,5.0,사람이 넘 많아서 이제는 먹기 힘든곳~~
월이,12,17,4.4,2023.08.23.,4.0,가성비 너무 좋은 곳세 번 방문했는데 항상 함박스테이크정식은 먹었어요
이나,32,105,3.5,2023.08.20.,1.0,.....이게 뭔... 너무 맛없어요. 투움바파스타는 크림 느낌이 거의 없고 신라면파스타 한거마냥 푹퍼져있는데다가 함박스테이크는 냉동비린내가 납니다. 진짜 너무 실망했어요
🌸안우뇽🌸,13,17,3.5,2023.08.19.,3.0,짜여
놤놤,22,48,3.7,2023.08.06.,5.0,가성비 굿 5번째 재방문 중입니다.떡볶이는 반찬개념인데 맛있고요. 볶음밥은 고슬고슬한 중국집 볶음밥 식감입니다. 미쳤어용 맛잇어!!!!
강강 송강강,22,63,4.2,2023.07.21.,5.0,터키함박이 의외로 맛있음 기본 함박보다 더 맛있음같이 주는 빵이 진짜 맛있음 부드럽고 촉촉함 빵에 국물 찍어먹는거 ㅊㅊ
아스파,15,46,4.1,2023.06.18.,5.0,이 가격에 이정도 맛이라니그래서 갈때마다 웨이팅이 미침
p,3,10,4.6,2023.06.07.,4.0,
카페,12,67,4.9,2023.06.06.,5.0,
라모맘,12,70,3.5,2023.04.11.,3.0,머쉬룸 투움바 파스타
ㅇㅇ,8,20,4.5,2023.03.26.,4.0,맛있음여러 음식을 시키면 뭔가 맛이 다 비슷하게 느껴짐
뿡뿡,6,10,3.1,2023.03.21.,5.0,맛있어요 ㅎ
윤냠,22,68,3.6,2023.03.14.,3.0,무난한 맛이에요 한번 다녀오긴 괜찮은 곳
ri,27,69,3.6,2023.02.06.,3.0,그냥 평범해요
drgz,46,346,4.1,2023.01.26.,3.0,
맛도리 여행자,13,18,3.8,2023.01.25.,2.0,"짜,,함박스테이크 짜요,,,왜 유명한거지 쩝"
.,1,2,3.0,2023.01.08.,5.0,
miiii,24,116,3.6,2022.12.29.,4.0,특별한 맛은 아니지만 메뉴들 다 맛있었어요!
콩콩,26,71,4.8,2022.12.16.,5.0,함박스테이크 진짜 맛있네요파스타는 그냥저냥다음에는 함박을 2개 시키는 걸로
진,15,57,3.8,2022.10.11.,5.0,
늉냥냥,8,447,3.8,2022.09.30.,4.0,
