user_name,user_rank,num_response,user_star,time,rating,content
Jyj,3,2,4.0,2024.02.06.,4.0,
.,15,95,4.1,2024.01.31.,3.0,무난
맛집매니아,43,457,2.9,2023.10.22.,4.0,
ann,10,8,3.5,2023.10.15.,1.0,초밥 진짜 좋아하고 은행골은 더 좋아하는데여긴 진짜 무슨 주먹밥이 나옴^^…밥이 너무 질고 많아서 배는 부른데 이럴거면 삼각김밥을 먹지 싶음
멍멍,21,158,3.6,2023.09.17.,3.0,
kyunN,16,24,2.8,2023.08.14.,1.0,"은행골 많이 먹어봤지만 이건 뭐죠??은행골 특유의 밥 조금의 흩어지는 식감도 없이 마트  푸드코트 퀄리티도 안되네요심지어 도로 초밥이 유명한거라 제일 비싼 22,000짜리인데 회 크기 퀄리티 보고 경악 했네요 ㅋㅋㅋ 포장이라서 아무말도 못하고 이렇게 쓰지 가게에서 먹었음 바로 클레임 입니다.22,000원 퀄리티 이게 맞다 보십니까 ㅋㅋ"
강정묵,3,1,1.0,2023.07.27.,1.0,너무 분통해서 처음리뷰 씁니다.은행골 정말 많이 즐겨먹는데 별로다 못해 인생 최악의 초밥집 . 대부분 초밥에서 비린내가 강하고 특히나 장어에서 상한냄세가 강하게나서 말씀드리니 전자렌지 돌려서 다시가져다 주시는거보고 감탄했습니다.다시먹어보니 씹으면서 역한냄세가 강하게나요.돈 아까운걸 떠나서 너무 불쾌하네요 본사직영점이라니 꼭 개선하셨으면 합니다
바모스,51,344,4.1,2023.06.08.,4.0,부드럽고 촉촉한 은행골 초밥입니다다른 프랜차이즈 지점과 비교했을 때큰 차이 없이 고른 맛입니다
제 점수는요,10,8,4.5,2023.06.04.,5.0,맛있습니다 상수 맛집 !!
진거이,14,26,4.6,2023.05.26.,4.0,아주 존맛은 아니지만 전혀 별로지도 않음평타 이상은 확실해여
이동연,7,1,5.0,2023.05.07.,5.0,가성비 좋게 초밥 먹기 좋아요
ㅇㅋ,19,31,4.5,2023.03.03.,4.0,밥이 좀 잘 떨어져요 참치는 맛있었음
"Jae Hyun, Park",5,5,3.4,2022.12.24.,1.0,젓가락으로 살살 초밥을 잡았는데도 불구하고밥이 무슨 힘마리가 없이 회랑 떨어짐한번 씹을 때마다 비린 맛이 진동해가지고서브로 나온 오뎅국물을 필수임 진짜안그럼 못먹음 먹을 수가 없음역시 찐또배기 맛집들이 닫혀서한숨쉬는 마음으로 갔던 곳인데한숨쉬고 홍대 은행골에서 나와버렸네2만2천원인가? 그돈내고 비린맛 먹을빠에롯데마트 스시 사먹겠닼ㅋㅋㅋㅋㅋ어우지져스
밥먹자,24,72,3.4,2022.10.27.,1.0,반찬 재사용..
심심,34,133,4.2,2022.06.21.,3.0,밥이 따뜻하고 왕 많아서 연어초밥이 아니라 연어덮밥 먹은 느낌
둥둥,50,343,4.3,2022.05.30.,5.0,은행골은 어디든 맛있어용용
🔆,13,30,3.7,2022.05.22.,4.0,맛있다밥이 조금 짜다제로페이 된다고 써져있는데 안됌
쩝쩝박사,10,8,3.9,2022.05.19.,2.0,맛은 있는데 천장 에어컨에 먼지 낀거보고 입맛 떨어졌어요 ㅜ 식당인데 에어컨 청소좀 해주세요 먼지랑 먹는거같아요
sᴜsʜɪ,16,19,4.1,2022.05.08.,5.0,밥이 살짝 질다. 허나 생선은 굉장히 쫄깃하고 신선
구름,17,36,4.3,2022.03.23.,5.0,은행골 첨 가봤는데 너무 맛있었어요 밥알도 부드럽고 우동도 맛있었어요
3점평범4점맛있5점최고,52,428,3.8,2022.02.03.,3.0,온초밥.. 맛있는데 신선한지 잘 모르겠어요
카페에진심인사람,15,31,4.1,2022.01.26.,3.0,"밤에 가서 그런지 전체적인 싱싱함은 좀 떨어졌어요,, 특미랑 특선,계란2ps 시켰는데 장어랑 아카미는 진짜x2맛있는데 연어랑 새우가 신선도가 좀 떨어졌고 나머진 그냥저냥,, 우동 뚝배기에 서비스로 나오는 건 평타. 그냥 평범한,,맛입니다!"
미식가될테야,22,260,3.9,2022.01.01.,4.0,
Min,3,2,3.0,2021.10.21.,5.0,난 너무 맛있는데 왜 평이 이렇지.. 은행골 타지점도 방문했는데 여기 맛있어용
맛캣,45,446,3.3,2021.10.04.,2.0,결론: 재방문은 어려운 곳
k,5,5,2.2,2021.07.27.,2.0,초밥이 전체적으로 달고 가게 내부에서 이상한 냄새가 남
Jen,20,48,4.3,2021.06.06.,4.0,평타이상은 하는집
HH,11,17,3.2,2021.05.07.,5.0,"개인적으로 자주 오는 곳인데, 난 맛있었음... 회 엄청 좋아하는데 연어 먹으러 자주옴,,, 왜 별로라는거지...?"
illiioll,13,137,3.0,2021.03.25.,3.0,
js,7,11,4.5,2021.03.22.,5.0,퀄 좋고 맛있음
맛집탐방고고,29,96,3.2,2021.02.20.,5.0,특미초밥 대박 맛있음
