user_name,user_rank,num_response,user_star,time,rating,content
스티치,54,860,4.2,2024.04.14.,5.0,핸드드립과 디저트 각각도 훌륭한데조화롭게 페어링 돼서 시너지가 나네요
난마이다,22,54,4.2,2024.04.10.,3.0,
얼죽아바라,25,53,3.8,2024.04.08.,5.0,6년 전 방문. 더워죽겠는데 친구가 이거 꼭 먹어야된다고해서 웨이팅까지하면서 먹었는데 그럴 가치가 있었음
즐풍당,33,206,2.2,2024.04.02.,4.0,바빠도 향이 깨지지 않음브루잉능력자 有
라니냐,11,14,4.7,2024.03.27.,5.0,내 인생 최고의 카페
...,23,71,3.6,2024.03.23.,3.0,첫방문 물어보고 설명도 잘해주고 커피 추천도 같이 해줬어요!!디저트 엄청 기대했는데 조화롭지 못한 맛도 있어서 기대한 것보다는 실망했고.. 커피는 산미도 있고 설명한대로 향도 있지만 약간 물이 너무 많은 맛..? 정도였어요..그래도 분위기 좋고 친철해서 한 번 쯤 가보는 걸 추천합니다!
연희,4,3,5.0,2024.03.23.,5.0,상상했던것만큼 맛있었어요 너무들 친절도 하세요
ㅇ,29,108,2.6,2024.03.04.,5.0,커피랑 디저트 다 맛있는 집이 생각보다 없어서 비싼 금액이지만 또 오게 돼요
홍대성수이태원,24,40,4.5,2024.02.10.,5.0,진짜 최고임...... 짱 최고임.......... 직원분이 처음왔냐 여쭤보시고 너무너무 다 친절하게 알려주시고....... 공간도 넓고 자리들 간격도 널찍해 너무너무 좋고 편안한 공간....... 짱
어맛,4,2,5.0,2024.01.20.,5.0,디저트+커피 페어링이 정말 좋아요. 각각 먹어도 맛있는데 같이 먹었을 때의 시너지를 따라갈 수가 없네요. 바리스타님들도 친절하셔서 기분좋게 즐길 수 있어요.
ArmyH,4,9,2.3,2024.01.05.,5.0,커피에 대한 진정성이 느껴집니다. 디저트가 맛있어요.
효,4,279,3.7,2023.12.20.,5.0,
hjkl,31,170,4.0,2023.12.20.,5.0,"웨이팅 끝에 바에 앉았고, 선택한 디저트에 어울리는 커피를 내려 주셨는데, 그럭저럭 조화로웠습니다. 맛도 있었지만, 바리스타분들의 친절한 메뉴 소개와 소소한 대화가 좋았습니다."
ㅎㅎㅎ,4,3,3.7,2023.12.19.,5.0,좋아요 그저 커피보다는 디저트 페어가 많이 좋아요
아이스크림,3,4,2.8,2023.12.09.,2.0,홍대 디저트 맛집이래서 기대하고 갔는데 디저트는 평범하고 커피는 너무 닝닝했어요. 2시간 기다려 먹을맛은 아닌듯하네요..
애플민트,34,303,4.7,2023.12.03.,5.0,커피와 디저트를 페어링 해 주는 까페
mn,17,33,3.0,2023.11.04.,2.0,젊은 열정과 정성이 느껴지는 곳 ... 디저트에 대해 친절하고 세세히 설명하는데 음 ~ 아는 얘기 듣는 거 성가셔 하는 내 성격에 대해 반성하는 시간으로 활용 ㅜㅠ (한번쯤 물어보고 설명을 하던가 좀 짧게 전달하면 덜 부담스러울 듯) 페어링은 디저트 고르면 추천 커피 묶어 판매 하는데 다르게 주문하기 미안하게 만듬 신맛끼리 다크한 맛끼리 페어링 하는 거 저는 반대입니다 미안해요 그런데 결정적으로 몽블랑은 사실 어려운 디저트인데 가격이 센만큼(9000) 기대했건만 이걸 우스블랑의 푸근한 콸러티 몽블랑 보다 비싸게 사먹기에는 속이 쓰립니다. 커피도 8000원 가격대비 향이 거의 날아간 듯한 맛 많~이 아쉽습니다 애초에 핸드드립을 빈자리 없는 가게에 이렇게 빨리 서빙하는 것 자체가 콸러티 보장하기 쉽지 않아요 가성비 중요하다면 일단 비추 ... 커피/디저트 입문자들을 위한 좀 미성숙한 관광지 느낌 ... 괜찮는 리뷰 점수와 테이블 점유율에 안주하지 않고 경험과 함께 부디 쑥쑥 성장해주기를
