user_name,user_rank,num_response,user_star,time,rating,content
MSY,2,13,4.4,2024.02.29.,4.0,
민민자,1,2,5.0,2024.02.13.,5.0,스테이크가 일품임
진아,25,58,4.6,2024.02.05.,4.0,안창살이 제일 맛있었고 닭은 너무짰음 ㅜ스테이크류가 ㄱㅊ다들 전체적으로 친절하신데사람 많고 테이블간격 좁아서 정신없음그래도 고기 잘라주고 집게로 받아먹는거..?그런게 재밌기도 하고 한 번 쯤 오기 좋은 곳인듯
정은정,2,12,4.9,2024.01.23.,5.0,
번쩍,5,11,3.4,2023.12.05.,4.0,솔직한 리뷰채끝스테이크랑 안창살 맛있네여나머진 그냥그래염친절하고 좋음ㅋㅋ
코코코,5,119,3.4,2023.11.10.,4.0,
효요요요,3,8,4.4,2023.11.04.,4.0,
-,31,93,3.7,2023.09.23.,5.0,고기진짜 부드럽고 맛있음☺️
"hi, 윤 찾아죠!!",7,4,4.5,2023.09.01.,4.0,맛도 분위기도 그럴싸함. 고기 익힘정도가 아쉬움. 가성비 좋음.
최고//,5,3,4.0,2023.08.10.,5.0,맛도 좋고 분위기도 꽤나 그럴싸했습니다.담엔 무제한으로 먹을것!!!
그래 나도,19,44,2.5,2023.08.08.,5.0,
jupiter,19,24,4.1,2023.06.03.,5.0,그땐 신촌이 갔을때 내부에서 식탁이 좁은 공간이 불편하고 홍대에서는 훨씬 넓고 편하고 좋으니까 슈하스코 젤 부드럽고 간 잘 되어있고 너무 맛있습니다.특히 다양한 음식을 나오느라 이것저것 천국같은 맛이 최고였는데 장난 아니더라도 고급스럽게 브라질 온 것 같지만 젤 행복해보임ㅋㅋㅋㅋ
ㅇㅅㅇ,5,13,4.4,2023.05.15.,5.0,완전 맛있어요 가격대는 좀 비싸지만 ㅎ
ㅇㅇ,13,22,3.7,2023.05.03.,4.0,"친숙한 듯 이질적인 파스타가 먹고 싶거나, 같은 층에서 덕질하다 배가 고파졌거나, 깔끔한 가게에서 식사를 하고 싶다면 추천합니다."
아티,11,18,2.7,2023.05.03.,5.0,
류재수,2,1,5.0,2023.04.25.,5.0,남미 음식점 좋네요
Hyein,3,3,5.0,2023.04.13.,5.0,
리니,9,21,3.6,2023.03.13.,4.0,
ㄸㅈㅇ,2,2,5.0,2023.02.08.,5.0,지인의 소개로 가게 되었는데 홍대랑 신촌 둘다 방문했어요 다 너무 맛있어요 또 가고 싶네요 jmt
