user_name,user_rank,num_response,user_star,time,rating,content
별명없습니다,2,1,1.0,2024.02.18.,1.0,저는 개인적으로 매우 별로였습니다.  점원 숫자가 부족한 것으로 보였고 한 분이 여러 테이블을 담당해야 하다보니 매우 약한불에 오래 고기를 구워 주더군요. 불 세기 체크도 안해주고 다른테이블 들를때 한번씩 뒤집고 가는 정도로 봐줍니다. 덕분에 갈비가 거의 10분 넘게 불 위에 올라와 있었고 고무줄 씹는 수준으로 구워졌습니다.  재방문의사 없고 다른 체인점이 더 나은 것 같네요.
콩,12,9,4.7,2024.01.23.,5.0,운 좋게 웨이팅 없이 들어갔는데 웨이팅 했어도 만족했을 거 같아요 다 구워주셔서 편해요
김예진,2,1,5.0,2023.12.20.,5.0,고기 맛잇엇습니당ㅠㅠ위가 줄어들어서 많이 못먹은게 아쉬울뿐입니당ㅜㅜㅠ
반띵,20,31,3.5,2023.11.20.,4.0,냄새 안나고 육즙이 줄줄 흐르는 양고기 ㅠ 너무 맛있지만 가격이 사악했던.. 잘 먹고 갑니다앙 둘이서 10만원 쯤 나왔어요 고기 3인분 +국수+ 밥 먹었습니당일요일 오후 8시? 쯤 갔는데 웨이팅 없이 들어갔습니다 ㅎㅎ주차 안되는게 아쉽네요 ㅠ
언제나청춘,41,564,4.7,2023.10.08.,5.0,양고기 냄새 안나고 야들야들하고 맛있습니다.
STAFF ONLY,32,326,3.4,2023.09.17.,4.0,
고형진,7,13,4.3,2023.08.07.,5.0,양고기 냄새 안나고 야들야들 부드럽고 맛있어요.직원들도 친절하시고.추천합니다.
모든것,6,17,4.5,2023.06.08.,5.0,
오하나,31,69,4.9,2023.06.05.,5.0,스탭분들도 친절하시고 무엇보다 너무x100 맛있어요 🥹
서교,21,49,3.9,2023.05.28.,5.0,잘구운 양고기+최고의 생맥주=또간다!
.,9,17,1.9,2023.04.20.,1.0,몇년을 장사했는데 여전히 체계가 엉망임. 맛있게 먹으면 왠만하면 기분 잡칠 일 없는데 여긴 잡침.
블블,68,949,4.1,2023.04.18.,4.0,구워주셔서 넘 편하구 살치살-등심 순으로 먹는거 너무 마시씀ㅋㅋㅋㅋ 직원분들 왜케 다 친절하세여? 편안하게 먹고 왔습니당
NAMU,5,1,5.0,2023.04.15.,5.0,"본찬도 아주 맛있었고, 구워주시는 야채와 고기들 모두 맛있었습니다. 토요일 5시쯤 방문했는데, 운이 좋았는지 웨이팅 없이 들어갔구요. 싼 가격은 아니지만 서비스와 맛을 생각했을 때, 언젠가 꼭 다시 방문하고 싶은 가게였습니다."
52907,38,513,3.2,2023.04.11.,3.0,맛은 평가 서비스 별로
전순대,60,450,4.5,2023.03.26.,5.0,갈때마다 만족스러운 식사ㅋ 자리가 좀 좁지만 1시간 30분 정도 즐기고 오기에 딱 좋당ㅋㅋ 언제가도 맛있음
Harry,3,10,4.6,2022.12.30.,5.0,
sy,11,26,3.5,2022.12.18.,5.0,맛있다...!
🌝,21,53,3.4,2022.12.14.,5.0,맛있었던 기억양고기 시세를 잘모르지만 가격은 좀 비싼것같기도..?웨이팅만 없으면 재방문하고싶긴함
리코,33,157,3.8,2022.11.23.,4.0,서울페이 이제 안되는..양고기 생각나면 진짜 자주왔던 곳 맛있음
@.@,13,24,2.8,2022.10.23.,5.0,내 첫 양고기구이집… 처음 느꼈던 그 맛이 잊혀지지가 않음. 다른 비슷한 양구이집들 많이 생겨서 가봤지만 원조가 제일이라고 여기가 나음 다만 양은 적어서 적당히 먹는 남자 둘이 3인분 먹었음
David OH,3,1,1.0,2022.09.23.,1.0,웨이팅2시간.. 근데 이거 말이되나요. 식사시간 2시간제한인데 2시간 기다린건 모든팀이 2시간 전에 온건가.. 그냥 7시 이후로는 딴집가는게 나은듯
김찬엽,1,1,5.0,2022.09.17.,5.0,
우암철,9,15,3.7,2022.09.15.,4.0,맛은잇는데 양이적음
냠념뇸,24,50,4.1,2022.08.24.,5.0,너무너무 맛있다!! 자리가 좁은것 빼고는 매우 만족
파나타,21,41,4.0,2022.08.18.,5.0,돈이 하나도 안 아까운 곳사장님 친절하시고 세심하시고 매장에 진심인 거 정말 눈에 선하게 보여요 이런 업장은 잘 될 수 밖에 없겠다 싶은 느낌직원 분들도 능숙하게 잘 하시고 아무튼 정말 잘먹고 나왔습니다여름이고 불이랑 가까워서 더웠던 점 빼고는 최고의 양고기집
김지유니,31,182,4.0,2022.08.09.,5.0,존맛이다!!!!!!
서정호,15,99,4.5,2022.06.25.,5.0,
매달식대로200,33,199,3.6,2022.06.17.,5.0,비싸요 그치만 가격만큼 만족도가 큽니다한달에 한번씩 가요~인당 최소 10은 잡고 가야됩니다.
고독한 탐식가,100,"5,449",3.1,2022.05.22.,5.0,또 하나의 버킷리스트 달성 !!! 마나님 탄신일 기념 만찬은 오랫동안 고대하던 '이치류'에서 양고기 징기스칸으로 ~ 역시 맛과 퀄리티도 명불허전이었고 업력과 명성이 꽤 되었지만 아직도 초심을 잃지 않은 서비스와 물 흐르듯 원활한 운영 체계에도 큰 박수를 보낸다 ^^
나,21,38,3.9,2022.05.07.,5.0,"두명이서만 먹을 수 있는 자리가 많고, 직원들이 구워줘오. 연기가 많이 나지만 그 맛에 양갈비 먹는거니 그것마저 좋았습니다. 칭따오가 작은에 맴찢.또 갈거예요!"
