user_name,user_rank,num_response,user_star,time,rating,content
박대규,2,1,5.0,2023.09.24.,5.0,데이트코스 친목모임 육회 새우 살치살 무조건 가보세욤😁😁😁
아리스토탤래뱅킹,30,117,4.4,2023.07.08.,5.0,"분위기도 좋고, 직원분들도 친절하고~고기도 맛있었습니다"
박진희,2,3,3.7,2024.03.13.,3.0,
피자,31,126,3.4,2023.11.01.,5.0,잘먹게씁니다 등심 폼 미쳐따이!인스타에서 포니 보고 나중에 가보려구요
언제나청춘,41,564,4.7,2023.10.08.,5.0,홍대에서 고기를 구워주는 소고기 맛집
이가연,2,1,5.0,2023.08.15.,5.0,고기도 모두 구워주시고 맛있게 먹었습니다다음에 또 방문하고 싶어요 🩶🍀
김철우입니다,3,26,4.6,2023.08.03.,5.0,
오리,27,61,3.8,2023.07.14.,4.0,"가격에 비해 g수가 부족함… 비싸다는거져…그리고 남자직원이 고기 구워주긴 하는데 미디움으로 돼서 아쉬움. 미디움 레어 라고 하셨지만.. 먹으면 미디움 식감..추천세트+제비추리+하우스와인2잔 주문 했는데, 하우스와인2잔은 말하니까 나옴. 주문 잊어버린거지 ㅎㅎ……된장밥까지 다 먹으니까 1시간 딱 걸림 ㅋㅋㅋㅋ"
다복솔,12,30,4.6,2023.06.27.,4.0,
강창도,25,91,4.6,2022.10.10.,1.0,가격대비 양이 너무 심각하게 적습니다.. 이건아니에요
빵빵,5,13,4.1,2022.08.11.,5.0,
마싓숴,4,3,3.7,2022.03.11.,5.0,ㅇㄷㅌ님 덕분에 오늘 너무 즐겁고 맛있게 먹다 갑니다!!고기가 맛있는건 당연한거고 고기 구워주시는 ㅇㄷㅌ님 께서너무 친절하게 설명해주시고 정말 맛있게 구워주셨습니다 직원분 월급 2배로 받으셔야할듯왜냐면 제가 재방문하면 음식이 맛있어서가 아니라 직원분 덕분이거든여!! 성함 쓰면 곤란해하실까봐 초성으로..ㅎㅎ 원래 고기 구워주는 집 가면 친구들끼리 대화하기에 어색하기도 하고 눈치가 보이기도하는데 진짜 너모너모 말모말모 담에 또 갈게요 건강하세요!!!
rkd,14,23,4.5,2022.02.19.,5.0,너무 맛있고 기분좋게 먹고 갑니다. 신경써주신 직원분들 감사합니다.
윤쌤,11,23,1.9,2022.01.11.,1.0,그냥 가격대비 별로
시절인연,28,95,3.6,2021.11.23.,4.0,고기 잘 구워주시고 고기맛도 괜춘해요 매장이 좁아서 씨끄러운 분위기임
ㅘ,5,7,4.7,2021.09.16.,4.0,맛은 있는데 사실 가격대가 조금 부담이 되긴해요ㅜㅜ자주 들리기는 힘들겠지만 기념일같은 날 방문하긴 좋을 것 같아요!
