user_name,user_rank,num_response,user_star,time,rating,content
콤부차,12,11,3.9,2024.03.31.,5.0,
정유담,4,2,5.0,2024.02.14.,5.0,후기중에 불친절하다구 되어있어서 걱정됐는데 사장님 너무너무너ㅜ너무너무너무어무 친절하셔요 ㅠㅠㅠ ♥ ♥ 가성비도 좋고 분위기도 너무 좋아요 ㅎㅎ 재방문 의사 100%입니당 ~~!!! >_<
별,5,4,3.3,2024.02.14.,2.0,"가성비가 그렇게 좋은 것 같지도 않고, 점원 응대도 불친절하게 다가왔습니다. 자리 잡을 때도 그 자리는 단체 인원 오면 비워줘야 한다며 딱딱하게 말씀하시고, 칵테일 시켜서 잔 비우고 앉아 있는데 계산은 빨리빨리 해주셔야 한다고 해서 당황했습니다. 보통 나갈 때 계산하는 게 맞지 않나요? 술 한 잔씩만 마시고 기분 상해서 그냥 나왔습니다. 당시에 손님이 만석인 것도 아니었고 빈 테이블 천지였는데 소비자가 왜 이런 대우를 받아야 하나요? 심지어 술 나오는 속도도 느리고 맛과 양에 비해 가격도 터무니없었어요."
김성운,2,42,3.7,2024.01.13.,3.0,
rksk1522,2,8,1.5,2024.01.01.,1.0,
미나리부추,28,114,4.2,2023.12.24.,4.0,
으아아,11,23,3.4,2023.10.20.,1.0,"일하는 분 알바생인지 응대 진짜 짜증났습니다. 주문 받을때부터 답답하게 하셨는데 딱봐도 처음 일해보신 분 같아서 그럴 수 있다고 생각했습니다. 20분 지나도 칵테일 안나오길래(더 늦게 오신분들꺼 다 나옴) 참다참다 물어봤더니 주문 들어가지도 않았으면서 곧 나온다고 말하더라구요. 그러고도 꽤나 기다렸습니다. 나온건 얼음만 가득하고 맛도 그닥.. 너무 별로라 그냥 시킨것만 빨리 마시고 2차 갈 생각이었습니다. 근데 메뉴가 잘못나와서 불렀는데 저희가 주문을 잘못했다는 식으로 말씀하셨어요. 영수증 보여드리니까 본인이 입력을 잘못하셨더라구요. 근데도 사과 한마디도 없길래 그냥 짜증나서 잘못 나온거 마시고 나가려고 했는데 다시 만들어준다 이런 말도 없이 그냥 ""기다리세요""이러고 아주 지맘대로입니다ㅋㅋㅋ 이런 응대 평생 처음받아봐요. 사과라도 제대로 했으면 이렇게 화안났을거 같네요. 이거 말고도 하나부터 열까지 별로인게 많았는데 그냥 여기까지만 쓸게요. 다시 생각해도 화딱지남.."
slh,7,19,5.0,2023.07.27.,5.0,
.,2,1,1.0,2023.05.06.,1.0,"대부분 18,000원 인데 가성비 너무 안 좋음주재료가 얼음이고 칵테일이 부재료 인 줄 알았어요안주도 가격에 비해 양 적음가격 아예 상관없이 분위기만 내도 상관없으면 추천하는데, 가격에 상응하는 맛과 양을 원하면 진짜 정말 비추천나는 다시는 안 갈 곳임"
혜린,7,19,5.0,2023.05.04.,5.0,너무 귀여워서 또가야겠어오!!
