user_name,user_rank,num_response,user_star,time,rating,content
붐붐붐붐,2,1,1.0,2024.04.01.,1.0,"신점봤는데 첫마디부터 성향, 성격,과거 다 정반대로 말씀하시고 여쭤보는건 대답을 못해주셔서 같은 말만 내내 들었어요"
빔,3,1,1.0,2024.02.03.,1.0,한자선생님 처럼 입으신 ㅅㅇ 라는 남성분에게 타로 봤는데 거의 성희롱 수준으로 상담과 관련없는 얘기하셔서 불쾌한 기억으로 남았던 경험이었습니다.. 추천받아 방문한건데 아쉽네요. 타로카페
이여운,16,23,5.0,2024.02.02.,5.0,재미난조각가 홍대 출장소의 도솔 선생님한테 사주 봤는데 엄청 잘 맞추신다고 느꼈습니다! 친구랑 둘이 갔는데 친구도 그렇게 느꼈다고 합니다. 예전에 다른 곳에서 한 번 봤었는데 거기보다 훨씬 자세하고 정확하게 설명해주셔서 정말 만족했습니다ㅎㅎ
유진,4,1,1.0,2023.11.20.,1.0,천궁선생님께 신점을 봤는데 저에 대한 사주를 맞추시는 것보단 ‘뭐는 어떻게 돼요?’ 하며 물어보시는 느낌이 강했네요..건강에 관한 사주를 볼때는 10년이 넘는 신경과 지병이 있는데 계속 비염이 있지않냐 나는 코가 보인다.. 하셔서 좀 많이 실망했어요신이 안 도와주신듯..ㅋㅋ
눈누난나나,7,8,3.0,2023.10.17.,2.0,사주보다 두루뭉술한 신점....금액이 크지 않아 2점
기고만장,15,32,4.3,2023.09.03.,5.0,현산쌤 짱이에용 여기 친구데리고 5번은 감
최진아,2,2,5.0,2023.08.02.,5.0,
곰이,18,42,4.2,2023.07.13.,5.0,후기들을 보고 서비스는 기대안했는데 바뀌신건지 여자 직원분 처음부터 끝까지 정말 친절하셨어요! (전 오전에 갔어요)+후기들 찾아보고 언급이 많았던 현산선생님께 받았는데 소름돋는 부분도 있었고 조언도 해주시고 암튼 기분좋은 상담받고 왔습니다ㅎㅎ
조채영,2,1,5.0,2023.06.30.,5.0,
양수빈,7,4,3.0,2023.05.17.,1.0,사주 봤는데 말씀을 뭐라고 하고 계신지 하나도 못알아듣겠어요..........문장 구조가 안맞아서...........그래서 지금 무슨 말씀을 하고 계신건지 1도 모르겠다고 여쭤보면 두루뭉술 하시더라구요.제 타고난 성격은 차치하고 지금 성향도 전혀 달랐어요.(내향적이고 집에 있으면 힐링되는데 나가서 에너지를 얻고 집을 답답해한다 등)듣다가 그냥 나가고 싶었는데 계속 말씀이 길어지셔서 피곤했어요
한예슬♥,2,1,3.0,2023.05.04.,3.0,
