user_name,user_rank,num_response,user_star,time,rating,content
izro,22,34,4.6,2024.04.12.,5.0,등심돈까스는 언제먹어도👍👍
가을바람,14,49,5.0,2024.03.14.,5.0,"너무나 맛있어,,"
맛없는거 먹으면 화냄,33,171,4.3,2024.03.10.,5.0,정돈 최공 항상 맛나요~~
솔찍후기,16,20,4.0,2024.03.08.,3.0,카츠가 매우 질겼어요...... 반찬에 신경 많이 쓰신 것 같아요. 반찬이 더 맛있었다는게 함정...😭
Selly,37,74,4.4,2024.03.07.,5.0,홍대점 분위기도 좋고 퀄리티도 본점과 동일해서 너무 맛있었어요 특히 안심은 정밀 예술이에요
SBS아카데미 김예빈,3,5,5.0,2024.03.05.,5.0,그냥 줜1나 맛있습니다 제가 돈까스 찾아먹는 스타일이 아닌데 지인 추천으로 배달시켜먹었다가 몇십년간 여기를 안먹는 지난 날들이 후회됩니다
진라면호호불어서계락탁,7,13,3.7,2024.03.03.,5.0,
김혜리가추구미,3,4,4.0,2024.03.02.,5.0,만오천원까지는 서울 한끼 식사로 부담없었는데 뭔가 16000원 되고나선 마음의 마지노선을 넘은 것 같은 느낌 하지만 여전히 맛있다 꼭 안심을 먹어야 함. 포슬한 밥과 장국이 잘 들어간다.
솔직한평가단,23,67,2.4,2024.02.24.,5.0,가격은 솔직히 비싼데 여기 맛없다고 하는사람들은 할말이없네 ㅋㅋ라면이나 드세요ㅋㅋ
벼랑위의당뇨,16,32,3.9,2024.02.12.,5.0,
peter,3,5,5.0,2024.02.08.,5.0,
딩딩,31,112,4.3,2024.01.25.,5.0,맛있음
김준환 Joon-Hwan Kim,2,1,5.0,2024.01.19.,5.0,안심돈까스
와옹,48,237,4.1,2024.01.15.,5.0,가격이 좀 있었지만 그래도 넘 맛있었어요 또 가고싶어요
