user_name,user_rank,num_response,user_star,time,rating,content
비비빅,11,55,3.6,2024.04.08.,5.0,날 좋을 때 시간 맞춰서 가면힐링 그자체
마지막 탄피,13,32,4.9,2024.02.13.,5.0,상수는 여기지예
Reviewer,11,19,4.6,2024.01.29.,5.0,상수동의 소울 ㅜ
입춘,27,70,4.6,2023.12.19.,5.0,좋아하는 밴드를 만났다!💖
able,51,460,3.5,2023.12.12.,4.0,친절은 0
채영광,9,19,4.7,2023.12.09.,5.0,
왕수빈,9,9,4.2,2023.09.27.,3.0,공연이… 복불복이에요
연쇄살인마,4,5,2.6,2023.09.11.,5.0,꼬레아노. 산미구엘 그리고 위스키 맛있고 다른 술집 보다 칵테일에 신경쓰시는 거 같아 좋았다 술쟁이라면 추천
카우,46,326,3.8,2023.09.03.,4.0,커피도 맛있고 카페가 특이해요 라이브 공연할 때 오고 싶어요
Jung chul(Yu hyeon),2,20,4.0,2023.08.30.,5.0,
문선모,24,46,4.1,2023.08.18.,5.0,
I am 진실이에요,22,619,3.7,2023.07.30.,5.0,
ROSSO,47,269,3.6,2023.07.26.,5.0,좋아하는 장소에요. 음식이나 음료가 좋다기보다는 인디밴드 공연이 우수하네요. 지하층이 낭만있지만 좌석이 편하진 않아요
뚜벅이,21,"1,026",4.3,2023.07.03.,5.0,
윤팔,21,23,4.7,2023.07.01.,5.0,"일단 산미구엘 생맥주를 팔아서 좋구요 벌꿀 크림치즈 크래커 안주로 먹기 너무 좋아요 집에서 따라 만들어봐도 왜인지 그맛이 안나는 ,, 날씨 좋은 날 테라스에 앉아서 책맥하기 딱인 곳이에요"
내일은축구왕,33,286,4.8,2023.06.12.,5.0,공간이 주는 분위기 좋은 카페
오이절임,12,24,4.9,2023.05.16.,5.0,공간이 주는 분위기가 좋다.
밥,13,15,3.9,2023.05.14.,5.0,또와야지 옛날감성
뿡뿡공주,6,8,3.3,2023.05.04.,5.0,라이브공연 밀크티 아담한 공간입니다공연이 없을때는 책 읽기도 괜찮을거같아요
이열칠석,11,104,3.7,2023.05.04.,5.0,
맛있구나,77,"1,446",3.7,2023.02.08.,4.0,"분위기가 특별한 곳. 저녁에 공연할 때도 멋질 것 같은데 낮에도 1층에서 들어오는 햇살과 지하의 무대가 꽤 힙하게 어울린다. 만화책, 책, 보드게임 등이 있으며 음료 맛은 평범하고 인테리어는 다소 먼지 많을 것 같은 느낌..이다."
수학자,7,48,4.0,2023.01.07.,5.0,
마리오,29,181,4.7,2022.12.12.,5.0,오늘도 흥부가 됩니다.
홍양,9,27,4.7,2022.10.14.,5.0,
양수경,2,3,4.0,2022.10.05.,5.0,
이은정,14,33,4.0,2022.08.31.,5.0,
미식한 고독가,27,372,3.3,2022.08.24.,4.0,음악 좋다
gilchi,39,516,4.5,2022.08.17.,4.0,
클로이,21,78,4.0,2022.08.15.,5.0,
🦹🏻,11,17,3.7,2022.07.03.,2.0,7/2일 15시경 방문오랜만에 방문했는데 타투 많으신 여자직원분 엄청 불친절함^^ 원두 종류 두가지 있길래 어떤게 산미가 덜하냐 물어봤더니 종이 읽어보라고 짜증내듯 말함ㅋ원래 굉장히 좋아하던 곳이였는데 ㅋ 다시 가고싶은 마음 사라졌고 맛도 밍밍하고 달라졌음그딴식으로 할꺼면 그만두세요 ㅋ자원봉사도 아니고 ㅋ ㅋ
김씰리,11,133,4.8,2022.06.24.,4.0,
솔직한사람,17,27,3.6,2022.06.18.,5.0,분위기조아여
milgaroo,15,2,5.0,2022.04.16.,5.0,♡♡♡
서대문구대표돼지,72,832,3.3,2022.03.28.,5.0,인테리어가 정말 예쁨 분위기있고 개성적이고 혼자 다한다음료나 술도 나쁘지 않은 편이런 공간은 또 없으니께 별 만점
leeesun,21,49,4.0,2022.03.17.,4.0,"낮에는 카페, 밤에는 칵테일 바라서 분위기 좋습니다. 이런 감성 좋아하시는 분들에겐 적당히 맛있는 술 즐기면서 데이트하기 좋아요"
프로평가조류,66,"1,130",4.8,2022.03.13.,5.0,오스틴을 여기서 만나다니 (글로 만났다는 얘기)
abdo,30,149,4.2,2022.03.10.,4.0,뱅쇼 3카프레제 3분위기 4
BT62,19,512,4.2,2022.02.20.,4.0,
austen,50,264,5.0,2022.02.19.,5.0,
음식에상당히신중한편,15,24,3.5,2022.01.25.,5.0,"분위기 넘나 좋아요 ~~~~~~ 달달한 술이 맛잇더라구요 ,,, 하하데이트 장소로 강츄 >_<최애 플레이스 될 것 같은 느낌"
양구르,4,3,5.0,2021.12.06.,5.0,분위기 너무 좋구 음악 좋구 술맛 좋다!!!목금토일 저녁시간에 공연을 해서 좋은 공연을 자주 접한다! 무료관람(음료 시켜야함)이지만 각자 내고싶은만큼 도네이션 하는 시스템도 재밌다. 지나가다 옷을 갈아입는 제비다방을 찍었다
金珍雅,7,10,4.6,2021.11.02.,5.0,⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️   낮에 빛이 잘들어요  ⭐️⭐️ 음악과 술이 있는공간 ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️
은호,2,1,5.0,2021.11.02.,5.0,
슈슈슈슈슉,14,26,3.7,2021.10.27.,2.0,친구 추천으로 갔는데 코시국이라 라이브 뮤직 없어서 그런건가오전에 가서 그런건가 너무 휑하고 가구배치 등등 공간이 협소하고 청결문제인가요 테이블이 끈적했어요 ㅎㅎ 커피도 그냥저냥이였습니다
ㅇㅇ,29,91,3.8,2021.10.27.,3.0,재미 굿 음료는 모르겠다
hong,13,112,4.3,2021.09.27.,5.0,
바밥,4,7,4.0,2021.09.11.,5.0,커피맛집
오창훈,5,11,4.6,2021.09.08.,5.0,
옌니,21,35,4.8,2021.08.21.,5.0,분위기가 매력적임
라잇나우,27,130,3.9,2021.07.24.,4.0,분위기 끝판왕이에요! 데이트 장소 너무 굳!
고걍,3,59,4.5,2021.07.12.,4.0,
웅동인,5,6,5.0,2021.07.11.,5.0,노래도 너무 좋고 지하 공간도 예쁘고 분위기 최곱니다
음식블랙홀,6,10,4.9,2021.06.26.,5.0,아니 여기에 5점 말고 다른 점수를 줄 수가 있나요?
