user_name,user_rank,num_response,user_star,time,rating,content
소원,4,3,3.0,2024.04.21.,3.0,동네 밥집.  간단히 한끼 먹기 좋음. 재방문의사 없음. 가까우면 생각해볼듯
goodluck,17,40,2.7,2024.04.10.,1.0,너무 비싸다. 제육1인분 양이 코딱지 만큼주네. 다신안와 ㅡㅡ
마포구 쩝쩝박사,33,89,3.3,2024.03.21.,4.0,홍대생 명예 학식평일 점심 웨이팅있음1인 1메뉴하면 순두부찌개or 된찌 2500원
5점 잘 안 준다,64,206,3.9,2024.02.14.,5.0,넘 맛있었음.. 쌈채소 없는 게 참 아쉬움가져가야 되나
통통,3,4,3.0,2024.02.11.,5.0,점심식사 혼밥
ㅎ,15,153,4.0,2024.01.26.,5.0,굿
.,2,5,3.4,2023.11.30.,5.0,
쩝쩝박사,4,25,4.0,2023.11.28.,5.0,
홍맛게러,3,2,5.0,2023.11.27.,5.0,홍대생 추천 식당 1위
ㅇㅇㅇ,8,12,3.2,2023.10.03.,5.0,진짜 맛있었어요 👍👍👍👍👍
고양이,23,40,4.7,2023.08.24.,5.0,제육 2인분 + 된찌 먹었는데 둘 다 맛있고 양도 많았어요 요즘 물가가 비싸서 기본 만원이 넘는데 여긴 저렴해서 좋았어요쌈채소 싸서 먹고싶은 맛인데 없어서 아쉬웠지만 재방문 의사 있음!!!!
길냥이,25,65,3.5,2023.08.08.,5.0,여긴 제육이 불맛이 나서 맛있다냥
맛있으면 짖는 개,10,8,3.6,2023.07.29.,4.0,월월!! 으르렁 왈왈!
기록용,22,91,3.6,2023.07.11.,5.0,
박준희,2,6,1.7,2023.06.19.,5.0,
5자리뷰어,22,97,4.6,2023.06.05.,5.0,존맛탱제육
진거이,14,26,4.6,2023.05.26.,4.0,가성비 맛 굿
qwert,16,68,3.7,2023.05.14.,5.0,
조평래,2,27,5.0,2023.05.04.,5.0,
김여름,12,64,4.7,2023.05.03.,5.0,제육볶음
맛있는거조하 :ᴅ,31,74,4.6,2023.05.01.,5.0,홍대생인데 맨날 가요 사장님 건강하시고 가게 오래 해 주세요
k,2,2,4.0,2023.04.12.,5.0,
최,5,38,4.1,2023.03.11.,4.0,
최영범,6,16,4.0,2023.02.08.,5.0,JS! JS! JS!
ㅎㅅㅎ,17,87,4.4,2023.02.04.,5.0,이런 곳을 이제야 알아서 아쉽
고니,6,7,4.9,2022.12.24.,4.0,불맛 존맛탱👍
뉴빌리지,8,78,4.5,2022.11.22.,5.0,
d.,3,5,5.0,2022.10.18.,5.0,
.,6,5,1.8,2022.08.29.,5.0,자주 방문하고 있습니다.불향 가득 제육볶음 인생맛집이네요!
댕댕,24,30,5.0,2022.08.29.,5.0,불향👍🏻
유동호,3,2,3.0,2022.06.12.,5.0,맛있어요고민하지말고 가세여
yuni,4,5,4.2,2022.06.10.,5.0,맛나요근데 고기양이 조금 부족해요
io,30,269,3.8,2022.06.02.,5.0,
김수민,14,17,4.8,2022.05.31.,4.0,맛은 괜찮은데 영업중이라 해서 가보면 닫았을때가 종종있어요 ..ㅠ저는 세번 정도 ..
🍔,32,92,4.0,2022.05.16.,5.0,야물딱져
풀내음,31,227,4.0,2022.02.10.,5.0,
ㅇㅈ,3,2,5.0,2021.09.19.,5.0,쭈삼2인분이랑 순두부찌개 먹고 갔는데 쭈삼에 불향이 가득하게 스며들어 있었고 순두부찌개도 얼큰하니 정말 맛있었어요!! 술이랑 한잔 친구랑 하는데 계란후라이도 서비스로 주셔서 정말 기분좋게 한잔할 수 있었습니다. 코로나인데도 불구하고 서비스와 친절까지 정말 너무 좋은곳이었습니다 덕분에 잘 먹고 갔어요~~
9968,31,237,3.4,2021.07.13.,3.0,가성비 좋아요
이현준,4,4,4.0,2021.04.10.,5.0,
또가고싶은곳만리뷰하기,17,63,4.5,2020.12.31.,5.0,
정찰병,28,112,4.3,2020.11.22.,5.0,든든하다. 포만감이 오래간다.1인보다 2인이 갈시 선택할수 있는 메뉴 수가 많다
ㄷㄷㅁ,22,62,3.2,2020.08.04.,4.0,맛도 있고 가격도 좋은데 위생이 좀 의심되는곳
난나랄라라,25,185,4.0,2020.05.13.,5.0,가성비 짱
진실된평가,30,85,4.1,2020.01.25.,5.0,꼭 가볼생각에 5점 드렸습니다. 다녀와서 수정후기 남기겠습니다.
👍👍👍,3,3,5.0,2019.12.06.,5.0,완전 맛집!!!꼭 드셔보세요~~><
top,21,68,4.2,2019.09.17.,5.0,진짜 맛있는데 가격도 싸요 ㅎㅎ 짱
MS.FABULOUS,25,79,4.1,2019.06.07.,5.0,신논현에 없어져서 아쉬웠는데 ㅜㅜ 자주가야겟내용 순두부 제육 마싯슴 ㅜ
