user_name,user_rank,num_response,user_star,time,rating,content
연근,9,8,4.4,2024.04.23.,5.0,피자도 도톰하고 맛있어요!치즈랑 소스가 듬쀽 들어가있습니당👍🏻👍🏻
이혜빈,3,1,5.0,2024.04.23.,5.0,홍대역에서 접근성도 좋고 피자도 따뜻하고 맛있어요!!
고멩,2,1,5.0,2024.04.23.,5.0,시카고피자 처음 왔는데 비주얼 대박이고 사람도 많아요. 분위기 좋고 맥주마시기 딱 좋은 가게네요. 추천합니다
송예린,2,1,5.0,2024.04.23.,5.0,재료가 신선하고 맛있어요
이향나,2,1,5.0,2024.04.21.,5.0,분위기 좋고 메뉴가 다양해서 좋아요!
장용준,3,1,5.0,2024.04.21.,5.0,실속세트 4만9천원에 샐러드 파스타 시카고피자까지 가성비 최고 맛도최고👍
빡째,2,1,5.0,2024.04.21.,5.0,제임스피자 맛있다고해서 왔어요~
ㅇㅇ,2,1,5.0,2024.04.20.,5.0,완전 푸짐하고 맛있어요!!!! 샐러드도 존맛입니다 단골될듯🩷
M,5,3,5.0,2024.04.19.,5.0,"음식도 너무 맛있고, 직원분도 너무 친절 해요!!홍대 맛집! 피자와 샐러드 파스타를 즐기고 싶다면제임스시카고피자 홍대본점으로❤️"
유미르,2,1,5.0,2024.04.19.,5.0,올치즈피자!!! 무조건 드시길…. 엄청 담백하고 치즈맛 굿이네요… 오일파스타도 왕매콤해서 하나도 안 느끼합니다 ㄷ대박 담에 또 올 것 같습니다!!!!
양진우,2,1,5.0,2024.04.19.,5.0,치즈가 쫄깃하고 샐러드가 아삭해요. 다음에 또 오고 싶네요~
우리엄마밥이최고,8,5,4.2,2024.04.19.,5.0,냠냠 맛있어용♥️♥️
ㄱ,2,1,5.0,2024.04.18.,5.0,넘 맛있습니다!!
임창원,3,1,5.0,2024.04.17.,5.0,치즈가 엄청나고 도우가 바삭합니다.^^
ㄱ.황태건,3,1,5.0,2024.04.17.,5.0,맛이 미쳤어요치즈가 미쳤어요토핑이 미쳤어요나도 미쳤어요> 주차는 공용주차장이용
공태현,3,1,5.0,2024.04.17.,5.0,홍대역 주변에 위치하고 있어서 편리하구 피자가 주문 후에 제조되는거라 아주 맛나게 먹을 수 있어요!!🥰
김현수,3,1,5.0,2024.04.17.,5.0,"맛은 좋습니다. 막 엄청 환상의맛 이건 아니고 맛잇는 시카고피자 맛입니다. 근데 양이 꽤많아요. 혼자 고기1근 밥3그릇 먹는데, 적당히 1인분먹는 여자친구랑 둘이 와서 감튀+피자 시켯는데 남겼어요. 만약 담에 온다면 감튀없이 피자하나면 딱 배부르게 안남기고 먹을듯 합니다. 추천해요"
김정욱,2,1,5.0,2024.04.17.,5.0,
