user_name,user_rank,num_response,user_star,time,rating,content
무적LG,5,7,3.9,2024.01.01.,1.0,한국인을 위한 식당이 아닙니다. 손님도 일하는 분도 죄다 중국인뿐. 갈비를 굽는데 구워질 생각을 안해 불렀더니 자기네들 끼리 핑계만 대다 정확히 돼지갈비 1인분 굽는데 30분걸려 항의하며 안구워먹을태니 고기 가져가라 했더니 그제서야 한국인 등장하셔서 한다는 말이 중국인이모가 말을 못알아둘어서 그랬다는 헛소리 시전. 자기가 구우면 바로 먹울수 있단다. 그럼 항의를 하는 30분동안모했냐 하니깐 자기 담당아니라 몰랐단다. 식구들 다같이 식사하러 왔다가 기분 더러워짐.  딱 봐도 전형적인 홍대 관광온 동남아 위주 관광객 식당. 진짜 이런가게 가지마세요.
유진,33,107,4.6,2023.08.22.,5.0,"어제 돼지갈비 먹었어요!밑반찬도 푸짐하고 (상추겉절이, 김, 무 장아찌, 김치 등등) 전부 맛있었어요홍대에서 갈비 먹고싶으면 또 갈 것 같아요!!직원분께서도 친절하셨어요"
shunxshun,5,3,3.0,2023.07.15.,1.0,辣雞，不值那麼貴 肉不好吃 同價位和牛好吃太多 中國同胞不要去被騙了
Kaybie,3,1,1.0,2023.07.15.,1.0,坑爹！踩雷$900人仔，好難吃，好多筋🥹不要去，zibalama😩
박진혁,1,1,5.0,2023.06.03.,5.0,
노혜성,2,1,5.0,2023.05.20.,5.0,사장님이 친절하고 밥이 맛있어요
엠,5,8,5.0,2023.05.05.,5.0,Nice food with good taste. Service is good 👍🏻
누베뤼,21,37,3.4,2023.05.02.,3.0,쏘쏘.. 좀 저렴하다는거 말고는 굳이 다시갈 이유는 못찾았습니다
렁이,15,60,4.4,2023.04.18.,5.0,놀다가 가서 먹기 좋아요!!~~❤️
설오근,21,43,4.5,2023.04.13.,5.0,사실 투뿔은 비싸기는한데 맛은 정말 첨먹어보는 소고기였다 친절도하고~~좋네요
it’s true,11,21,4.6,2022.06.13.,5.0,육회비빔밥 존맛
bellissa,25,155,4.3,2022.05.18.,3.0,전 나름 만족했어요
기욤🇨🇵,5,3,3.7,2022.05.12.,5.0,On n'a uniquement testé la viande de bœuf et elle était excellente. Les ragoûts et banchans sont également très bons. Les serveurs ont été très serviables et nous ont donné de bons conseils. Excellente adresse !
y,7,12,2.3,2022.05.05.,1.0,고기 잘못 주시고도 사과 한마디 없이 어차피 이게 더 맛있는거라고 그냥 먹으라는식으로 말씀하심. 물냉 비추.
옆으로,3,5,5.0,2022.04.25.,5.0,"안창살, 토시살 추천합니다."
식객,15,73,3.5,2022.04.17.,1.0,이런고기로 장사하네장사하지마세요 ㅡㅡ짜증남
박상정,63,659,3.6,2022.04.07.,4.0,갈비탕 만족스러웠습니다. 국물도 맛있고 갈비대도 4개정도 들어있네요 푸짐하진 않았지만 양이 적지도 않고 적당히 배부르게 잘 먹었습니다.좀 더 갈비가 풍성하게 들어있으면 좋겠어요!
뉴햄쥐,30,266,4.5,2022.03.28.,3.0,먹을만해요~
로하이,35,155,4.3,2022.01.24.,5.0,가성비 굿 홍대근처 쵝오
원,22,74,4.9,2021.12.12.,5.0,여기가 최고다
Jay,85,"3,044",1.2,2021.11.26.,1.0,"130g에 27,000원이 가성비가 좋은거구나....."
이아들,9,18,5.0,2021.11.05.,5.0,가성비도 괜찮고 고기도 맛있게 먹었습니다회식하러 자주 갑니다ㅎㅎ
미쏘,27,206,4.5,2021.08.18.,5.0,넘 맛있어요 고기ㅋㅋㅋ 또 가고 싶어요
Milla,23,72,3.8,2021.08.04.,5.0,맛있습니다
😀,2,2,5.0,2021.03.06.,5.0,저번주 방문했는데 친절하시고 고기도 맛있었어요!
거짓말은 못하는 편,22,55,4.6,2021.01.04.,5.0,말해 뭐합니까 투쁠 소고기는 그저 존맛이지
쿠코,9,25,4.3,2020.10.30.,4.0,반찬들이 맛있어요 김치 정말 맛나요
세연,1,1,5.0,2020.03.14.,5.0,너무 맛있어요!!
호랭이시키,45,413,3.5,2017.07.25.,4.0,양념 소갈비살. 갓김치.
홍진,57,271,3.0,2016.05.15.,3.0,
kkagt,29,137,3.3,2016.04.29.,3.0,갈비탕 먹을만함가끔 너무 질길때가 있음
