user_name,user_rank,num_response,user_star,time,rating,content
이근우,5,234,5.0,2024.04.06.,5.0,
yjcho,1,1,1.0,2024.03.19.,1.0,세상에서 제일 맛없는 크림새우 먹어봤다고 자신하는 분들 가보세요. 그 밑의 맛없음을 체험할 수 있습니다.
ㄴㄱㅂ,32,203,2.6,2024.03.04.,5.0,진짜 개개개맛있음 카카오맵 평점은 과학이다 직원분들도 과하지않고편안하게친절하고 짜장하고 깐펑지 개 왜 존맛 마라맛 안 강하고 구수해요 햐...ㅡ와 존맛 연남맛집
이인호,4,3,4.3,2024.03.01.,4.0,
맛없으면팬다,23,32,3.3,2024.02.19.,3.0,몇번 들리면서 여러 메뉴를 먹어봤으나결국 짜장 짬뽕만 기억이 남는 가게.좋은 재료로 코스트는 올랐으나 맛은 전혀 못 따라간다고 생각이 듬.짜장은 정말 맛있으나 면 양이 형편없음.곱배기도 안 된다니.
먹둥이,44,434,3.8,2024.02.05.,5.0,"남들한테 자신있게 추천할 수 있는 곳크림새우 동파육 볶음밥은 무조건 ㅠ야채좋아하시면 팔보채도 만족하실듯짬뽕,짜장면은 평범.."
MJKim,12,13,4.8,2024.01.24.,5.0,"지인의 추천으로 처음 방문한 이후로 멤버쉽 가입하고 매달 몇번씩 방문하는 맛집입니다. 가격이 비싸지만 그만큼 식재료와 맛이 훌륭한 맛집입니다. 모시고 싶은 분들이 있을 경우 주저없이 예약하고 방문하는 최애 맛집, 적극 추천합니다."
CakelovePOET,32,128,4.0,2024.01.22.,3.0,가격에 비해 맛이 아쉽습니다. 들어간 신선한 재료에 비해 짬뽕 맛이 얕은 느낌입니다.
kkk,23,134,3.3,2023.11.26.,4.0,
경희,6,13,4.8,2023.11.18.,5.0,가격대 좀 있는데 맛은 좋아요지하로 들어가고 식당이 깨끗한지는 모르겠으나 맛은 좋아요.
공포의설거지,27,77,3.4,2023.11.15.,3.0,가격대비 맛 잘 모르겠음. 동파육은 와우 소리 나는데 나머지 기본음식은 많이 실망스러움
ontheroad,21,49,3.2,2023.11.01.,2.0,"가격대비 요리의 품질은 좋다고 말하기 힘드네요. 가격을 제외하고서라도 여기 요리가 수준급이라고 말씀 하시는 분들은 좀 이해가 안가네요. 그리고 칭따오 생맥주 관리는 좀 제대로 하시기 바랍니다. 잔당 11,000원 받으면서 군내가 납니다. 제대로 관리하지 못할거면 차라리 파시지 마시구요."
힙지로,11,41,3.8,2023.09.24.,5.0,
yoo7459,4,5,5.0,2023.09.21.,5.0,제가 먹어본 중국음식 중에서 제일 맛있었어요. 가격대는 좀 비싸지만 비싸다고 느껴지지 않을 정도로 맛있게 먹었습니다
조경희,4,12,5.0,2023.08.31.,5.0,
정종호,2,1,5.0,2023.08.19.,5.0,
마지,35,118,3.7,2023.08.07.,4.0,특이한 메뉴가 많고 대체로 괜찮다
nana,6,5,5.0,2023.07.14.,5.0,"https://blog.naver.com/jjj_anna/223155131064중화복춘 정말,, 하이엔드 맛 :) 추천해요"
안녕하쇼,21,140,4.6,2023.07.07.,5.0,
꼬로록,45,200,4.6,2023.06.21.,5.0,"가격대는 맵에있는 거보다 좀 오른것 같아용너무 깰꼼함 속이 편안해요캐치테이블 예약도 되고 오픈시간 맞춰가면 안기다려도 돼요첨에 차를 주시는데 자스민티 좋았어요짜사이랑 양배추도 맛있음...마지막 디저트도 좋았음... #크림새우 마요네즈 맛 X, 완전 새콤한데 대추랑 호두, 레몬껍질 까지 다 조화롭고 맛있어요!!담에 생각날거 같아요!!  #짜장면제입맛엔 쪼꼼 달았는데 와 징짜 갑오징어 왤케 부드러워요 대박임 #짬뽕국물 너무 깔끔해요송이버섯 향이 좋아요마 인가? 아삭거리는 야채가 있었는데 그 식감도 좋고 야채랑 해산물이 너무 많아서 못먹었어요양이 많아서 많이 못시킨게 아쉬워요 ㅠㅠ담엔 여럿이 가서 동파육이랑 게살새우완탕? 먹을거에요!!"
움마야,6,11,4.4,2023.06.18.,5.0,
치킨과맥주,33,140,4.5,2023.05.29.,5.0,크림새우를 처음 먹고 깜짝놀랐던 집
mo jang,2,3,5.0,2023.05.03.,5.0,
링컨,57,"1,048",3.5,2023.04.09.,4.0,양장피 초마짬뽕맛은 좋으나 가격을 고려하면 글쎄..데이트보단 모임으로 가는 게 더 적합할 듯
