user_name,user_rank,num_response,user_star,time,rating,content
로비,2,1,4.0,2024.04.21.,4.0,라멘 맛집  추천
太様,4,3,2.3,2024.04.03.,5.0,진심 맛있는곳 인데.. 제발 양 좀만 늘립시다.
염윤종,34,230,3.4,2024.03.24.,5.0,국물이 매우 진하고 맛있어요. 다진마늘 추가해서 드세요. 다만 가게가 좁은게 단점입니다.
맛집좋아함,15,36,4.0,2024.03.21.,4.0,난 맛있었는데 지인은 고기 냄새난다고 마늘을 다 갈아넣어서 마늘 국 먹음국밥마냥 시원하게 먹기 좋은 곳식당이 협소한 건 단점키오스크 있었으면 좋겠다 …
트래블러버,22,37,4.8,2024.03.20.,5.0,지인 추천으로 방문했는데 국물이 진하고 맛있었어요 😋
도월,13,34,3.5,2024.03.10.,5.0,
박준혁,6,20,4.1,2024.02.29.,5.0,
anti 의레기,20,38,3.9,2024.02.20.,5.0,맛은 괜찮음. 테이블 간격이 좁아 불편한점은 있음.
리뷰천사,39,224,4.3,2024.02.12.,4.0,엄ㅡ청 특색이 있지는 않지만 무난하게 맛있게 먹을 수 있는 집!! 그래도 맛있는 편이었다? 그리고 엄청 친절하셔서 또 갈 만한 듯
토리,6,6,3.7,2024.02.12.,5.0,국물이 진짜 진해서 추천합니다
숑숑이,23,44,4.1,2024.02.01.,3.0,특이하지도 특색있지도 않은 기본맛
은,19,28,4.5,2024.01.31.,4.0,라멘의 교과서? 라멘 맛집 널린 게 홍대지만 가끔은 이런 진하고 기본적인 돈코츠가 땡깁니다. 테이블이 좁아서? 작아서? 겨울에 셋 이상이서 오신다면 조금 불편할수도.
리뷰광고업소는음메에에에🐑,15,18,2.8,2024.01.28.,2.0,바로 아래집보단 나음.. ㄹㅇ 나음.. 여기는반 음메에에..
맛잘알소식좌,36,321,3.5,2024.01.22.,4.0,폭탄 라멘 맛있게 먹었습니다.다만 자리가 너무 좁아서.. 옆 테이블이랑도 너무 가깝고 여튼 불편해서 별 한 개 뺐습니다.
남동훈,5,5,2.6,2024.01.20.,3.0,평점이 왤케 높은지 모르겠지만..지극히 평범한 맛이었어요.
ㄱㅇㄹ,20,27,4.2,2024.01.19.,5.0,좌석이 별로 없어서 웨이팅 해야할때가 많지만 맛있어서 용서됨 국물이 너무 맛있어요! 홍대에서 라멘 제일 맛있는 곳들 중 하나인듯
Vajiräk Carl Coux,64,380,3.6,2024.01.19.,4.0,본시 라멘은 느끼한 음식이다. 오늘 같은 날이면 그 진득한 지방의 풍미에 생마늘을 으깨 넣어 한 그릇 비우고픈 생각이 든다.
맛이좋구나,21,76,4.9,2024.01.14.,5.0,
😀 😀 😀,29,97,3.4,2024.01.14.,1.0,"맛있어서 지인들한테 추천하던 집이었는데,,, 동행이 5분 내로 온다고 하자 영하의 날씨에 밖에서 기다리라고 하더군요. 그거도 엄청 퉁명스럽게요. 평일 한산한 시간대였고 가게엔 한 팀만 있었습니다."
어때,12,15,4.0,2024.01.06.,4.0,지로우라멘 보통면 진하게로 먹었습니다국물이 진해서 좋았습니다 맛있었어요재방문의사 있습니다 혼밥도 가능해요
FU,17,35,3.4,2023.12.14.,5.0,이 한 그릇을 먹기 위해 난 비오는 날에 헤맸던 거구나.
최현태,24,97,4.0,2023.12.03.,4.0,"돈코츠 꽤나 기름지고 느끼. 마늘 넣어먹는게 나음전체적으로 나쁘진 않은데, 먹으러 원정 떠날 정도는 아니다."
🌀,17,16,3.7,2023.12.01.,3.0,"맛있습니다 라멘집 많이 다녀봤는데 여기 국물은 정말 독특해요. 국물을 ‘진하게’로 선택해서 먹으니까 좋았어요. 다만, 주방 앞에 앉았어서 주방이 보였는데 정리 상태가 그렇게 좋지는 않았습니다. 그리고 컵에 물을 부으니 기름이 둥둥.. 제 것만 그런 것도 아니고 친구 컵 마저도 그랬습니다. 맛은 있었지만 다시 가진 않을거 같아요."
동민,31,86,4.8,2023.11.17.,5.0,맛있는 일본식 라멘 !
이준서,3,2,5.0,2023.11.13.,5.0,
sh_c,4,3,3.7,2023.11.11.,5.0,웨이팅이 조금 있지만 메뉴도 다양하고 맛있어요!?
🙈,39,384,2.9,2023.10.31.,2.0,"지로우라멘 먹었는데, 너~무 느끼하고 기름져서 별로였어요 ㅠㅠ"
내가 가는 곳이 곧 맛집,52,465,4.2,2023.10.30.,5.0,테이블이 좀 좁지만 회전율이 빠릅니다!연하게는 좀 짜고 진하게는 국물에 기름이 많아서 입맛대로 고를 수 있는 장점이 있습니다!
포그니,13,15,4.1,2023.10.28.,4.0,지로우라멘 먹었은데 육수 진하게 해서 먹으면 좋아요
아니브,33,134,4.3,2023.10.21.,4.0,맛있다
STAFF ONLY,32,326,3.4,2023.10.16.,3.0,통
비,21,330,4.6,2023.10.13.,4.0,
포담,11,29,3.5,2023.10.10.,5.0,딱 내취향 라멘.. 마늘 주는것도 좋음
쩡이♥,13,21,4.0,2023.10.09.,5.0,고기 잘 안먹는 5살 아이랑 갔는데차슈 너무 부드러워서 흡입했어요라멘도 당연히 흡입!어른 입맛도 사로잡고아이입맛도 사로잡은곳
김선민,2,15,3.9,2023.09.23.,5.0,
