user_name,user_rank,num_response,user_star,time,rating,content
진서원,32,121,3.5,2024.04.01.,1.0,이연복 셰프가 자기는 스승 없다고그렇게 홍보하지 말라고 하네요.
구일,24,62,2.2,2024.04.01.,1.0,록용
냠냠이,4,4,5.0,2024.03.21.,5.0,언제 먹어도 맛있음. 짬뽕 존맛
경남미쉐린,8,10,3.6,2024.03.20.,4.0,"멘보샤 양주볶음밥 해물짬뽕, 3.5희미하게 가미된 남다름과 다른 요리에 대한 기대"
호이,22,55,3.6,2024.03.16.,5.0,진진 괜찮네요 목란이랑 멘보샤가 아에 다르네요
이미선,9,12,4.8,2024.03.03.,5.0,맛있어요.
閒雲,3,17,4.4,2024.02.29.,5.0,
음음,50,948,3.1,2024.02.13.,5.0,팔보채 메모
도도도,2,1,1.0,2024.02.12.,1.0,"젊은 남직원 너무 불친절해요여직원 이모님들은 친절하신데, 직원 한 명 때문에 기분이 상했어요식당의 기본은 맛, 친절이라고 생각하는데,미슐랭, 블루리본 연속 선정이라 맛은 보장이 되어도친절이 뒷받침되지 않아 다시 가고싶진 않네요그리고 볶음밥을 시켰는데 너무 늦게 나와 메인 요리를 다 먹고도 엄청 오래 기다려서,음식주문이 제대로 되었는지 확인차 여쭤봤는데, 제가 물어본게 잘못인것처럼 민망하게 해주셔서 좀 기분이 언짢았습니다다른 테이블들도 볶음밥 등 메뉴가 많이 늦게나와 문의가 많더라구요"
Mason Jang,42,151,3.4,2024.01.29.,3.0,어향가지 멘보샤
coffee,3,7,3.7,2024.01.01.,1.0,"짬뽕, 팔보채, 멘보샤, 볶음밥.. 주문한 음식 모두 다 짜요. 원래 짜게 먹는 편인데도 너무 짜서 먹기 힘들어 일행 모두 남겼습니다."
냉정한 평가,9,19,2.1,2023.12.31.,1.0,주인장이 이 댓글 꼭 보셨으면 좋겠네요 식사 중간에 먹던 그릇을 함부로 치우질 않나 주차장에서 차가 나올 수가 없어서 막고 있는 차를 빼달라고 하니 자기들 바쁘니까 알아서 나가라고 하지를 않나 살다 살다 이런 서비스 엉망인 식당 처음 봅니다. 문 닫기 싫으면 종업원 교육(본관이랑 별관홀 담당 매니저 같아 보이던데 두 중년 여자) 확실히 해야 할 거 같네요
준궁,4,18,4.0,2023.12.27.,5.0,
날다람쥐,4,4,3.0,2023.12.26.,5.0,최고의 간짜장과 사장님의 유쾌함이었습니다
sol,33,140,4.4,2023.12.18.,3.0,동행인 데려가 민망했던.. 대게살스프 먹고 고급진 맛에놀라 너무 기대햇나봐오. 총 메뉴 세개. 멘보샤는 기름 덩어리고 나머지는백짬뽕이었는데..... 미슐랭이라니 아아... 맛집찾는건 정말 너무어려워. 그렇지만 간짜장이 맛잇다니.. 하..... 한번 다시 가볼게오 도전..
신길동맛집,9,85,4.8,2023.12.13.,5.0,감히 한국 최고의 간짜장
SG,8,6,4.7,2023.11.24.,4.0,전체적으로 간이 쫌 쎈편입니다.개인적으로 이곳은 멘보샤 맛집이라고 생각하는데 가끔 멘보샤가 너무 기름질때도 있습니다.쫌뽕은 하얀짬뽕이고 멘보샤 다음으로 좋아합니다.볶음밥은... 제 취향은 아니었습니다.짬뽕 멘보샤 볶음밥
