user_name,user_rank,num_response,user_star,time,rating,content
커비,5,3,2.3,2024.04.24.,1.0,"고양이 한 마리가 멀리서 다가오더니 저를 향해 오줌을 싸고 도망갔습니다... 해당 고양이와는 어떠한 접촉이나 위협 등 없었어요. 닿지도 않았습니다. 정말로 가만히 있는 제 근처로 와서 오줌만 싸고 갔네요. 제 치마랑 니트가 다 젖었고, 황당한 상황에 저는 벙쪄있었습니다. 직원 분은 저에게 ""화장실 가서 닦는 게 좋지 않겠어요~?"" 라는 말만 하셨고, 아무런 도움도 조치도 주지 않으셨습니다. 결국 그 상태로 지하철을 타고 집에 가야 했습니다. 아끼는 옷이 그렇게 된 것도, 추운 날씨에 다 젖은 옷을 입고 대중교통을 타는 것도 다 속상하지만, 사과 한 마디 없는 직원 분의 태도가 가장 속상하고 화가 납니다. 직원 분이 친절하시고 고양이를 아끼는 게 느껴져서 자주 갔던 곳인데, 이제 다시 가지 않을 것 같아요."
가장,5,8,4.3,2024.04.24.,4.0,고양이나 손님 안전때문인지 알바생분이 사람따라 불친절하게 느껴질수도 있을거같애요ㅠㅠ 그래도 홍대 고양이카페 중에선 여기가 오줌똥냄새 같은것도 안나고 좋은거같애용
김예준,4,5,3.4,2024.04.04.,1.0,고양이 한 마리를 조심하라고?이코 병장은 위험합니다
방참우,31,73,4.0,2024.03.31.,1.0,고양이가 손 할퀴었어요. ㅡㅡ
젼이,10,8,3.5,2024.02.28.,5.0,정말귀여워...
~*,2,2,4.5,2024.02.26.,4.0,
양정애,7,3,3.7,2024.01.23.,4.0,다른 고양이카페에 비해 쾌적함. 알바생은 불친절
-%,6,14,4.4,2024.01.05.,5.0,고양이관리잘되어있고 아늑한분위기입니다 좋아요
박선우,1,1,5.0,2023.12.19.,5.0,
김성철,1,2,5.0,2023.12.05.,5.0,
아예,9,8,1.5,2023.11.23.,1.0,와 여기 오랜만에 기억나네 알바생들 ㄹㅇ ㅆ가지없음 내거 사장이였으면 참...ㅋ
p,3,10,4.6,2023.11.06.,5.0,
Lee Mana,10,12,2.7,2023.10.25.,1.0,"A very strange place. Said it opened at 12, but when I arrived at 12:25 the employee said she needed 30 more minutes before opening. I came back 30 minutes later and entered. The employee gave no guidance, just pointed me to a kiosk to pay the entrance fee. Almost all the cats looked very sickly, with runny noses and crusty eyes etc. I understand they're abandoned cats, but they looked so sick I wasn't sure if I should even interact with them. There was only 1 employee for dozens of cats. There was no music playing and since I was the only customer in the cafe it was completely silent except for one poor cat in a cage who was meowing pitifully and pulling at the bars, trying to get out. So it made it a very strange and awkward atmosphere. A drink is not included in the entrance fee and is neither mandatory to buy, so it felt less like I was at a cafe and more like I was just wandering around a run-down hospital for sick cats."
리뷰 조작하면 1점,33,367,2.4,2023.10.20.,1.0,
lena,4,1,1.0,2023.09.16.,1.0,there was only one woman for more than  30 cats. most of the cats had a cold and their eyes were sticky. One of the cats couldn't breathe because her nose was blocked and no one cared. There were also some children who picked up the cats and threw them around. i wouldn’t go there a second time.
콧잔등,30,105,3.7,2023.09.09.,5.0,가본 고양이 카페들 중에 최고인데…? 1년에 한 번 올 때마다 공간이든 냥이 시설이든 업그레이드 되는 느낌. 내가 그간 낸 입장료가 이렇게 쓰이나보다 하면서 보는 재미도 잇음.
HM,4,2,3.0,2023.08.23.,1.0,제가 결제하고 카페 안쪽으로 들어가자마자 알바생분이 저한테 소리지르셔서 너무 놀랐어요 문만 열고 들어갔다가 소리치는거 들으며 혼날줄은 몰랐네요 가방은 라커룸에 넣고 와야한다고 현관문이 아니라 카페 안에 있는 문도 고양이가 나가면 안돼니 빨리 닫아야한다는건 공지로라도 말해주세요 공지도 없고 말도 안해주지도 않은 상태에서 방금 들어온 사람한테 소리지르시나요나중에 사장님이 고양이 먹이라고 츄르도 주시고 간식도 주셔서 좀 풀렸지만 처음엔 너무 황당하고 기분 나빴어요
어디갈지 모르겠음,17,18,3.9,2023.08.04.,5.0,여자직원분 싹싹하니 친절하셨음ㅎㅎ 고양이 기여워요
맛집러,32,138,4.1,2023.07.29.,3.0,생각보다 깔끔하진 않았던 집
