user_name,user_rank,num_response,user_star,time,rating,content
짱구,3,3,2.7,2024.04.11.,1.0,새벽에 먹고싶어서 왔는데 기본도 안되시고 18분 넘게 걸리시고 짜장면 면이 딱딱해서 집가서 뿔려먹으라는건지 제가 중식 실장을 해봐서 아는데 면이 그렇게는 안나오네요 맛은 있는데 너무 불친절하시네요  뭐 사과도 없고 그냥 다시 해드릴게요만 말씀하시고 기다리는 사람 입장을 생각을 해주시면 좋겠습니가 기본을 지켜주시면 좋겠네요
ㅇㅇ,13,21,2.9,2024.04.10.,1.0,겐로쿠 갔다가 아슬아슬하게라스트 오더 실패해서 간 곳.다신 안 감.이마트 냉동 짬뽕이 더 나음.
DUDE,5,4,2.8,2024.03.08.,5.0,맛있어서 자주 가요 ㅎㅎ
무야호옷,8,13,4.5,2024.02.13.,5.0,맛 있 어 요 ! ! 또 먹구싶다...
.,8,11,3.2,2024.02.11.,1.0,"하루알바 하는데 완전 청결도 제로. 저는 주방 들어갔다 나오고, 절대 안먹음. 웩. 떨어진 도구 바닥에 그냥 주어서 사용. 식기류 거의 물세정만 하고, 식기세척 돌려서 그냥 나감. 핸들링 수건 때묻은거 사용."
우리,2,12,5.0,2024.01.23.,5.0,
CakelovePOET,32,128,4.0,2024.01.22.,3.0,"나쁘지 않은 프랜차이즈라 맛은 어느 정도 보장되지만, 해당 매장은 청결도가 조금 떨어져보였습니다."
염민경,2,10,3.5,2023.12.01.,3.0,
어린이보호구역고스트라이더김민기,65,368,3.8,2023.11.12.,4.0,짬뽕지존 늘 잘 먹고 있어요
도원석,3,2,2.5,2023.11.05.,2.0,짬뽕은 맛있어요 해물도 많고요근데 초파리인지 잡벌레가 너무 많아요 3젓가락 먹고 손 한번씩 휘저어야해요 벌레가 너무 많아서..
김진수,12,13,2.0,2023.11.05.,1.0,태도 무엇? ㄹㅇ
까다로운사람,50,"1,026",3.6,2023.11.05.,4.0,짬뽕 진짜 맛있음.
거누건우,5,2,5.0,2023.10.27.,5.0,
gLam8,29,76,3.3,2023.10.15.,5.0,4단계부터 아 좀 맵-하네 싶은 훌륭한 집.홍대에서 짬뽕땡길땐 무조건 이집입니다.체인이긴한데 홍대점은 분리되었다고 하네요.
라티오,32,132,2.5,2023.10.14.,1.0,"여자 알바, 진짜 서빙 태도 짱이네요!!!!웃음이 나옵니다ㅋㅋㅋㅋ아주 싸가지 없습니다앞치마 줄 수 있냐고 하니 셀프바 가라고 퉁명스럽게 대답하더군요우리 다음으로 온 외국인 커플은 그 여자 알바 태도 보고 들어온 담에 바로 나감..."
