user_name,user_rank,num_response,user_star,time,rating,content
Ashley,2,1,5.0,2024.04.18.,5.0,너무 맛있어여 김치전과 김치찌개 짱!
손정훈,3,5,2.8,2023.11.26.,4.0,
TOM,17,38,3.2,2023.10.28.,1.0,모듬전이 첨나올때 환호성을질렀습니다만 짜거나 밀가루맛이나거나 둘중하나였네요..
미,2,4,3.0,2023.10.24.,4.0,
열히,35,131,3.8,2023.08.27.,1.0,테이블끈적거리구 젓가락끈적거리구 자리 자체도 협소한데 옆자리 사람들과 합석한 줄 착각할 정도로 다닥다닥 붙어있지만 전이 맛있어요근데 위생은 모루겠움..느린마을 막걸리도 존맛이구여개인적으로 동그랑땡 깻잎전 동태전 맛있었어요홍입에 있어서 위치적으로도 맘에들구여맛만 있으면 된다(저여) 홍입에서 먹고싶다 하면 추쳔저는 재방문의사 있숨돵(이때 연애해서 객관성 상실함 지금은 재방문의사 절대 없움)
ㅂ,15,39,1.9,2023.07.10.,1.0,해물떡볶이가 최악중의 최악그렇게 만들고 돈 버니까 좋기도 허것다
쭈형,15,21,3.3,2023.01.15.,1.0,두부김치 개짜요
장현준,65,513,3.6,2023.01.12.,3.0,
qwerty,29,207,3.8,2022.11.24.,2.0,여기서 전 먹었는데 두부에서 상한 맛나고 전에서는 계란 껍질씹혔습니다
태리,3,2,1.5,2022.11.21.,2.0,웬만하면 후기 좋게 남기는 편인데요..식당 또는 술집이 서비스 바라고 가는 건 아니지만 일하시는 안경 낀 염색하신 남자직원분 너무..기본 태도가 아예 안되있으신 거 같아서 남겨요 마감시간 임박해서 힘들고 집에 빨리 가고 싶은 거 모르는거 아니니 이해하자 싶다가도 리뷰 남기려고 보니 고객 입장에서 비슷한 말들이 남겨져 있어서 남깁니다 개선되어서 좋을 부분은 개선되어야 하니까요..
겨울,23,47,4.2,2022.08.25.,3.0,맛은 있는데 넘 시끄러워요 ㅜㅜ 테이블이 다닥다닥 붙어있고 노래도 커서 바로 앞에 있는데도 잘 안들림... 취하고 2차로 가야할듯
loxrd21,48,"1,510",3.2,2022.06.29.,4.0,
념,22,36,3.1,2022.06.24.,2.0,테이블 끈적거리고 이모님 친절하시긴 한데 소통이 잘 안 됨. 맛은 나쁘지 않은데 굳이 찾아가서 먹어야될 정도는 아닌듯
REDA,31,109,3.6,2022.05.22.,4.0,가성비 맛집까진 모르겠지만 막걸리도 많고 맛있어요ㅎㅎ분위기도bbb
drgz,46,346,4.1,2022.03.20.,5.0,"맛있고 혜자. 단점은 오래돼서 깔끔한 느낌은 아니고, 테이블 좁고 다닥다닥. 근데 그게 크게 상관 없을 정도로 맛 괜찮았음"
진라면순한맛,15,38,3.2,2022.03.17.,3.0,닭볶음탕먹었고 맛은있음 있는데 비쌈 다 비쌈
김성일,11,33,3.1,2022.01.08.,1.0,
세인트레지스,34,114,2.8,2021.08.17.,5.0,닭도리탕 모듬전 찐맛집~!!!
율,2,2,1.0,2021.03.21.,1.0,"와- 테이블 엄청끈적거리고 닭볶음탕은 내가먹어본 것중 젤 최악~맛도 별로, 위생도 별로"
해질녘,19,76,4.2,2020.09.30.,1.0,모둠전 소자 시켰는데 검정 긴 머리카락 나왔습니다 알바생 두명 있었는데 그나마 태도 괜찮으신 분께 말했는데 죄송하다고 그 머리카락 나온 부분만 전 바꿔주겠다고 했는데 이미 입맛 떨어졌고 알바생 슬리퍼 질질 끌고 별로 일하는 분 같지가 않아요.
홍홍홍,33,223,3.7,2020.09.06.,1.0,진짜 참새도 반해서 뜯어먹는 맛
강동수,6,4,1.0,2019.12.24.,1.0,"일행들하고 술마시면서 이야기 하고 있는데, 사장한테 자리를 양보?해 달라는 이야기를 세 번이나 들었습니다. 내가 내돈 내고 먹는데 자리를 양보해 달라니요. 나가라는 말을  세 번 연달아서 손님한테 하는 전집입니다. 그런 소리 듣고도 기분 좋게 무시하면서 드실 수 있으시면 가보셔도 좋겠네요. 1시간 30분 있던 시점부터 지속적으로 나가라고 하더군요. 이미 마인드가  장사치 이하로 장사하는데 음식은 괜찮겠나 싶습니다. 음식이나 술을 적게 시킨것도 아닌데 정말 불쾌했습니다. 들어올땐 손님이지만 나갈땐 손님 새끼 더군요. 저희 일행이 시끄러웠던 것도 아니고 패악질을 한 것도 없는데, 어처구니가 없었습니다. 주인아줌마 마인드가 역겨워서 쳐다보고 싶지도 않은 집입니다.화장실 가보면 진짜 참담하실 겁니다. 전은 보기에만 그럴싸하게 나오고, 다 식은 상태로 나옵니다."
junya,17,"1,006",3.0,2019.08.14.,3.0,
신한별,3,3,3.7,2019.08.03.,5.0,모듬전 의외로 양 많습니다 4명이상일때 시키세요 ㅋㅋ
flow,85,"2,566",4.4,2019.07.30.,4.0,
YUJIN,32,"1,106",4.8,2019.04.19.,5.0,
유노우,11,17,3.5,2019.03.31.,2.0,맛은 있었는데진짜 불친절.....
kkk,23,134,3.3,2018.07.08.,3.0,가볍게 막걸리 한사리 하기 좋은곳
Torhski,37,295,3.5,2018.07.08.,2.0,모듬전엔 계란전 네개 나옴ㅇㅇ
김지형,41,923,3.8,2016.12.15.,3.0,전 막걸리
김정민,30,250,3.4,2016.03.13.,2.0,이런 곳도 가 봤었다
