user_name,user_rank,num_response,user_star,time,rating,content
JKM,24,94,4.0,2024.02.11.,3.0,"가끔씩 생각나는 양념 안창살, 그리고 쌈장(?)찌개"
Hwyl,38,116,4.1,2024.01.28.,5.0,소갈비살 안좋아했는데 여기 소갈비살 맛있다
페페,8,4,3.0,2024.01.02.,5.0,된장찌개 맛있어요
nn,3,12,4.0,2023.11.21.,4.0,
최용석,2,5,4.4,2023.10.02.,5.0,
ました,55,248,3.9,2023.09.27.,4.0,자주 가는 곳입니다. 대부분 처음 먹어보는 사람들은 다 맛있다고 하고 자주 가면 약간 처음의 신선함(?)이 떨어져서인지 그럭저럭이지만 여전히 처음 먹을 때의 반응은 맛있다! 입니다 ^^*
최인수,4,4,4.0,2023.09.09.,5.0,뒤풀이로 최고입니다.모든 안주가 맛있었어요
오연주,41,127,4.7,2023.07.20.,5.0,맛있지만 가격대비 양은 적어요. 갈비살 .된장찌개 좋아요.
엔지니어,16,36,4.0,2023.05.19.,5.0,회식장소ㅊㅊ!!
Hongtasi,12,11,4.4,2023.05.03.,4.0,가성비 좋아요 회식 하기좋습니다
최,5,38,4.1,2023.03.11.,4.0,
오리너굴,30,115,4.4,2022.12.29.,3.0,맛있는데 너무 비싸졌고 불친절...
박수,40,248,2.3,2022.09.24.,1.0,20년전 학부때부터 갔었는데 ㅋㅋㅋ 와 이젠 미쳤나?? 개불친절에 삼겹살 150그람? 5 조각이 나옴 ㅋㅋㅋㅋ 미쳤나 누굴 ♪♩♪으로 아나 ㅋㅋㅋㅋㅋ 여튼 개불친절에 아주 별로임 건널목 사라지고 공원 생기니 아주 기고 만장인가? 다신 안간다
312,52,359,3.6,2022.07.28.,4.0,홍대 근처에서 맛있은 소갈비살을 먹을 수 있는 곳! 일단 제일 중요한 고기자체가 정말 맛있습니다.매장도 굉장히 넓고 쾌적하고 좌석간 간격도 어느정도 있어서 일행들끼리 밥 먹기도 좋고 단체로도 가기 좋습니다! 고기뿐만 아니라 된장찌개와 계란찜고 맛있었고 일하시는 이모님들도 유쾌하시고 친절하십니다! 한가지 아쉬웠던점은 육회였는데냉동으로 나오다보니 살짝 녹여서 먹었어야했습니다! 이 외에는 모든 게 만족스런 식사였고 홍대 근처 맛있는 고깃집 찾으시면 완전 추천 드려요! 밥 먹고 숲길따라 산책하면서 소화시킬 수 있다는 점도 ㅎㅎ
동석,8,21,3.0,2022.07.14.,1.0,불친절하고 양도 적음
밥밥이,3,2,1.0,2022.07.11.,1.0,불친절하세요고기맛과는 별개로 불친절해서 다시는 안가고싶어요불판 갈아주실때도 고기도 옆으로 다 흘리시고..! 리뷰에도 불친절리뷰가 있네요..리뷰를 먼저 보고갈걸그랬어요
Jay,85,"3,044",1.2,2022.07.07.,1.0,가격 보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ에혀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ms,11,17,1.9,2022.04.26.,1.0,ㅋㅋㅋㅋㅋㅋ 심각하게 불친절 리뷰를 이래서 봐야합니다
정민,11,17,1.2,2022.03.01.,1.0,가격오름  불친절
민규,21,70,4.1,2022.01.22.,1.0,예전에는 정말 맛있게 먹어서 다시와봤는데 너무 변했네요.돈 아까울정도.다시는 안올듯합니다.
빡세,24,129,4.7,2022.01.19.,4.0,된찌 맛있어요!!!!
둄,5,3,2.3,2021.12.21.,1.0,이게 1인분 양임;;; 진짜 너무함 된장찌개는 인정인데 고깃집인데 고기는 잘 모르겠음..
e9,31,154,4.4,2021.12.06.,4.0,양 무난하게 맛납디다
Hiker,19,55,3.8,2021.10.25.,5.0,너무 맛있어요
ㅇㅇ,25,52,4.1,2021.10.04.,5.0,갈비살이 맛있습니다. 잘먹고갑니다!
오늘은어디,34,278,3.9,2021.09.22.,4.0,된장찌개 최애맛집 고기는 그럭저럭!
Eric Park (박준형),22,41,4.7,2021.09.08.,5.0,
쨥짭,18,69,4.0,2021.08.16.,4.0,
"Jisun(Clara,John)",5,5,3.8,2021.07.09.,1.0,4명이 갔어요. 저희 가족은 맘에 드는 고기 골라 먹는거 좋아해서 일단 2분 먹고 뭐 먹을지 고른다고했는데.. 주문 받는 아주머니 두분이 돌아가면서 넷이 와서 2분 시키면 안된다고하시네요 그래서 아니라고 또 시킬거니염려 마시라고 했는데도 엄청 불편하게 하시더라구요 그래서 결국 양념갈비 그냥 2인분 더 시켰어요 맛은 괜찮아서 추가로 2인분 더해서 총6인분 먹었는데. 저 두 아주머니의 불친절만 아니였으면 아들이 먹성이 좋아서 10인분은 먹고 갔을텐데 스탑하고 다른데 갔어요. 요즘 누가 4명이 와서 양심없게 2인분 먹나요? 조선족 같아 보이시던데 그렇게 어디 가셔서 주문하시나보죠? 솔직히 고기도 특뿔같은 느낌은 아니죠. 대학가라서 그냥 괜찮다 정도맛입니다 다른데 가세요. 장사 좀 된다고 그러는거 아닙니다. 사장님! 직원 교육 좀 시키세요
빵먹는사람,40,255,3.7,2021.07.01.,4.0,마쉬따 뷰드럽다 녹아
Mj,35,963,4.0,2021.05.31.,4.0,
가든,27,96,3.7,2020.12.20.,4.0,안창살 맛있다
