user_name,user_rank,num_response,user_star,time,rating,content
핑핑이,13,13,4.5,2024.04.10.,5.0,
뽀루루,7,8,5.0,2024.04.03.,5.0,
락이,6,6,4.2,2024.03.30.,5.0,돈쭐이 나야하는 사장님
모티,5,18,4.6,2024.03.18.,5.0,
메에,12,18,3.9,2024.03.13.,4.0,"맛있음 치킨바삭하고 양념치킨들은 닭강정 같은 느낌이라 좋아하시면 추천. 그러나 물가가 올라서 그렇겠지만 원래는 감튀, 샐러드도 같이 줫는데 이제 치킨만 줌 ㅠㅠㅠㅠ"
ㄱㅎㅈ,12,68,4.2,2024.03.11.,5.0,
hhhh,7,10,4.4,2024.02.27.,5.0,
지누지누,21,68,4.3,2024.01.26.,5.0,사장님 눈물 흘리는거 보고 울컥했습니다. 번창하시길 바랍니다.
즐풍당,33,206,2.2,2024.01.16.,2.0,2.5다리 제외 올퍽퍽
DH,18,38,3.1,2024.01.04.,5.0,
감명 깊어야 후기 남김,8,6,4.3,2024.01.02.,5.0,커리맛?이 존맛도리니네요 양념은 달달하고 후라이드는 평타칩니다남은거 포장해달라고 하면 해주시고 다음날 먹었는데도 아주앚아주 맛있어요집왔는데 커리맛이 자꾸 생각나요;; 감질맛 굿직원도 친절하셔요담에 가면 반반으로 커리랑 매운맛 먹을거에요 꼭
prslover,5,11,3.6,2023.12.19.,5.0,
.,9,17,3.3,2023.12.14.,5.0,맛도 친절도 사랑도 넘치는곳...앗 메뉴에 xx이 아니라 어묵이라 써있네 ^^
이현하,2,1,4.0,2023.12.01.,4.0,
plantpower,16,52,4.4,2023.11.23.,5.0,
나그네,22,209,3.9,2023.11.13.,5.0,
ㅈㅣㅎㅕㄴ,11,44,4.9,2023.11.10.,5.0,
꾝,23,47,4.4,2023.11.10.,5.0,
.,11,20,2.7,2023.11.09.,5.0,
dd,2,3,2.3,2023.11.03.,5.0,
이준협,13,26,3.5,2023.11.02.,5.0,
가빼시,7,5,2.6,2023.10.23.,5.0,
1529 조은서,23,44,2.5,2023.09.20.,5.0,서울 놀러가면 꼭 갈 집
아멀라,32,243,3.1,2023.09.15.,5.0,
◇,4,3,2.3,2023.09.14.,5.0,https://youtu.be/NfmZC0SfB-s?si=qyosOHoyPkobA8Uq
ㅇㄷ,13,82,4.9,2023.08.26.,5.0,
Tenquin,18,38,4.5,2023.07.31.,5.0,시일이 꽤 지나니 별점을 깎는 사람들이 보이네요. 응원차 별점드리러 왔습니다.
요단강뱃사공,13,15,4.5,2023.07.25.,5.0,존경 받아 마땅한 사장님
Hoang,1,1,5.0,2023.07.17.,5.0,
맹알,15,22,3.7,2023.07.09.,3.0,닭 작은거 씀가성비인데 그렇게 막 맛있냐? 그런거도 아님
강시유,1,1,5.0,2023.06.17.,5.0,
김ㅅㅇ,36,218,3.9,2023.04.27.,5.0,양념치킨 맛있다 좀 달다홍갈치킨 별로핫커리치킨 소스랑 먹으면 존맛탱후라이드 맛있는 편
민,12,113,3.6,2023.04.20.,5.0,
