user_name,user_rank,num_response,user_star,time,rating,content
jung,22,60,4.2,2024.04.24.,5.0,츠케멘 맛집 맛있어서 재방문했어요!
유시우,4,1,5.0,2024.04.23.,5.0,일본에서 먹었던 츠케멘이 생각나는 맛이였어요! 다음에 또 오고싶습니다 :)
바모스,51,344,4.1,2024.04.23.,1.0,알바
이태원 고양이,17,23,2.5,2024.04.21.,5.0,존맛!!!너무 맛있어요!
ㅇㅇ,45,308,4.4,2024.04.21.,5.0,지하 주차장 무료
원형,2,1,5.0,2024.04.20.,5.0,오픈 주방이라 좋아보여요 다음에 또 방문 예정
깜,5,2,1.0,2024.04.20.,1.0,특이하다...내가 알던 라멘은 라멘이 아니었나보다. 제 취향은 아니었네요
성민,2,1,5.0,2024.04.20.,5.0,맛있어요 ㄹㅇ로
별점조작은말없이1점,57,475,2.9,2024.04.19.,1.0,
이,7,17,5.0,2024.04.18.,5.0,라멘 좋아하는데 진짜 맛있네요~~ 짜지않고 딱 맛있어요
김유진,5,4,5.0,2024.04.18.,5.0,츠케멘 너무 맛잇어연 😊라멘도 맛잇어용 다음에도 또 방문할게요
이현빈,2,2,5.0,2024.04.18.,5.0,분위기가 좋고 사장님이 친절하셔서 맛있게 먹고 나왔어요!!
joon,2,1,5.0,2024.04.17.,5.0,시원하고 속풀이에 좋아요 맛있네요!!
ㅋ,31,123,3.0,2024.04.17.,1.0,많이 남겼습니다...국물은 미적지근 두가지 맛 모두 간도 애매 여기저기 잘하는곳 마킹해서 이것저것 하시는것 같은데 맛을 챙기셨으면 좋겠습니다 또오고싶은곳으로 성장하시길
맛따라..,3,1,5.0,2024.04.16.,5.0,두번째 방문이에요! 학교 다니면서 라멘 먹고싶을때 오는 곳입니당 맛있어여
니모남편,4,3,5.0,2024.04.14.,5.0,츠케멘 처음 먹어봤는데 맛있어요 추천!
아이스아메리카노,3,2,3.0,2024.04.14.,5.0,저는 매운 츠케멘 먹었는데 맛있어요 국물이 굿
최영준,3,1,5.0,2024.04.12.,5.0,정말정말 맛있읍니다. 맥주랑 꼭 같이 드세요
박종훈,2,1,5.0,2024.04.12.,5.0,맛있습니당 또오겠습니당
배준희,2,1,5.0,2024.04.11.,5.0,라멘이 맛있고 분위기도 좋아요.
김선철,3,2,5.0,2024.04.11.,5.0,선곡이 너무 좋아서 일본분위기 제대로 느낄 수 있고요. 맛도 너무 맛있습니다. 언제 다먹었는지도 모르게 먹었네요
김재호,2,1,5.0,2024.04.10.,5.0,첫입 먹자마자 고등학생때 처음 먹었던 쇼유라멘의 추억이 떠오릅니다ㅠㅠ 다음에 또 올것 같네요!!#소유라멘
지민,3,1,5.0,2024.04.06.,5.0,진짜 맛있구 혼밥하기도 정말좋은가게같아요!재방문 의사 있습니당!!
예림,2,1,5.0,2024.04.05.,5.0,츠케멘 맛집이라 왔는데 마제소바도 맛있겠어요
람쥐의 도톨희를 뺐지마오,32,98,3.3,2024.04.04.,1.0,별점조작
지나갔던사람,21,41,3.8,2024.04.03.,4.0,"카라츠케멘(면 300g)+차슈추가.맵기는 삼양라면 정도 같고, 스프가 상대적으로 금방 식어서 스프가 부족해서가 아니라 식어서 뜨거운 스프를 추가하게 되네요.스프가 엄청 진하진 않아도 찍어먹었을 때 아쉽진 않았습니다. 물이나 스프추가 안해도 그냥 먹을만한 정도의 진함.전체적으론 아쉽지 않게 먹었습니다.추가로 많은 채널에서 리뷰이벤트 진행중입니다. 리뷰 보실때 참고하세요"
