user_name,user_rank,num_response,user_star,time,rating,content
HH,2,1,1.0,2024.04.09.,1.0,물에 이상한게 떠있어서 식혜인줄 알고 물어보니까 웃으면서 쓰던 물을 가져온것 같아요 이러고;; 거기서 1차 화났는데 양파튀김 상태가 저래서 여긴 못있겠다 싶어서 바로 계산하고 나왔습니다;;..
진선,4,2,1.0,2023.12.04.,1.0,완전 불친절 그 자체. 직원 나이도 젊어 보이는데 손님한테 반말 + 뭐 주문하면 표정이 매우 안 좋아서 손님이 눈치를 봐야함.
와압,25,48,3.5,2023.11.14.,4.0,가성비 굿. 로제떡볶이랑 깻잎튀김 맛있어요 맥주랑 잘 어울림 하이볼 종류는 다 별로였어요
날아라슈퍼보보,12,24,3.8,2023.05.09.,3.0,배부르고 술 더마셔야 할때 가면조그만 안주들 다양하게 먹을 수 있어서좋아요
치치헤이터,5,4,4.0,2023.04.12.,1.0,사장님이 손님이 좀 취했다고 욕을 걍 갈겨버리네요 ㅋ 서비스업 지립니다 ㅋ 꼭 쳐망하길 빕니다
ㅇㅇ,45,308,4.4,2022.09.16.,1.0,사장님 초면에 반말하심
Harin Harry Lee,21,97,3.9,2022.09.12.,1.0,반말 찍찍 하고비켜주세요도 아니고나와 는 뭐지?
맛집찾아헤매는중,18,28,3.1,2022.08.11.,2.0,다 좋아요.. 다 좋은데 서빙하는 알바생(남자분) 뭐 마스크를 아예 벗고 다니던데요먹고있는 손님인줄
뀨렛,27,155,3.9,2022.06.20.,4.0,체인점이라 기대안했는데 갠춘
하와이,26,95,4.0,2022.05.20.,3.0,"간술,"
🌻,9,25,4.3,2021.06.24.,4.0,
작성자,30,185,3.8,2020.11.05.,5.0,급형 최애술집
48472,32,292,3.5,2020.08.22.,4.0,가지튀김 굳
ropez,13,41,3.8,2020.02.23.,4.0,주문 힘들고 서비스 감안하고도 자주 찾는 집 술먹기 좋음 안주 계속 집어먹게 되는 집
서대문구대표돼지,72,832,3.3,2020.02.03.,3.0,안주 맛있음 식사느낌난다
miyeh,50,355,4.0,2020.01.13.,4.0,가지튀김 굳
냠냠이,33,329,3.4,2020.01.09.,4.0,근처의 상수점보다 여기가 맛남근데 엄청 시끄러워서 앞사람 말 안들림소리지르면서 얘기해야함
민솔,5,4,3.0,2019.12.27.,1.0,음식 가성비는 좋았으나 여자직원 굉장히 불친절함 ^^ 제발 관두길
Lucid_A,23,219,3.6,2017.11.19.,4.0,
