user_name,user_rank,num_response,user_star,time,rating,content
김나영,8,24,5.0,2024.04.11.,5.0,
내돈내산 솔직리뷰,26,63,3.5,2024.04.09.,3.0,돈까스 맛은 제 동네와 비슷한데 여긴 레몬즙이 있어서 뿌려먹으니 안물리고 맛있었어요옆에 진상 커플들만 아니었으면 최고였는데 왜 초면에 제 모자가지고 뒷담?옆담?하는지 모르겠네요 그래도 끼리끼리 사귄 것 같아 다행이에요☺테이블 간격이 너무 좁아서 불편했어요🥲그것빼곤 좋았어요:)
냐옹,18,88,3.8,2024.04.08.,5.0,
ㅇㅇ,3,1,2.0,2024.04.08.,2.0,"웨이팅하고 오꼬노미야끼동 먹었어요. 맛있게 먹고 있었는데 나이 좀 있으신 여자분 오시더니 옆 테이블 치우는 알바분들 옆에 서서 계속 쳐다보시다가 치우고 있던 테이블에 있는 다 마신 맥주병을 제 테이블에 툭하니 올리셨어요. 쳐다보실때부터 너무 불편했는데 정말 기분 나빴습니다. 저 말고 다른 혼밥하시는 분들한테는 안 그러시는 것 같았고, 런치 피크 타임인 12-1시도 아니었는데 왜 그러신건지 재방문 안 하고 싶네요. 알바분들은 친절했어요."
마포구 쩝쩝박사,33,89,3.3,2024.04.04.,4.0,엄청 뛰어난 맛은 아닌데 가격이 좋아요 요즘 기본 만오천 넘는데 치즈카츠 만원임
송혜원,1,1,5.0,2024.04.02.,5.0,진짜 너무 맛있어요 치즈돈까스 꼭 드세요..
맛 가격 친절,37,174,2.9,2024.03.23.,4.0,맛있음오꼬노미돈까스는 딱 생각하는 맛인데둘이 잘 어울리는지는 모르겠음히레/새우 가스는 가성비가 좋았음홍대 다녔으면 자주 갔을듯 함
맛집좋아함,15,36,4.0,2024.03.21.,3.0,솔직히 엄청난 존맛 아니고 그냥 가성비로 학생들 가기 좋은곳이었는데 너무 유명해져버렸어 … 원래도위치 좋고 가성비 좋아서 인기 많았는데 또간집 이후로 더 유명해져버려서 쉬이 발걸음이 닿지 않는 곳
호야,45,415,3.3,2024.03.10.,4.0,맛3/친절5/가격4/양3알바생이 일을 척척맛도 좋았어요 친절하고웨이팅까지는 흠흠
원유민,8,10,4.3,2024.03.07.,3.0,나쁘진 않았는데 그냥 저냥 평범한 돈까스였음...
나는 자유로운 영혼,23,35,2.9,2024.02.27.,3.0,그냥 평범한 돈까스 맛이에요. 사람들이 이렇게 웨이팅을 하는 건 역시 입지 때문이 아닌가 싶은 느낌이 들었습니다. 😅 잘 먹었습니다.
맛도리,11,65,3.0,2024.02.23.,3.0,등심 먹었는데 좀 느끼했어요
es,22,39,4.8,2024.02.22.,5.0,로스히레 먹었어요맛있습니당!웨이팅이 좀 고전적이긴 한데 미리 주문 들어가서 그런지 대기는 30분 좀 안되게 생각보다는 금방 빠졌어요
송승원,2,1,5.0,2024.02.08.,5.0,
박지선,11,7,3.9,2024.02.04.,4.0,대기는 금방 빠졌고요. 오코노미카츠랑 로스?히레?인가 머 시켰는데 오코노미카츠가 맛있었습니다. 다음엔 돈부리한번 먹어보고 싶어요
julia,7,8,2.6,2024.02.04.,1.0,"평점 보고 기대하고 웨이팅하며 먹었는데,평점 작업하시는건가 싶었어요.튀김옷은 두껍고, 고기도 부드럽지 않았어요. 가격값하는거 같고 일반 프랜차이즈 돈까스랑 별 다른 점은 못찾겠네요.제대로 된 일본식 돈까스 기대하시는 분들은 다른 곳 가시는 것 추천합니다."
효선,3,3,5.0,2024.02.03.,5.0,
-,3,1,5.0,2024.01.30.,5.0,제발 냉모밀 드셔주세요 진짜 제발 제가 먹어본 냉모밀중 최고입니다 육수가 좀 모자르다 느끼실 수 있는데 전 딱 적당하고 양도 엄청 많았어요... 벌써 3번째 방문임
먹숙이,41,147,4.4,2024.01.27.,5.0,춥고 시린날 돈까스 우동이 생각나는 맛집 거의 항상 웨이팅있을정도로 소문난 맛집 전형적인 일본풍 인테리어에 익숙한맛이지만 제주산 흑돼지라 그런지 돈까스 잡내없이 담백하고 맛있음!!
딩딩,31,112,4.3,2024.01.23.,5.0,맛있어요여름에 냉모밀 세트 굳굳
츄즈미,2,9,4.1,2024.01.22.,5.0,
양재호,1,10,5.0,2024.01.18.,5.0,
맛잘알,21,43,3.8,2024.01.14.,5.0,
캔디,6,8,5.0,2024.01.02.,5.0,돈까스 좋아하는데 먹어본 돈까스 중에 제일 맛있어요 우동도 존맛이에요!
Jangyu,11,26,4.3,2023.12.28.,5.0,돈까스가 바삭해서 맜있었다 ㅋㅋㅋㅋㅋ
써니,5,5,3.2,2023.12.27.,2.0,오꼬노미야끼돈은 먹을만한데 카레는 집에서 먹는 카레랑 맛이 똑같음. 대기시간이랑 음식 나오는 시간이 엄청 오래 걸림.
ㅇㅇ,4,31,4.0,2023.12.20.,4.0,
🎈,41,182,4.1,2023.12.18.,5.0,가성비가 매우 넘치고 맛도 좋아요 좋습니다
김락현,3,6,4.5,2023.12.14.,5.0,돈까스 맛집이에요 맛있어요
박규원,7,4,4.8,2023.11.27.,5.0,
장새결,2,10,3.0,2023.11.18.,5.0,맛집 원탑
카맵신봉자,39,280,4.5,2023.11.14.,3.0,"가성비는 좋긴한데 웨이팅해서 먹을정도로 그렇게 인상깊진,, 않다 직원도 불친절. 맛은 평타"
thuy,42,222,4.8,2023.11.11.,5.0,
홀리,5,5,4.8,2023.11.09.,4.0,원래도 웨이팅 길었는데 또간집에 나오면서 더 인기가 많아진 것 같네요ㅋㅋㅋ 정말 맛있긴한데...이렇게나 웨이팅할정돈가 싶은 생각이 들기는 했어요ㅠㅠ 그치만 양을 정말 많이 주시고 샐러드를 함께 주셔서 애정하는 집입니다ㅎㅎ 늘 사람이 많아서 언제쯤 다시 갈 수 있을지..
