user_name,user_rank,num_response,user_star,time,rating,content
🫥,42,386,3.7,2024.04.24.,5.0,돈까스가 깔끔하다못해 청량함.. 어케했지돼지잡내가 하나도 안나요그리고 카레 꼭 추가해서 드세요
dd,17,27,1.7,2024.04.17.,1.0,히레카츠를 주문했는데 그냥 등심으로 시킬것 그랬나봐요. 덜익혀서 나온 돈까스를 처음에 맛봤어요. 직원분께서는 설명을 해주셨는데 (원래 그렇다는) 근데 저는 잘 못알아 들었고 눈앞에 안익은 고기를 베어물은 기분에 열이 오르고 속으 너무 안좋아서 식사를 못할것 같았어요. 좀 더 익혀주신 후 식사를 했는데 다행이 다 먹을 수 있었습니다. 올리브오일과 소금에 같이 찍어서 먹는게 저는 제일 좋았어요.아무래도 여기 히레는 저와 안맞는것 같아서 다시 재방문의사는 없을것 같습니다! 고기가 부드럽다는 장점 외엔 핏물 나오는 히레는 너무 싫었어요.저처럼 비위 약하신 분들은 호불호가 갈릴것 같습니다.
최고심이,37,194,3.0,2024.04.14.,4.0,웨이팅5팀 20분 기다렸어요앞으론 미리 대기 걸고 가려구요너무너무 맛있게 저는 잘 먹었습니다이런 질감의 돈까스는 처음인데 넘 맛잇엇어용위치가 좀 애매하게 멀지만 다음에 합정간다면 또 갈 용의 이씀돠
이경민,2,3,2.7,2024.04.13.,5.0,
장슐랭가이드,14,23,4.7,2024.04.05.,1.0,살면서 처음으로 식어서 나온 돈까스를 먹어봄. 너무 식어서 표면이 말라있음...? 내 돈 내 시간 내 기분 돌려내
마크투비,21,29,4.6,2024.04.02.,5.0,"튀김옷이 얇고, 바삭한 편은 아니다. 고기는 엄청 부드럽다. 로즈마리 올리브오일+핑크솔트+와사비에 찍어먹는 게 진짜 미친 맛이다...조각도 큰 편인 것 같고, 샐러드도 엄청 많이 주고, 밥도 그릇에 꽉꽉 채워서 줘서 돈카츠집 중에 가장 배부르게 먹은 것 같다. 밥은 또 엄청 꼬들꼬들해서 미소국에 말아먹는 것도 진짜 맛있었다."
ㅇㅇ,5,7,3.4,2024.04.01.,1.0,안심 맛이 있긴 한데 그렇게까지는 잘 모르겠음 좀 많이 익힌 듯한 기분 딱 한 번 가볼만은 한 것 같기도 한데 두번은 안 가볼듯
에타르트,12,22,5.0,2024.03.25.,5.0,가격대는 있지만 맛은 최고인 돈카츠
이지호,8,9,2.8,2024.03.24.,5.0,
정준희,3,2,5.0,2024.03.22.,5.0,진짜맛있음
산,5,1,1.0,2024.03.21.,1.0,"오픈키친 구성하셨으면 최소한 깔끔한 척이라도 하심이 어떨까요?앞에 다른 손님이 에어컨 온풍 바람이 너무 얼굴 정면으로 와 날개를 조정해달라고 직원분께 요청하셨습니다.가운데서 검은색 라텍스 장갑 끼시고 밑반찬 작업 및 카츠 썰기 하시던 분그 장갑 그대로 에어컨 날개를 잡아 조정하시고 바로 마저 하시던 샐러드 담기 하시더군요. 하다가 모자를 고쳐써야겠다고 생각하셨는지 모자를 정리하시면서 튀어나온 옆머리를 긁습니다.그러고 다시 고추장아찌? 츠케모노 를 담다가, 이번엔 찬장에 있는 포장종이를 꺼내야되는지 다시 한 번 그 장갑 그대로 박스채로 꺼냅니다. 그 더러운 황토색 포장박스요.그 후, 장갑 변경 없이 그대로 제 카츠를 썰어주셨습니다.부디 개선되기 바랍니다."
jy,19,10,3.3,2024.03.20.,3.0,요즘 유튜브에서 핫해서 가봤다안심은 맛있었지만등심은 그냥 그렇다색과 다르게 너무 퍽퍽하고 영 아니었다
평식,16,40,2.5,2024.03.06.,3.0,모둠이랑 특로스 시켜서 먹었는데 로스가 제일 좋았지만 전체적으로 맛은 모두 굳(4.5/5)그러나 공간이 협소하고 웨이팅 때문에 가게 직원들 눈치를 볼 수 밖에 없고 직접적으로 힐끔힐끔 보고가는게 편안하게 식사하기에 불편했음
