user_name,user_rank,num_response,user_star,time,rating,content
두룹,2,2,5.0,2024.04.05.,5.0,
ZG,20,144,3.0,2024.04.04.,4.0,
굴자,27,85,3.6,2023.10.09.,3.0,가게 내부에 환기수단이 적절치 않아서 사람이 많을땐 조금 힘듭니다. 규카츠는 무난하게 맛있었습니다
-,12,13,4.1,2023.09.15.,3.0,"왜인지 고기에서 어떤 풍미도 느껴지지 않았습니다. 가격대비 돈아깝다는 생각이 듭니다. 그리고 규카츠 먹고있는데 사장님께서 30분 지나면 불 꺼지니까 여유있게 구우라고(=빨리 올리라고) 하신 걸 보니 불 꺼져도 교체 안 해주시는 것 같았습니다. 여쭤보진 않아서 확실한 건 아니고요! 암튼 그래서 빨리 먹는다고 먹었는데 불판이 결국 식어서 마지막 두조각은 못 먹고 나왔네요,,, 드시러 가실 분은 불판에 고기를 엄청 많이 올려서 빨리 익히시길... 같이 나오는 소스는 맛있었습니다."
oL,30,71,4.8,2023.08.03.,4.0,일본에서 먹은 규카츠의 맛을 기대하고 갔는데 그정도는 아니네요. 직원분이 참 친절하십니다.
최은샘,5,4,4.0,2023.05.16.,4.0,
민준/에스,4,1,5.0,2023.05.12.,5.0,서울 올라갈 때마다 홍대 들러서 먹는 맛집!!사장님도 친절하시고 알바분이 새로 오셨던데 응대도 잘해주세요!
보리보리쌀,25,61,4.1,2023.05.07.,3.0,브레이크타임이 없는게 아주 좋네요애매한 시간에 식사 하러 가서 잘 먹었습니다다만 노래 소리가 너무 큼...
이름은 비워둘 수 없습니다,22,38,4.0,2023.04.22.,4.0,일식집은 보통 브레이크 타임이 있는데 여기는 없음. 그것만으로도 반은 먹고 들어감 근데 오랜만에 먹으러 갔는데 튀김맛이 약간 달라진 것 같아요 맛없다는 뜻은 아니에요 규카츠가 어떻게 맛없을 수가 있겠어요...
ㅋㅆㅇ,37,695,3.8,2023.04.04.,3.0,
정답,5,8,4.0,2023.01.05.,5.0,규카츠 개맛잇음 ㅠㅠ 사장님도 친절하시고 하이볼 꼭드세요 이제 여기 우매하이볼 먹으러갈듯
먹기위해사는사람,61,854,3.3,2022.12.05.,3.0,200320 : 굳이 두번 올 정돈 아니지만 그래도 또 온다면 스테키동 먹어보고싶네221205 추가 : 스테키동 먹었는데 맛있지만 밥이 너무 질어서 놀랐음. 그리고 밥에 비해 고기가 넘 적은데 고기 추가가 안되는게 아쉽 ㅜㅜ 남은 밥을 먹을 밑반찬이 짱짱한것도 아니고....
서윤,11,11,3.2,2022.11.03.,1.0,내가 규카츠 한두번 먹어보는것도 아닌데 고기 올리라고 강요하는곳은 처음이네 다른곳은 불 꺼졌다하면 그냥 해주시는데 여기는 불 다시 붙혀주면서 빨리드세요 이러심 진짜 어이없다 다른곳 가세요
ㅇㅇ,45,308,4.4,2022.10.23.,5.0,둘다 맛있음
@dooreej@myuu._.myuu,33,95,4.8,2022.08.25.,5.0,규카츠랑 스테키동 둘다 맛있음
밀짚모자,36,269,3.3,2022.08.15.,4.0,규카츠 아주 맛있습니다.스테이크동도 맛있구요.근데 좀 짜요.
unknown,10,18,3.8,2022.07.09.,5.0,
보라,26,626,4.2,2022.05.23.,3.0,
SKY,4,2,3.0,2022.05.06.,1.0,홀 직원도 메뉴판 휙 놓고가고 주문 받을 때도 대답도 안하시고 그 때부터 기분 상해있었는데 주문하고 기다리는데 저희보다 늦게오신 분들 계속 먼저 드리길래 얘기했더니 사과는 없으시고 헷갈렸다는 둥 튀기는데 2분이면 된다고 말씀하시면서 30분을 기다린게 말이 되나요? 유명 맛집도 웨이팅 30분이면 먹을까 말깐데 뭐하자는건지 ?
깝김,21,37,4.6,2022.03.26.,4.0,맛은있지만 너무비싸ㅠㅠ
‘,13,15,4.7,2021.09.28.,5.0,"여기 가격도 싸고 규카츠 ㄹㅇ JMT 근데 직원들이 너무 무뚝뚝함 ㅇㅁㅇ,,,"
횬,14,17,3.9,2021.09.10.,4.0,냄새랑 맛은 너무 맛있었어요 양념 안찍어먹고와사비랑만 먹었습니다 지금 또 먹고싶을정도인데ㅠㅠ친절도는 그냥그랬습니다 ㅎㅎ
did,6,3,2.3,2021.08.27.,1.0,바쁜시간에 간거도 아닌데(4시쯤) 환기 하나도안되고 주방에서 탄내남 맛도 그냥그랬어요
ㅋ,15,33,3.2,2021.06.29.,3.0,맛집인지 모르겠음 규카츠는 별감흥없고스테이크덮밥은 짜다
한맥보다클라우드,40,414,3.6,2021.06.22.,3.0,알바가 딱히 친절하지도 않고... 양이 풍부하지도 않은 그저 그런 곳
꿀태,2,2,5.0,2021.06.06.,5.0,스테키동 ㅁㅊ음..
맛잘알소식좌,36,321,3.5,2021.03.31.,4.0,고기가 부드러워요
강한빈,11,11,3.9,2021.02.13.,5.0,정갈하고 고기가 부드러웠어요. 특히 와사비가 잘 어울려요. 제가 먹어본 한국 규카츠 가게들 중에서 제일 괜찮았어요.
찐후기,31,100,3.4,2020.12.19.,5.0,
djakancmcmmkkcbzvz,39,493,3.2,2020.08.25.,2.0,튀김옷이 너무 부셔짐 ㅠ
우장산오소리,27,365,4.6,2020.07.20.,4.0,
평범한직장인,5,4,1.0,2019.11.17.,1.0,"예약하려고 전화했더니, 수화기 내려놓고 아무런 답변도 없으시고 짜증내는 소리만 들리고 끊었다가 다시 전화거니까 수화기 내려놓으셔서 그런지 통화중이라고 뜨네요. 하하. 바쁘시면 바쁘시다고 말씀해주시지 그러셨어요."
여행,28,51,2.8,2019.04.21.,5.0,맛있음. 일본 이케부쿠로 이로하였나? 규카츠는 거기서만 먹어봤는데 거기 거에 뒤지지 않는다 생각했음. 맛있음:9 서울에서 규카츠를 먹고 싶다면 여기임.
홍꼬꼬,2,4,5.0,2018.11.17.,5.0,
최혁,24,147,4.2,2018.08.19.,4.0,처음 먹어본 규카츠..훌륭훌륭
