user_name,user_rank,num_response,user_star,time,rating,content
윤정미,3,2,3.0,2024.04.04.,1.0,아메리카노가 너무 맛없어서 다 버렸어요. 게다가 6천원이라니요.
연근튀김,41,203,4.0,2023.12.25.,4.0,여기 음료 맛있어요초코라떼 기대 안 하고 있었는데 의외로 맛있었어요
★,21,43,4.7,2023.11.01.,5.0,
민정💙,15,34,4.4,2023.08.29.,5.0,음료가 맛있어요!!
유효상,22,137,3.1,2023.08.16.,1.0,영업 안 함
고양이,4,6,2.7,2023.06.12.,5.0,
우리,2,1,5.0,2023.05.15.,5.0,
이민주,14,16,4.3,2023.05.01.,5.0,녹차라떼가 찐맛집👍 위에 아이스크림도 올려주시고 밀크폼도 올려주심.. 여기 라떼는 다맛있구 프라페도 부드럽고 맛남 얼음양이 적고 많이 안달아서 술술넘어가..ㅎㅎ 케이크도 짱부드럽고 맛있음 냉동맛 진짜 싫어하는사람인데 그런맛 안나고 직접만든듯한맛이 남 분위기도 좋고 이쁘고 사장님도 친절하심..💖여긴 무조건 재방문의사 있음 ㅇㅇ
많이 놀러다님,26,61,4.3,2022.04.07.,5.0,생카 갔었는데 음료 대존맛.. 스타벅스 딸기음료랑 똑같은맛났어요 근데 양 더 많고즐거운 추억 선사해주셔서 감사합니다
김정은,2,8,4.6,2021.09.11.,5.0,
카렌,2,1,5.0,2021.03.30.,5.0,"음료 너무 맛있고 분위기 최고에요ㅠ사장님도 완전 친절하세요 ㅎㅎ초코라떼, 아메리카노 강추!"
🐯🐯🐯,1,1,5.0,2021.02.17.,5.0,카페도 너무 아늑하고사장님 너무 친절하시고커피 향도 좋고 너무 맛있어요! 홍대가면 또 찾아갈게요~
tlrqkd,4,3,2.3,2021.01.26.,5.0,친절해요!! 이멘트 때문에 갔었는데 특히 한 지리에 돌상 차려지는거 너무 귀여웠어요 ㅋㅋ 그리고 쿠키도 진짜 너무 귀엽구 ㅜㅜ갈때마다 매우 바쁘신데도 엄청 친절해서 좋았어요!!
J.MIN,1,1,5.0,2021.01.23.,5.0,며칠전에 친구랑 같이 가서 (카페 앉아본지가 얼마만인지ㅠ) 아아랑 초코라떼 마셨는데 둘 다 맛있었어요! 특히 초코라떼는 존맛ㅠㅠ 생크림위에 글씨도 귀여웠어요ㅋㅋ 여기 카페도 이뻐서 셀카맛집이네요ㅋㅋ
김다연,10,9,2.2,2020.08.08.,2.0,음료 맛없고 너무 비싸요
민트,21,35,3.4,2020.06.13.,1.0,사장님 아무리 아이돌 이벤트 카페라지만 어떻게 쪼그만 마카롱이 오천원이에요? 이건 좀 심하네요. 다신 안갈게
토구치 미키,1,1,5.0,2019.12.04.,5.0,
미송,11,8,4.9,2019.11.22.,4.0,잠시들려서 본거였지만 분위기는 좋았어요!3층이라 찾기 좀 어려웠던거랑 캐모마일을 시켰었는데 차가 좀 연했던게 좀 아쉬웠던거같아요그래두 그냥 지나쳤을법한 카페를 생일 이벤트 덕분에 들려서 구경하게되어 좋았습니다:)
뿌엥,6,3,3.7,2019.11.17.,1.0,아이돌 카페인줄 모르고 갔지만 음료라도 맛있었으면.....
♡,2,1,5.0,2019.08.27.,5.0,
