user_name,user_rank,num_response,user_star,time,rating,content
재모,2,1,5.0,2024.02.09.,5.0,분위기 좋은 카페에서 책도읽고 커피도 마시고너무너무 좋았습니다그리고 입구에 있던 핸드크림이 너무 좋아서 그런데어떤제품인지 알수있을까요..?
맛미새,13,20,4.4,2024.02.01.,5.0,카공하는 분들도 많고 카페도 크고 좋았어요까뉼레 맛집인정띠~근데 커피는 좀 맛없 ㅋㅋㅎㅎ^^그래도 재방문의사 왕왕많음~~~~ 굿굿
박재찬,47,330,3.9,2024.01.07.,5.0,비스킷슈~  와우 이정도면 일본보다 퀄리티 좋은것 같습니다.잘 먹었습니다. 밀크티도~
칸쿤,17,5,4.8,2024.04.24.,5.0,
우키키,4,3,5.0,2024.04.20.,5.0,여기 쿠키슈 정말 맛있어요! 인생 쿠키슈로 인정하겠습니다!! ㅎㅎ 공명라떼도 너무 달지 않고 크림의 부드러운 맛이 잘 어울려요! 강추합니당👍
냐냐,22,44,2.9,2024.04.15.,5.0,밀크티 맛 괜찮고 직원분들 친절하신데 많이 시끄러워서 공부하기에는 조금 아쉬워요
뇽뇽이,13,21,3.9,2024.04.01.,5.0,분위기도 좋고 책읽거나 공부하기 좋아요! 디저트도 너무너무 맛있어요.. 스콘 꼭 드셔보세요!
됴,24,104,4.1,2024.03.21.,3.0,디카페인 가능 😃
POW!,32,85,1.7,2024.03.19.,4.0,"다 좋은데 주문할 때 불편한 점이 있어서 별1개 뺏습니다 연남점 주문데스크가 메뉴판위치 문제인지 아무튼 좀 주문시에 줄서기가 복잡한 느낌인데요,직원분들이 주문하는 손님들 줄이 섞여있거나 너무 앞쪽에 간격도 없이 뭉쳐서 혼란하게 섞여있으면 줄 제대로서라고 좀 간격두고 서로서로 떨어지라고 정리해줬으면 좋겠습니다.이런거 손님이 직접 말하면 싸움날수있어서..아니 근데 진짜 궁금한데 왜 자기 남친여친도 아닌 생판모르는 다른사람 등뒤에 등딱지처럼 딱 달라붙어서 남의 귀에 대고 ""난 공명라떼!!!!!!!오빠능????!!!!!!!크뤼이임 이것도 맛있겠따아아악!!!!!""소리지르는거임?님이 하도 뒤에서 바락대서 나랑 직원이랑 대화가 안 되잖아저는 그거 안먹어요 아메리카노 먹을거에요 님 메뉴 안궁금해요 좀 떨어지세요 제발님 여친남친한테나 몸 딱붙이고 귓가에 속삭이세요 제가 좋아요? 저는 님이 시러요..제발 붙지마세요"
시은,2,3,4.0,2024.03.11.,4.0,
진실된 리뷰만 남깁니다.,20,42,3.2,2024.03.11.,5.0,분위기좋고 이뻐요 맛집
(;),8,5,4.2,2024.03.08.,5.0,"메뉴는 스콘 위주 디저트가 있고 음료는 논커피 종류가 꽤 있어요. 디저트가 엄청난 맛은 아니지만 나쁘지 않아요. 다음엔 아예 안 먹겠다 아니고 먹을지 고려할만한 정도? (근데 단거 좋아해서 항상 시킴..) 아 그리고 남친/여친이랑 가면 스콘 먹을 때 조심하세요 자르고 입에넣을때 좀 추해보일 수 있기 때문..라떼도 맛있는 편이에요. 직원분들이 친절하셔서 가끔 오고싶다 생각이 들더라고요. 내부가 넓고 층고도 높아서 더 크게 느껴지고요. 다만 좌석이 스벅처럼 낮고 나무테이블들이라 편하진 않아요. 1인 자리보다 여러 명 앉을 자리가 대부분이고요. 잔잔한 분위기라 책을 읽을 수 있는 분위기지만, 개인적으로 오랫동안 카공은 좌석 때문에 힘들 듯해요(그래도 카공하시는 분들 꽤 계심). 저는 혼자만의 여유를 느끼고 싶을 때 종종 찾아옵니다"
djskz,4,34,1.8,2024.03.06.,1.0,개 비싼데 맛있고 친절
지용,5,12,4.8,2024.03.01.,5.0,
Z,13,29,4.2,2024.02.21.,5.0,
5점 잘 안 준다,64,206,3.9,2024.02.06.,4.0,슈 너무 맛있어요커피는 살짝 아숩…
점수 잘주는 애,22,28,4.8,2024.02.04.,4.0,"2월 4일(일) 오후 2시 살짝 전 방문했습니다아메, 솔티드카라멜 스콘 (10,300원 / 각각 가격은 기억이 안납니다) 커피는 산미가 강하지 않고 부드러운 느낌이였습니다탄 맛이 없어서 좋았으나, 향은 좀 약한 느낌입니다호불호 없이 괜찮을 것 같습니다스콘은 진짜 수준급이네요카라멜 따로 먹어도 소금의 짠맛과 카라멜 단맛이 잘 느껴졌습니다. 중앙에 크림도 있는데 스콘 바삭함이 살아있어 아주 맛있었습니다디저트에 신경을 쓰는 것 같다고 개인적으로 생각해봅니다..다만, 긴 다리 의자 책상 자리 책상이 심하게 흔들거립니다제 옆자리 분 책상도 흔들리더라구요또한 4인 이상 자리 쇼파 가죽이 벗거져있던데 눈으로 봐도 티가 좀 나서 미관상 별로였습니다주말 피크타임에 가서 손님이 많아 소음은 좀 있는 편이였습니다.소음 분산이 잘되는 편이긴 했는데 시끌한건 어쩔 수 없네요재방문은 하고 싶은데 평일이나 주말 오픈시간에 맞춰서 올것 같습니다"
뿌잉,22,59,5.0,2024.01.23.,5.0,디저트 존맛탱
강현주,2,1,4.0,2024.01.23.,4.0,딸기 케이크 맛집입니다. 2층이라 탁 트인 뷰가 좋습니다. 카페 내부는 아담하고 협소한 편입니다. 의자가 좀 불편해요.
누누,14,21,4.8,2024.01.22.,5.0,카페 내부도 넓고 좌석도 편했어요 그리고 무엇보다 테이블이 너무 붙어있지 않아서 좋았어요 ㅎㅎ 주말 홍대였는데도 친구랑 오래오래 수다떨기 너무 좋았습니당!!직원 분도 친절하셨고 커피랑 베이커리도 괜찮았어요!
김영수,3,8,3.3,2024.01.21.,4.0,
김씨,6,2,5.0,2024.01.20.,5.0,후기 귀찮아서 잘 안다는데 만족스러워서 달아요.디저트로 초코나무숲 스콘 먹었는데 초코크림 꾸덕해서 아메리카노랑 잘어울려요~직원분들도 매우 친절하셔서 좋았습니다.1인자리도 많아서 혼자서오기도 좋은것같습니다.(대신 인기가많은지 오늘만그런건지..  주말 13시이후에는 사람이 거의 꽉차는듯합니다)+사람이많아 찍진못했는데 공부할수있는 코드있는 긴좌석(스타벅스 등에서보이는 마주보는 긴테이블(콘센트있음))이 중앙에 있긴하나조용히 공부할 분위기는 아닌거같아요!(카페가 이야기or데이트장소로 괜찮은지 이야기하는 사람이많기때문) 가볍게이야기하면서 하는 과제나 데이트하기엔 괜찮아 보입니다.기회되면다른 공명지점도 근처에 있던데 한번가봐야겠어요!
니엘,8,12,5.0,2024.01.01.,5.0,쿠키슈랑 까눌레가 맛있었어요
율,4,5,5.0,2023.12.24.,5.0,현 여친과의 첫 데이트를 이곳에서 했습니다커피도 맛있고 디저트도 맛있네요물론 분위도 아주 좋습니다
앤지,14,67,3.8,2023.12.22.,3.0,
dd,16,48,4.1,2023.12.19.,5.0,넓고 분위기 좋아요
엱,41,200,4.4,2023.12.17.,4.0,주말이라 사람 많은거죠..?베이커리 무난하게 맛잇어요산미커피도 깔끔
cinamonee,45,205,4.7,2023.12.07.,5.0,베이커리 류는 무난무난해용 -직원분들이 넘 친절하셔서 좋네요 ! 🤎
돌아서면배고파,12,20,4.6,2023.11.26.,4.0,잠깐 있었지만 분위기는 좋았어요. 주말이어서 그런지 붐비고 배달도 끊임없이 오는듯
Dream Walk,57,293,4.1,2023.11.23.,3.0,출판사가 운영하는 카페라서 그런지 책과 잘 어울리는 듯한 분위기가 좋았습니다.
감자곰도리,7,5,5.0,2023.11.13.,5.0,
배고픔,11,10,3.9,2023.11.05.,4.0,공명라떼가 정말 맛있는곳입니다. 조금 무거운크림이 위에도 얹어있고 안에도 있어서 크림단독으로먹고 섞어서 먹어도 맛있습니다.카페 자체가 넓고 카공하시는분들 위해서 콘셉트 자리도 많고 베이커리가 많아 즐기기 좋습니다.다만 책상과 의자가 삐걱대서 조심하셔야합니다.
김영춘,40,685,2.8,2023.10.30.,3.0,넓고 쾌적
진경로,2,5,5.0,2023.10.14.,5.0,
임애진,7,5,3.2,2023.10.09.,5.0,까눌레 진짜 너무 맛있었어요…매장은 넓고 가운데 있는 테이블엔 콘센트도 있어서카공하기 딱 좋았습니다!수다떨기에도 좋았습니당조용한 카페는 아니라서 집중해서 공부하는 분위기는 아닌 것 같아요.
작고소중한주말,15,18,4.7,2023.10.04.,3.0,공부하기 좋은 카페라고 해서 갔는데 사람 많고 시끄러움ㅠ 디저트는 맛있다👍
찐맛집만 찾아다니는 연남동주민,15,24,3.4,2023.09.10.,2.0,개인적으로 2020년도의 공명 분위기가 그립다. 그때는 공간도 널찍하고 조용하고 정말 이름에 걸맞는 카페느낌이었는데.. 지금은 그냥...
감튀조아,23,28,3.9,2023.09.09.,4.0,디저트 맛있게 먹었어요!근데 주말에 갔더니 사람도 너무 많고 시끄러워서 기가 많이 빨렸어요…사람이 많으니 음료 시킬 때 대기 줄도 있었고 이야기 할 때 말소리가 안들리기도 해서 아쉬웠습니다다음엔 평일에 들려보려고 해요
.,2,1,3.0,2023.09.03.,3.0,스콘은 맛있는데 벽에 붙은 날파리가 짱 많아요..
더해밀,8,9,2.7,2023.09.01.,2.0,스콘은 맛있으나 가성비는 떨어짐.커피는 완전 비추. 왜 그런 원두를 쓰는지 모르겠음. 완전 맛없음(개인의견임) 차라리 코스트코에서 파는 원두 내려먹는게 나음. 돈 정말 아까움.초코나무스콘은 흔치않은 맛임.
