user_name,user_rank,num_response,user_star,time,rating,content
のんちゃん,42,177,4.3,2023.09.18.,5.0,넓고 친절하고 맛있고! 비주얼도 맛도 굿굿슈랑 마들렌 진짜 넘 맛있어요!!
신통,26,55,4.6,2023.08.25.,5.0,주차는힘들지만..ㅋㅋ그래도 분위기!! 맛!!  최고였어요.특히 공명라떼!!!!!!! 어디서도먹을수없는특별한 라떼였어요
천성주,22,75,4.9,2023.06.29.,5.0,연남점 가밨는데 홍대점은 아애 다른 느낌이라 몰라 볼뻔했어요ㅋㅋㅋ 야외테라스도 있고 옥상에도 테라스 있고 사람이 많았는데 자리가 넉넉하여 좋더라구요
김정모,3,2,2.0,2024.04.24.,3.0,분위기는 좋은데 빵류 퀄리티가 그리 좋진 않습니다. 휘핑크림 퀄리티도 안좋아 크림이 들어간 커피나 빵류는 비추천드립니다.기본메뉴 위주로 주문하시면 그냥저냥 평범한 맛에 분위기 좋은 카페로 즐기실 수 있을 것 같네요.
McGill,2,3,2.7,2024.04.10.,4.0,
무무,23,54,4.2,2024.04.07.,3.0,"친절, 분위기, 테라스 👍스콘은 딱딱해서 먹기 힘들었는데 반으로 쪼개먹으니 그나마 괜찮아요.옆카페랑 음악이 동시에 각자 나오니까 정신이 없어요. 테라스분위기가 좋고 사람들 얘기하는 소리로 카페가 채워지니 동시에 음악이 나올바에 차라리 옆카페에서만 음악이 나와도 괜찮을것 같아요 😂날좋은날 테라스 가고싶은분들은 고고"
dp24,17,44,3.5,2024.04.01.,4.0,"스콘이 생각보다 많이 딱딱해서 아쉬웠지만, 공명라떼는 아인슈페너에 시나몬슈가 듬뿍 느낌이라 맛있었어요 그리고 직원분들이 친절했어요"
지용,5,12,4.8,2024.03.01.,5.0,
페더,6,10,4.3,2024.02.25.,4.0,우드톤 분위기 좋아요 까눌레도 맛있었어요사람이 많아서 좀 정신없긴 했습니다 2층 올라가는 계단은 좁고 가팔라서 위험하게 느껴져요 난간이나 손잡이라도 만드셔야하는 거 아닐까 싶습니다 그래도 다른 점들은 좋았어요~
Z,13,29,4.2,2024.02.21.,5.0,
psy,22,59,4.3,2024.02.01.,2.0,"커피맛도 그냥,빵도 흔한 맛,공간도 그냥그냥,입구만 이쁜 곳,재방문의사 0%"
