user_name,user_rank,num_response,user_star,time,rating,content
먹짱,5,8,4.5,2024.03.23.,5.0,"일단 조용해서 너무 좋아요!! 홍대 시끌벅적한 거리에 지쳤을 때 쉬어가기 좋아요. 마리아쥬 차를 팔아서 잘 마셨고, 쿠키를 서비스로 주셨는데 맛있게 잘 먹었어요. 최고🤭👍"
가을바람,14,49,5.0,2024.03.14.,5.0,진정한 케이크 맛집
홀록,5,3,3.7,2024.03.12.,5.0,딸기케잌도 맛있긴한데 딸기요거트스무디 개존맛이니깐 다들 먹어보시길. 귀찮아서 사진 안찍었는데 너무 맛있어서 먹는 중간에 찍음. 꾸덕하고 진짜 맛있음
kyle sheeran,5,6,5.0,2024.03.08.,5.0,친구들이랑 조각케이크 각각 가져오기해서 두 조각 사갔는데 인기 넘 좋았어요ㅎㅎ 사진에서 젤 가까운 레몬요거트케이크🍋🍋랑 딸기 프레지에 케이크였는데 너무 맛있었어요~~ 담에 홍대 갈때는 커피도 마시러 또 방문할게요 서비스도 넘 감사했습니다🙆‍♀️🙆‍♀️
이여운,16,23,5.0,2024.02.14.,5.0,딸기 케이크 맛있고 라떼도 고소하고 맛있어요! 서비스 쿠키도 주십니다
💭,16,19,3.8,2024.02.09.,5.0,
이아현,5,5,5.0,2024.01.31.,5.0,여기 케이크 진ㅉㅏ 맛있어요 여기서 사서 선물하면 다들 좋아하더라구요. 딸기케익 칭찬이 많은데 그럴만해요 크림이 진짜 대박👍 레몬케익이랑 단호박도 정말 좋구요 바나나 푸딩도 되게 맛있으니 다들 한 번쯤 먹어보셨음 해요
잉가,25,81,3.8,2024.01.29.,5.0,딸기케이크맛집입니다 …….
코코,22,39,4.1,2024.01.26.,5.0,딸기케이크는 여기가 찐이래서 크리스마스에 2판이랑 다쿠아즈 사갔는데 넘 맛있었어요 ㅋㅋㅋ 딸기프리지에케이크 꼭 먹어야하고 티중에 웨딩임페리얼 !! 이거 있는카페 많지않은데 향이 너무 좋아요 서비스로 주시는 사브레쿠키 넘 맛두리
치즈호떡,21,25,5.0,2024.01.25.,5.0,사장님 너무너무 친절하시고 커피랑 디저트(밀크티쇼콜라) 둘다 맛있었어요🤤서비스로 주신 쿠키도 맛있었습니당 ㅎㅎ좌석이 5-6개밖에 없긴한데 그래도 그렇게 좁지 않고 괜찮았어요!
라우로렌,3,2,3.5,2024.01.14.,5.0,원래 리뷰 안 남기는데 너무너무 맛있어서 남겨요!!! 얼마 전에 먹고 계속 생각나서 2주만에 재방문 했습니다유일하게 저 혼자 한 판 다 먹을 수 있는 케이크예요 사장님도 친절하시고 카페 분위기도 좋습니다밀크티맛 좋아하는 친구는 밀크티쇼콜라도 맛있다고 갈 때마다 먹어요!ㅎㅎ
냠냐밍,6,4,4.3,2024.01.03.,5.0,맛 서비스 위치 가격 모두 흠잡을데 없습니다. 딸기 래밍턴 피스타치오 다쿠아즈랑 딸기 프레지에 인생 디저트
헬로,14,148,3.5,2023.12.27.,4.0,
우니,27,61,3.9,2023.12.26.,5.0,딸기프레지에 크리스마스 케이크로 예약해서 먹었어요...싱싱한 딸기가 조각도 아니고 통으로 속까지 꽉꽉 들어찼어요. 크림도 느끼한 버터크림(무슬린) 아니고 커스터드 듬뿍 넣은 크림이라 너무 좋았어요. 딸기 다쿠아즈도 픽업하는 길에 홀린듯 사서 먹었는데 솔직히 케익보다 이게 맛있었어요.... ㅋㅋㅋㅋ 짱!!!
무요,11,15,4.0,2023.12.21.,5.0,케익 두종과 다쿠아즈 먹었는데 다 존맛 다쿠아즈는 망고크림 들어간 거였는데 케익 포장하니까 서비스로 주셨다 실화?매장자체는 크지않지만 좌석을 넓게 배치해서 번잡하지 않고 대화나누기 좋다
x,3,4,3.8,2023.12.14.,5.0,
냉철한입맛,43,503,3.7,2023.12.10.,4.0,프레지에랑 다쿠아즈 먹어봤는데 과일도 신선하고 크림도 맛있어서 좋았습니다가격은 살짝 아쉬워요
죨디,13,29,4.1,2023.12.06.,5.0,"다쿠아즈 먹고 싶어서 방문했는데찾아간 시간이 아깝지 않을 만큼 맛있었어요!폭신하고 / 단 맛 강하지 않은 것 좋아하시는 분들은 무조건 만족하실 것 같아요!!사장님 친절하시고 ~ 매장도 청결 , 화장실도 내부에 있습니당~~*^^*"
휴,22,69,3.4,2023.11.14.,4.0,케이크보다(프레지에) 다쿠아즈가 더 맛있다다쿠아즈에 4점
만듀,12,491,3.8,2023.11.13.,5.0,
은누리,6,10,2.2,2023.11.04.,1.0,아이스라떼 시켰는데 커피가루도 엄청들어가있고 무슨 바닐라라떼인줄... 커피마시다가 목에 커피가루걸려서 커피는별루네요.
디저트조아,24,73,4.2,2023.10.29.,5.0,다쿠아즈 원탑
추,3,3,5.0,2023.10.23.,5.0,케이크 존맛 사장님도 친절해요 여기서 먹으면 실패는 안합니다
지니,3,14,5.0,2023.10.19.,5.0,바나나푸딩 짱맛
oO,9,12,4.8,2023.10.11.,5.0,사장님이신 것 같은데 그때 계셨던 분이 기억에 남을 정도로 친절하셨어요! 디저트도 맛있었어요
