user_name,user_rank,num_response,user_star,time,rating,content
Lucie,3,2,5.0,2024.04.24.,5.0,
김준,8,8,3.5,2024.04.24.,3.0,아부라 소바- 첫 한 입만을 위한 지속 가능하지 않은 맛
망곰이의비밀맛집,22,25,5.0,2024.04.23.,5.0,마제소바가 넘 맛있어서 재x3 방문 한 곳! 🤍
람쥐의 도톨희를 뺐지마오,32,98,3.3,2024.04.19.,5.0,"나의 마제소바 스탠다드가 되어버린,,,"
맛집로그,22,69,3.5,2024.03.31.,5.0,
kenny,8,11,4.5,2024.03.17.,5.0,마제소바 맛집입니다. 직원분들도 굉장히 친절하셔서 좋았어요!
메에,12,18,3.9,2024.03.13.,3.0,"많이 느끼함. 느끼한 거 잘 못 드시는 분들은 가지마세용... 마제소바 맛집이라길래 기대했는데, 그렇게까지 맛집은 아니고 그냥 적당히 잘하는집? 그래도 잘하는 편은 맞아요."
syp,29,162,4.7,2024.03.11.,5.0,친절해용 껍데기랑 계란은 꼭 드세요! 사진 속 껍데기는 1/2 사이즈 같이 간 사람이랑 나눠 먹음
뇽,11,12,3.4,2024.03.09.,5.0,칸다의 맛은 너무나 당연하구 .. (존맛) 제가 오른팔을 다쳤는데 젓가락질 하는걸 보기도 전에 포크 드릴까요? 물어봐주시는 직원분의 다정함에 눈물 좔좔이엇습미다 여태끼지 사실 손목 아파도 그냥 젓가랃질 하고 먹었거든여🥹 진짜 대감동 감사해요 덕분에 잘먹었습ㅁ니다🤍
ovov,5,6,4.7,2024.03.04.,5.0,정말 너무 맛잇음 마제소바 처돌이로서 1티어 인정입니다
02 평가단,74,"1,003",4.5,2024.02.28.,5.0,근본... 너무 맛있음
정진,3,2,5.0,2024.02.28.,5.0,손을 다쳐서 반깁스를 하고 있었는데 직원분이 먼저 포크를 챙겨주시네요. 덕분에 기분좋고 편하게 식사했습니다. 이미 맛으로 유명한 집이 친절하시기까지~ 앞으로도 더더 잘 되세요.
부승관,16,27,4.4,2024.02.28.,4.0,돈코츠라멘 국물이 살짝 걸쪽하니 너무 맛있어요 고기가 완전 부드러워요 친구는 그냥마제소바 맛이라고하네요
김동민,14,28,3.2,2024.02.24.,4.0,
🍓,3,7,4.3,2024.02.24.,5.0,
.,22,123,3.1,2024.02.23.,5.0,
진실의방,17,17,4.2,2024.02.20.,5.0,맨날 전화해서 돼껍 있냐고 물어보는 그놈입니다… 돼껍 아부라소바에 돼껍추가해서 먹으면 맛이 두배!! 돼 껍 조 아
휸큔리,3,1,5.0,2024.02.19.,5.0,
비,21,330,4.6,2024.02.19.,5.0,
