user_name,user_rank,num_response,user_star,time,rating,content
🥹🫶🏻,28,90,4.2,2024.04.11.,5.0,다 너무 좋다…💖
다솔,17,20,5.0,2024.02.28.,5.0,🌬️☕️🌟🖤🖤
Unity,29,75,4.0,2024.02.25.,5.0,"소개팅하기 좋은 분위기,훌륭한 맛,👍"
지나가는 행인,9,9,3.8,2024.02.16.,5.0,식당도 무인 키오스크로 바뀌는 시대에 테이블에 앉아있으면 주문 받으러 오심 이미 거기서 만족도 상승맛 당연히 있음천장 조명 인테리어가 쓴 건지 산 건지는 몰라도 이 가게의 가오를 나타내는 듯함
김남훈,10,8,3.9,2024.02.11.,5.0,여기가고 홍대에서 다른곳을 안감 ㅋㅋㅋㅋ 드립꼭 먹어보시길
딩딩,31,112,4.3,2024.01.25.,5.0,7년째 방문중늘 만족
애플민트,34,303,4.7,2023.12.03.,5.0,서교동 커피 연구소
seonmi,31,46,5.0,2023.11.28.,5.0,"“내가 스무 살 때 여기 처음 생겼으니 그때가 벌써 언제야, 거의 20년 전이잖아. 지금도 분위기 좋지만 20년 전에 이런 카페가 홍대에 떡 생겼다고 생각해 봐. 사람들이 여기 문앞에 줄 서서 먹었어.”"
편식가,9,30,3.7,2023.11.21.,5.0,아메리카노는 그저 그랬다. 라떼는 맛있더라.
따도,22,39,4.0,2023.11.21.,5.0,두유라떼 아이스(고소한원두) 개맛있음 따따봉
경희,6,13,4.8,2023.11.17.,5.0,산미 있는 커피 좋아하는데 여기는 딱 좋았어요
평화,4,3,4.0,2023.11.04.,5.0,커피나 디저트가 특별한진 모르겠는데 분위기가 너무 좋아요
salty boi,4,1,5.0,2023.11.01.,5.0,시간 떼우러 허겁지겁 온 곳인데 테이블에 오셔서 주문 받아가셔서 뜬금없이 기분이 골져스해졌습니다. 가격대는 조금 높은가?싶었지만 핫초코에 우유거품 쫀쫀한거 보고 감격했습니다 맛있네요👍
갈매기,14,22,3.5,2023.10.21.,5.0,디카페인도 가능하다고 하더라구요분위기도 좋고 커피맛도 맛있고 다양한 메뉴의 커피가 있어서 좋았어요.
STAFF ONLY,32,326,3.4,2023.10.17.,3.0,무난
레이,20,29,2.7,2023.10.13.,1.0,요새 직원들 분위기가 전반적으로 불친절하네요? 동일 가격대보다 저렴한 가격대에 카페들이 많다는걸 생각좀 하고 직원 뽑았으면 합니다. 좋아하는 카페였는데 꾸준하기 어렵죠 뭐든. 점점 그런게 사장님이 관리를 놓았나 싶네요. 아쉬워요 많이.
Y,16,19,4.6,2023.10.09.,5.0,가게 들어설 때부터 따뜻한 환대에 넘 기분이 좋았고 머무는 내내 편안한 분위기가 좋았습니다. 열어둔 창문으로 불어오는 가을 바람에 원두 갈리는 소리와 향기에 마음 설렜네요. 또 가고 싶어요.
카스타드,13,10,3.8,2023.10.05.,5.0,여기 방울토마토 쥬스 완전 맛있어요!
짱,61,490,4.1,2023.08.18.,4.0,
toe,22,60,3.8,2023.08.11.,5.0,평생 가게했으면 좋겠는 곳.
das,10,26,2.0,2023.08.02.,2.0,커피맛도 가격도..
hanu,22,47,2.7,2023.07.07.,2.0,"분위기 쏘쏘  커피맛도 괜찮긴한데 가격대가 높아종합적인 평가에서 추천할 정도는 아님.근처상권내  맛, 분위기, 가격측면에서 경쟁력있는 더나은 선택지들이 너무 많음."
맛집방랑자,24,68,3.0,2023.07.03.,4.0,커피 진짜로 맛있긴한데 이가격은 좀 ㅠㅠ
KING,10,22,3.5,2023.07.01.,4.0,다양한 커피를 즐길 수 있고다들 완성도가 높습니다.가격도 그만큼 높습니다.
강유진,4,4,4.0,2023.06.04.,5.0,급하게 들린곳인데 스페셜커피도 잡내없이 깔끔하고 맛있어요! 홍대들리면 자주 올것같아요🥺♥️
냉철한입맛,43,503,3.7,2023.05.20.,4.0,핫초코 진하고 맛있었어요커피도 맛있다고 하네요매장이 시원하고 대화 나누기 좋았습니다테이블에서 주문하고 결제도 후불입니다
🐷,21,41,4.3,2023.03.31.,5.0,우연히 방문했는데 완전 만족우유 스팀이 예술이고탄맛 안나면서 구수하고 맛있는 커피
차콜,21,38,4.0,2023.03.19.,5.0,"시간 때우려고 막 들어간 집인데 자리에서 직접 주문까지 받아주는 친절함에, 감각 있는 인테리어와 적당한 규모까지 갖춘, 이 동네에서 은근 보기 힘든 카페가 아닐까 싶다. 음료는 기준이 둔한 편이고 차만 마셔서 패스.."
솔직한 리뷰러,31,87,3.6,2023.03.18.,3.0,"친절하셔서 3점...!평 좋아서 갔는데 엄청 특별한건 잘 모르겠음ㅜㅜ그냥 추억이 담긴 장소라서 사람들이 찬양하는게 아닐까 싶은...라떼 양도 엄청 많았어요, 그래서 좀 연하긴 함브라우니는 꾸덕을 바랬는데 포실포실이라 아쉬웠고 넘 달기도 했어요한번 방문으로 만족!혹은 술 들어간 시그니쳐 메뉴 먹으러 한번쯤 다시 가볼래요"
음,16,67,4.1,2023.03.09.,4.0,
신지우,16,18,4.8,2023.02.26.,5.0,맛있는 커피☕️
k,11,13,4.5,2023.01.21.,5.0,"도장 다 깨고싶은 시그니처 커피들.. 카페 분위기도 살리면서 아늑함도 갖춘곳. 맛있는 커피 마시면서 편하게 머물다 갈 수 있습니다. 천장에 포터필터가 시강입니다(멋있다). 주문서 담아주는 작은 소품과 메뉴판도 멋있어요. 차가움, 따뜻함을 맛과 시각으로 은은하게 보여주는 곳. 매력적인 카페!!"
블룸스버리,12,22,3.7,2022.12.12.,5.0,"이리도 롱런해주니, 감사한 카페. 맛도 분위기도 친절도 참 그대로이니, 내 마음의 아지트가 된 소중한 공간."
