user_name,user_rank,num_response,user_star,time,rating,content
사회인,31,186,2.6,2024.01.28.,2.0,"맛: 기대는하면안됨 먹을만은하나 딱 먹을만한정도이다, 오징어도 약간 물맛남.. 신선하지는 않음친절: 별로 네이버에 써져있는 마감시간 40분이상남은 시점에서 15분후 마감이라들음라스트오더도 마찬가지. 원래 라스트오더 시간에서 20분은 더 빨리 마감이라고 말함.마감시간 30분이상 남았는데 히터꺼서 가게가 추웠음굳이 재방문은 안할 거 같다"
맛꿀마,32,69,4.5,2024.01.25.,3.0,맛: 맛꿀마스타일: 맛꿀마식당: 안 맛꿀마가격: 맛꿀마
맛집탐험가,6,17,3.3,2023.11.18.,2.0,시끄럽고 어수선한 분위기... 맛은...일본에서 먹었던 맛 기대하면 안됨
쭈야,2,2,4.5,2023.10.15.,4.0,
샌드위치,19,48,3.7,2023.10.06.,1.0,타코야끼는 그냥 모노마트같은데서 사서 쓰는듯 주문하지마셈 그 가격에 먹을 맛 아님오코노미야끼도 실망함..왜 이젠 웨이팅없는지 알것같음
맛집탐방러,5,5,4.8,2023.09.20.,5.0,맛있서요 일본에서먹는 오꼬노미야끼같어요
미각조절장인,14,46,4.2,2023.09.10.,5.0,
박가람,4,3,5.0,2023.08.19.,5.0,
무무,33,296,4.5,2023.06.18.,5.0,분위기 좋고 맛있어요
0,9,12,4.4,2023.05.16.,4.0,
선,6,9,4.3,2023.05.10.,5.0,야끼소바랑 오코노미야끼 맛있어요. 음료탄산이 강해서 좋아요
윰스타,17,37,4.6,2023.05.08.,4.0,오코노미야키 맛이 아니에요ㅠㅠ 소스도 부족하고
Roy,3,2,4.5,2023.05.07.,5.0,
김태리,2,1,5.0,2023.05.03.,5.0,
뇽뇽,21,44,4.0,2023.04.09.,5.0,"오꼬노미여끼 A,C 각각 9900원으로 가성비 좋았습니다~ 맛있어요"
챠뉸,15,12,4.7,2023.03.30.,1.0,진짜….최악이예요….웬만해서 이런 리뷰 안쓰는데정체불명의 케찹 섞인 소스부터 반죽까지…음식갖고 장난치시는거 아니죠?웨이팅은 도대체 왜 있는건지…..아….음식 나오고 10분도 안돼서 남기고 나왔어요
락,7,62,4.4,2023.03.15.,5.0,
전기장판,14,22,4.0,2023.03.12.,3.0,가게 분위기는 괜찮음 내부는 좁음.. 직원 불친절은 딱히 못느낌 알바생마다 차이가 좀 있는듯.맛은 그냥 딱 그 가격 맛임.. 가게 위생은 가격보고 좀 흐린 눈 해야함. 2차로 갈거면 괜찮은거같은데 왜인지… 맨날 웨이팅이 미어터져서 두번은 안갈듯.. 오래오래 기다릴정도의 맛과 퀄리티는 X
⠀,10,19,4.6,2023.02.21.,5.0,짱마싯는데 .. 입구쪽이라 추웠어요 근데 담요도 주시고 친절하세용 😋
휴우,10,13,3.3,2023.01.31.,4.0,솔직히 테이블포함 위생상태는 흐린눈하고 맛있게 먹으면 가격도 저렴하고 좋아요^^
동글,9,11,3.8,2023.01.31.,1.0,서비스 체고^^
빡쏘,2,1,5.0,2022.11.13.,5.0,후기가 안좋아서 걱정했지만 오히려 친구들이랑 맛있다면서 놀랬어요. 오히려 오코노미야끼가 담백한 느낌이 있어서 물리지 않고 잘먹었습니다! 그래고 직원분들이 불친절 하다고 하시는데 저희는 못느꼈어요!
고란희,23,157,3.5,2022.11.09.,5.0,
익명의 사람,34,207,3.1,2022.10.25.,1.0,와 진심 최악… 걸레맛 나는 오꼬노미야끼 처음이고 야끼소바에서 석유..? 맛남.. 석유 안 먹어봤는데 그런.. 뭔가 먹으면 안 되는 기름맛…. 불친절은 덤
