user_name,user_rank,num_response,user_star,time,rating,content
쩝쩝교수,21,34,3.4,2024.01.11.,3.0,고구마튀김 꼭 드세요!!! 다트랑 비어퐁도 할 수 있고 너무 시끄럽지 않아서 좋아요.
최종욱,2,1,1.0,2023.11.19.,1.0,직원들이 불친절을 넘어서 싸가지없음 깡패인줄 알았어요. 롤컵 결승보러 온건데 직원들이 귀찮은지 메뉴는 3시간 넘게 주방마감 해놔서 시키지도 못했네요.이럴거면 중계해준다고 홍보 안했으면 하네요.
초롱이꺼,9,17,4.6,2023.06.08.,5.0,졸맛탱 맥주와 안주 그리고 스포츠경기볼수있는 핫플!!!! 매주 요일마다 이벤트도하고 너무너무 매력적인 펍입니다 사장님 사랑해요❤️❤️ 강아지 상구도 너무귀여워요ㅠㅠㅠㅠ❤️❤️❤️
mudkips,27,80,4.5,2023.05.15.,4.0,
허승,3,1,5.0,2023.05.03.,5.0,시끄럽기는한데 자주 편하게 먹는 펍이에용
cy,22,132,4.0,2022.10.02.,3.0,자리만 잘 잡으면 즐겁게 볼 수 있는곳. 외부인원 출입이 과하게 자유로운게 장점이자 단점. 피쉬앤칩스 ☆☆☆☆코젤 ☆☆☆☆
4점이상은만족함,30,312,4.1,2022.04.09.,3.0,
"Ron M Kim (김민규,金珉珪)",12,39,3.2,2022.01.25.,1.0,불친절해요. 다시 갈일 없을듯 해요.
Cya,10,16,4.1,2021.02.26.,1.0,진짜 최악 ㅡㅡ무슨 매니전지 뭔지 알바 오래했나본데 갑질쩌네지가 무슨 매니저야 사장인척 오져알바 오래한게 자랑이야 대수야 뭐야 꼭 뭣도 아닌게 알바 좀 오래하면 눈만 높아지고 지가 뭐라도 되는줄 알고 초심 잃지. 정신차려라.일했던 친절한 직원들 다 어디감?이래서 사장이 상주해야됨.
눈누맘마,1,1,5.0,2020.03.21.,5.0,직원분들 전부 웃으시면서 주문받고 너무너무 친절했어요ㅠㅠㅠㅠ음식들도 너무 맛있어요!!!!!
말,28,208,3.5,2020.01.08.,2.0,칵테일 너무 싸구려야!
Ryan,2,3,2.7,2019.10.05.,1.0,Foreign staff member was rude and condescending
박슬기,6,18,4.2,2019.08.01.,4.0,맥주맛있음. 안주는 별로.. 분위기는 괜찮음
alqw1603,22,77,3.2,2018.09.11.,3.0,다 좋은데 카운터 뚱뚱한 매니저같은사람 싸가지가..ㅎ
