user_name,user_rank,num_response,user_star,time,rating,content
곰곰,4,7,4.3,2024.04.17.,5.0,가게 분위기가 예뻐서 외국인들도 많이오는곳주변들릴때 종종갑니다
맛집매니아,43,457,2.9,2024.04.09.,2.0,별로 걍인스타용 사진정도?
.,30,142,4.1,2024.03.23.,4.0,
한예영,5,3,3.0,2024.03.21.,3.0,좌석도 많고 분위기도 좋고 예쁘고 넓고 직원분들 친절은 하신데요….케이크가 노맛이에요 빵 개 퍽퍽 ㅠ 같이시킨 인절미 어쩌고는 걍 무난했어요 근데 얼그레이 케이크는 진짜 빵 퍽퍽해서 남겼어요…그래도 커피는 맛있었어요 전 커피를 그렇게 안좋아하는 디저트파라 두번은 굳이 안갈거같아요!
Clalley,6,1,5.0,2024.03.14.,5.0,"This coffee shop is great!!! A super nice atmosphere, friendly staff and speak English. And don't leave… coffee and cake of the best I've ever tasted ☀"
002,54,711,3.3,2024.03.09.,3.0,좌석이 많아서 좋았습니다이야기하기 좋은 분위기예요
4.0,33,476,3.9,2024.03.06.,5.0,가격대가 쫌 있지만 그 값 하는 곳!티 꼭 마셔보세오👍
맛집좋아요,20,32,3.3,2024.02.20.,4.0,브런치랑 홍시빙수 먹었는데 맛있어요홍시빙수 추천추천!가게에 꽃도 많고 분위기도 좋아요
Gigi,3,1,5.0,2024.02.14.,5.0,对外国人也很友好！柿子冰分量很大，牛奶味道很足。价格很合理，环境很美，推荐游客打卡。
제한된 프로필입니다.,18,37,2.6,2024.02.12.,5.0,2층 사람도없고 좋아연
cheez,15,23,3.5,2024.01.15.,1.0,빵 맛없고... 비싸고..
Jodie,15,19,5.0,2024.01.09.,5.0,너무 귀여워
녕,19,39,3.8,2023.12.06.,1.0,분위기는 식물 가득 예쁜데 맛은 그냥그랬어요.
개빡치면짖는치와와,4,4,1.0,2023.12.01.,1.0,왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!왈왈왈!!컹컹컹컹!!!멍멍멍멍!!왈왈!!멍멍멍!!그르르릉..왈왈왈!!!컹컹컹컹컹!!
banana lizard,25,79,3.2,2023.11.30.,1.0,"말차스콘 말차맛 하나도 없고, 얼그레이 팔미에는 설탕맛밖에 안나요"
이나,32,105,3.5,2023.11.30.,3.0,봄 가을쯤에 생각나서 가는 카페꽃들이 가득 피어있어서 분위기가 참 예쁜데 좌석은 상당히 불편하다. 오래있을게 아니고 한시간 정도라면 예쁜분위기에서 잠깐 떠들고 가기에는 좋음. 디저트도 나쁘진않고
황승민,8,32,5.0,2023.11.11.,5.0,
냠냠냠냠냠,37,182,3.6,2023.11.07.,4.0,"음료가 좀 비싸지만, 넓고 분위기 좋음. 책 잘 읽다갑니다"
까다로운사람,50,"1,026",3.6,2023.11.05.,4.0,크림라떼 맛있는데 커피양이 작아요. 꽃도 같이 파는 플라워카페
bb,3,6,3.8,2023.11.01.,4.0,
강성국,4,2,3.5,2023.10.10.,5.0,홍시빙수 플라워카페
행복한삶 ^-^,19,27,4.3,2023.10.03.,4.0,분위기가 예뻐요
🎢H🎠A🎡N,22,45,3.1,2023.08.23.,2.0,"과채 주스 7,800원어치가 식당 사이다컵 양으로 나오는건 좀 뻔뻔한 장사가 아닌가 싶다. 심지어 맛도 없다."
리얼리뷰,24,97,3.0,2023.08.14.,5.0,홍시 빙수 굿굿! 밤에도 사람 많아요 근데 모기가 많네요
푸다뱅,75,933,4.2,2023.08.06.,3.0,"밖에서부터 꽃내음이 느껴지는 플라워카페, 딸기케익 무난하고 솜사탕라떼는 가격만 비싸지 약간 아쉬운 라떼"
envahir,21,91,3.7,2023.07.10.,4.0,문경오미자차 재밌게 나와서 좋음
starryhh,2,1,2.0,2023.07.09.,2.0,다육이 2개 구입했더니 포장비가 한개에 5천원 별도다육이가 6천원씩인데ㅋㅋ그냥 가져올수없어서 포장비만 추가로 만원냈네요….;;;;;;
LLA0444,17,36,3.1,2023.06.10.,2.0,"케이크 맛없었음, 빵 평범, 커피 디카페인인데 카페인 줘ㅛㅓ 잠도못자고있음. 다만 카페 자체는 꽃값도 싸고 밖에서 커피한잔하기 좋아보임. 테라스에서 마시고 싶은 분들 츄천함 꽃 싱싱해서이쁨."
pb,22,42,4.5,2023.06.09.,5.0,디저트 맛집! 생강 좋아하면 퀴니아망은 꼭 먹어봐야함😀
진거이,14,26,4.6,2023.05.26.,4.0,화사하니 좋음 분위기브런치도 낫배드했어요
유진,3,8,4.8,2023.05.17.,5.0,
뉘른베르크요새의밍크고래,16,29,4.3,2023.05.13.,4.0,얼그레이 케이크 맛있고 커피도 무난.. 근데 비싸긴 함…ㅎㅎ 내부는 예쁘고 꽃도 생화고 좋았음!!!
맛있으면 굿,11,25,4.2,2023.03.13.,5.0,커피값은 비싸지만 식물들이 조화가 아니리 진짜 식물인거 감안하면 굿
수윤,6,7,4.7,2023.03.07.,4.0,
두눈을감고 두귀를막고,33,182,3.4,2023.03.05.,4.0,디저트 맛있어요
은지,5,19,3.6,2023.02.06.,2.0,
맛집에미친인간,21,74,4.2,2023.01.22.,5.0,
cercle,35,645,3.6,2023.01.19.,3.0,
냉철한입맛,43,503,3.7,2023.01.16.,2.0,규모의 경제를 실현하는 곳인가 매장 큰데 디저트도 그렇고 전혀 특색이 없음
돌멍이,28,67,3.7,2022.12.30.,3.0,"팥빙수, 고구마라떼 괜찮음자리가 널찍해 머물기 나쁘지 않음"
언제나청춘,41,564,4.7,2022.12.25.,5.0,전형적인 테마카페
ㅇㅅㅇ,26,114,3.6,2022.12.19.,4.0,
민지,42,306,4.2,2022.12.13.,5.0,"밤에가니 조명과 트리, 난로가 낭만적이에요. 음료도 맛있고 친절하시네요"
986,22,82,3.9,2022.12.09.,4.0,꽃과 인테리어가 다한곳 케익음료 괜찮았음
.,12,15,4.3,2022.11.27.,5.0,홍시빙수 맛있어요 다른 것도 다 중간은 가는 맛. 넓찍해서 좋았어요 재방문하고싶은 몇안되는 카페
진,15,36,3.8,2022.11.26.,5.0,주말 알바생 너무 친절해요
양,32,88,4.4,2022.11.26.,3.0,작은 화원에 앉아 커피먹는 기분 좋으네욤디저트를 안먹어봐서 재방문해보고싶어요아메리카노와 초콜릿라떼는 그냥 평범했어요
ㅅㄹ,21,38,2.3,2022.10.02.,5.0,점원분들 너무 친절하시고 카페 분위기도 너무 좋고두번째 방문인데도 변하지 않는 모습 너무 좋아요
김모요,27,75,4.4,2022.09.16.,5.0,홍시빙수가 ㄹㅈㄷ로 마시슴
디저트쳐도리,63,165,4.7,2022.07.21.,4.0,꽃팔고 카페는 이쁜데 라떼는 안이쁨
🥸김주사🥸,35,135,3.4,2022.06.29.,2.0,테마카페는 맛보고 가는거 아닙니당
랫서유우,5,10,5.0,2022.06.22.,5.0,분위기 너무 좋았어요~ 커피도 맛있었어요^^
양4Eva,15,14,3.6,2022.06.15.,2.0,음식 무난 페이스트리 보단 브런치 플레이트가 나음 꽃이 많고 분위기가 좋음
찰리 브라운,33,124,4.4,2022.05.01.,4.0,주말에는 카페 내부는 시끄럽지만 테라스는 좋음.음료 크림라떼 괜찮음
.,21,177,4.8,2022.04.20.,5.0,
째리,14,35,4.2,2022.04.10.,4.0,굿 꽃냄새 좋아요.커피도 무난하니 맛있음케잌은 그냥 평범한 공장케잌맛
