user_name,user_rank,num_response,user_star,time,rating,content
정직한사람,6,7,3.6,2024.03.30.,1.0,방이 적고 좁습니다.  힌트를 4개 밖에 못써요.. 머리 쓰는 문제들이 대부분이고 직원 불친절하다는 평이 공감이 되는...
양지호,6,9,2.3,2024.01.25.,1.0,
앤지,14,67,3.8,2023.12.22.,5.0,다른데보다 힌트 적으니 익숙한 사람들이 가면 좋음
서준,2,1,5.0,2023.12.13.,5.0,저흰 남자 알바분들이셨는데 다 친절하시고 잘 도와주시더라구요! 좋았어요!
가만안둬민소희,3,4,2.5,2023.12.07.,1.0,"직원분 불친절함이 진짜,,ㅋㅋ힌트 얻는 조건 완료했는데도 아무것도 안돼서 전화드리니까 그제서야 오픈해주시더라구요~~! 그것땜에 5분 10분은 버린 것 같은데 아무 말씀 없으시고 그냥 불친절함의 극치는 달리고,, 보고있는데 장비 정리하면서 던지질 않나 내돈내고 기분나쁘기 참.. 만팔천원 버린 셈 치겠네요 영수증 못받아서 네이버리뷰 못남기는게 한"
신혜,4,3,4.7,2023.08.20.,4.0,
.,2,3,2.3,2023.07.05.,1.0,자물쇠만 한가득에 힌트 이해 안돼서 두 번 물어봤더니 별안간 무시를 갈기는
수준이,1,1,1.0,2023.07.03.,1.0,"직원들 불친절하고 개념,예의가 없음 수준이 너무낮음본인들 실수로 처음부터 다시하게됬는데 시간 리셋이 안된다고함.결정적으로 재미도없음"
엥,3,1,1.0,2023.02.06.,1.0,직원분들이 힌트 설명을 너무 못하시네요 인간적으루 ..
김정언,1,1,1.0,2022.12.03.,1.0,너무 더러움맛을 기대하며 기다리다가손으로 반찬 담는걸보고나왔슴이건 아니지 않나?맛은없을수 있지만최소한의 위생은 지킵시다
사자,27,93,4.0,2022.10.31.,1.0,방이 너무 작고 적다.전부 다 자물쇠만 푼다.
이승태,5,9,3.0,2022.09.10.,1.0,구립니다. 힌트와 문제간의 연관이 없어서 어디 힌트를 어디에 써야되는지도 모르겠고 납득이 안가는 문제도 많네요다신 안오고 돈아까워요
탕,8,10,3.8,2022.09.02.,1.0,정말 얼탱이가 없었어요… 돈 아까운 건 둘째치고 탈출 하자마자 어이가 없어서 일행들 동시에 와하하핫 하고 웃었네요ㅎㅎ 허무한 거 좋아하시면 강추!
최규식,8,10,3.7,2022.06.06.,1.0,로미오 어쩌고 했는데 너무 억지였어요ㅠ
ㄱㄱ,3,2,1.0,2022.03.27.,1.0,직원들 너무 불친절함괜히 불친절하다는 후기 있는 게 아니였음홍대 노상주차장 쪽에 방탈출다니다가 와봤는데 직원태도가 다름
젓가락,2,2,1.0,2021.07.17.,1.0,직원분이 진짜 너무 불친절해서 별로였어요 ㅜㅜ
